timestamp,sample_id,roast_level,origin,batch_id,run_id,phase,sample_idx,adc_tgs822,adc_mq135,adc_mq3,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,temperature,humidity
2186,L-CAW,light,Arabika Gayo Wine,B20,1,purging,1,13052,2860,2850,7784,8602,2869,8493,15248,14317,14267,,
3186,L-CAW,light,Arabika Gayo Wine,B20,1,purging,2,13052,2863,2850,7784,8600,2871,8492,15247,14314,14266,,
4187,L-CAW,light,Arabika Gayo Wine,B20,1,purging,3,13052,2859,2852,7783,8599,2868,8491,15246,14313,14266,,
5186,L-CAW,light,Arabika Gayo Wine,B20,1,purging,4,13053,2861,2854,7783,8598,2868,8492,15246,14311,14266,,
6187,L-CAW,light,Arabika Gayo Wine,B20,1,purging,5,13053,2864,2854,7782,8598,2871,8492,15246,14311,14267,,
7186,L-CAW,light,Arabika Gayo Wine,B20,1,purging,6,13054,2863,2851,7782,8598,2871,8492,15246,14310,14268,,
8186,L-CAW,light,Arabika Gayo Wine,B20,1,purging,7,13054,2864,2850,7782,8598,2871,8493,15246,14310,14267,,
9186,L-CAW,light,Arabika Gayo Wine,B20,1,purging,8,13054,2866,2852,7781,8598,2870,8493,15246,14310,14266,,
10186,L-CAW,light,Arabika Gayo Wine,B20,1,purging,9,13054,2863,2855,7781,8597,2868,8493,15245,14309,14266,,
11186,L-CAW,light,Arabika Gayo Wine,B20,1,purging,10,13054,2865,2850,7780,8598,2868,8493,15246,14309,14268,,
12186,L-CAW,light,Arabika Gayo Wine,B20,1,purging,11,13053,2862,2850,7780,8600,2868,8495,15246,14310,14270,,
13187,L-CAW,light,Arabika Gayo Wine,B20,1,purging,12,13053,2865,2853,7780,8602,2869,8497,15246,14312,14270,,
14186,L-CAW,light,Arabika Gayo Wine,B20,1,purging,13,13053,2863,2850,7780,8602,2871,8498,15246,14313,14269,,
15186,L-CAW,light,Arabika Gayo Wine,B20,1,purging,14,13052,2864,2850,7779,8602,2871,8497,15246,14312,14267,,
16186,L-CAW,light,Arabika Gayo Wine,B20,1,purging,15,13052,2860,2848,7779,8601,2869,8496,15245,14311,14267,,
17186,L-CAW,light,Arabika Gayo Wine,B20,1,purging,16,13052,2863,2849,7779,8601,2869,8495,15243,14311,14264,,
18186,L-CAW,light,Arabika Gayo Wine,B20,1,purging,17,13052,2862,2847,7778,8598,2869,8493,15243,14308,14262,,
19186,L-CAW,light,Arabika Gayo Wine,B20,1,purging,18,13052,2862,2848,7778,8595,2871,8491,15241,14306,14259,,
20187,L-CAW,light,Arabika Gayo Wine,B20,1,purging,19,13051,2865,2848,7777,8592,2869,8489,15242,14303,14258,,
21186,L-CAW,light,Arabika Gayo Wine,B20,1,purging,20,13051,2860,2853,7776,8591,2869,8488,15241,14300,14257,,
22187,L-CAW,light,Arabika Gayo Wine,B20,1,purging,21,13052,2862,2853,7776,8590,2869,8486,15241,14298,14256,,
23186,L-CAW,light,Arabika Gayo Wine,B20,1,purging,22,13052,2863,2847,7775,8589,2871,8486,15241,14297,14256,,
24186,L-CAW,light,Arabika Gayo Wine,B20,1,purging,23,13052,2863,2851,7775,8588,2871,8486,15241,14296,14256,,
25186,L-CAW,light,Arabika Gayo Wine,B20,1,purging,24,13052,2863,2852,7774,8587,2869,8485,15241,14294,14256,,
26186,L-CAW,light,Arabika Gayo Wine,B20,1,purging,25,13053,2867,2850,7774,8587,2869,8485,15241,14294,14257,,
27186,L-CAW,light,Arabika Gayo Wine,B20,1,purging,26,13053,2865,2851,7773,8588,2870,8487,15242,14294,14257,,
28186,L-CAW,light,Arabika Gayo Wine,B20,1,purging,27,13053,2864,2854,7773,8588,2871,8488,15243,14295,14258,,
29187,L-CAW,light,Arabika Gayo Wine,B20,1,purging,28,13053,2863,2850,7773,8590,2869,8489,15244,14295,14259,,
30186,L-CAW,light,Arabika Gayo Wine,B20,1,purging,29,13053,2862,2849,7772,8590,2869,8490,15243,14296,14259,,
31186,L-CAW,light,Arabika Gayo Wine,B20,1,purging,30,13053,2861,2850,7771,8591,2869,8490,15243,14296,14258,,
32186,L-CAW,light,Arabika Gayo Wine,B20,1,purging,31,13052,2860,2852,7771,8591,2869,8491,15243,14295,14258,,
33186,L-CAW,light,Arabika Gayo Wine,B20,1,purging,32,13052,2863,2855,7770,8591,2871,8490,15242,14295,14257,,
34186,L-CAW,light,Arabika Gayo Wine,B20,1,purging,33,13051,2863,2854,7769,8590,2869,8489,15242,14293,14255,,
