timestamp,sample_id,roast_level,origin,batch_id,run_id,phase,sample_idx,adc_tgs822,adc_mq135,adc_mq3,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,temperature,humidity
2180,M-CAT,medium,Arabika Catuji Mekarwangi,B21,1,purging,1,11744,2886,2873,7845,9023,2883,8543,13527,13388,14130,,
3179,M-CAT,medium,Arabika Catuji Mekarwangi,B21,1,purging,2,11743,2886,2875,7845,9021,2881,8542,13527,13386,14129,,
4179,M-CAT,medium,Arabika Catuji Mekarwangi,B21,1,purging,3,11741,2886,2875,7845,9020,2881,8541,13528,13384,14128,,
5179,M-CAT,medium,Arabika Catuji Mekarwangi,B21,1,purging,4,11740,2886,2873,7844,9018,2883,8540,13528,13383,14127,,
6179,M-CAT,medium,Arabika Catuji Mekarwangi,B21,1,purging,5,11741,2882,2873,7845,9017,2881,8540,13530,13382,14128,,
7179,M-CAT,medium,Arabika Catuji Mekarwangi,B21,1,purging,6,11742,2886,2877,7844,9016,2884,8540,13532,13382,14130,,
8179,M-CAT,medium,Arabika Catuji Mekarwangi,B21,1,purging,7,11745,2886,2877,7844,9017,2881,8541,13537,13383,14131,,
9180,M-CAT,medium,Arabika Catuji Mekarwangi,B21,1,purging,8,11748,2886,2873,7844,9018,2883,8542,13541,13385,14133,,
10179,M-CAT,medium,Arabika Catuji Mekarwangi,B21,1,purging,9,11750,2886,2875,7844,9020,2883,8542,13546,13387,14134,,
11180,M-CAT,medium,Arabika Catuji Mekarwangi,B21,1,purging,10,11753,2886,2877,7844,9021,2884,8543,13550,13390,14136,,
12179,M-CAT,medium,Arabika Catuji Mekarwangi,B21,1,purging,11,11755,2884,2877,7844,9021,2881,8542,13555,13392,14135,,
13179,M-CAT,medium,Arabika Catuji Mekarwangi,B21,1,purging,12,11756,2882,2875,7844,9021,2883,8542,13557,13392,14135,,
14179,M-CAT,medium,Arabika Catuji Mekarwangi,B21,1,purging,13,11759,2886,2877,7844,9021,2884,8541,13559,13393,14134,,
15179,M-CAT,medium,Arabika Catuji Mekarwangi,B21,1,purging,14,11761,2882,2877,7843,9019,2883,8539,13561,13393,14132,,
16179,M-CAT,medium,Arabika Catuji Mekarwangi,B21,1,purging,15,11765,2886,2875,7843,9017,2883,8536,13564,13393,14131,,
17179,M-CAT,medium,Arabika Catuji Mekarwangi,B21,1,purging,16,11770,2886,2874,7843,9014,2883,8533,13567,13393,14131,,
18180,M-CAT,medium,Arabika Catuji Mekarwangi,B21,1,purging,17,11776,2886,2873,7843,9012,2881,8531,13570,13394,14131,,
19179,M-CAT,medium,Arabika Catuji Mekarwangi,B21,1,purging,18,11781,2886,2877,7843,9011,2881,8529,13575,13396,14134,,
20179,M-CAT,medium,Arabika Catuji Mekarwangi,B21,1,purging,19,11786,2886,2877,7842,9011,2881,8530,13581,13398,14136,,
21179,M-CAT,medium,Arabika Catuji Mekarwangi,B21,1,purging,20,11790,2886,2875,7842,9010,2886,8531,13587,13400,14137,,
22179,M-CAT,medium,Arabika Catuji Mekarwangi,B21,1,purging,21,11795,2882,2873,7842,9010,2883,8531,13591,13403,14138,,
23179,M-CAT,medium,Arabika Catuji Mekarwangi,B21,1,purging,22,11799,2882,2873,7842,9011,2883,8531,13596,13406,14139,,
24179,M-CAT,medium,Arabika Catuji Mekarwangi,B21,1,purging,23,11803,2886,2875,7842,9011,2881,8532,13602,13409,14140,,
