timestamp,sample_id,roast_level,origin,batch_id,run_id,phase,sample_idx,adc_tgs822,adc_mq135,adc_mq3,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,temperature,humidity
2189,M-TEM,medium,Arabika Temanggung,B20,1,purging,1,9464,2860,2854,7823,8207,2870,8577,10951,11337,12933,,
3189,M-TEM,medium,Arabika Temanggung,B20,1,purging,2,9462,2863,2854,7824,8216,2869,8581,10952,11347,12934,,
4189,M-TEM,medium,Arabika Temanggung,B20,1,purging,3,9461,2860,2852,7824,8218,2868,8582,10952,11353,12934,,
5189,M-TEM,medium,Arabika Temanggung,B20,1,purging,4,9459,2861,2853,7824,8222,2872,8582,10952,11358,12937,,
6190,M-TEM,medium,Arabika Temanggung,B20,1,purging,5,9459,2860,2853,7825,8226,2872,8583,10952,11364,12939,,
7189,M-TEM,medium,Arabika Temanggung,B20,1,purging,6,9459,2864,2856,7826,8229,2871,8584,10952,11370,12941,,
8189,M-TEM,medium,Arabika Temanggung,B20,1,purging,7,9457,2863,2856,7826,8231,2868,8585,10952,11374,12942,,
9189,M-TEM,medium,Arabika Temanggung,B20,1,purging,8,9457,2859,2851,7825,8232,2869,8585,10951,11377,12943,,
10189,M-TEM,medium,Arabika Temanggung,B20,1,purging,9,9456,2865,2852,7826,8235,2869,8586,10950,11382,12944,,
11189,M-TEM,medium,Arabika Temanggung,B20,1,purging,10,9456,2860,2854,7826,8236,2869,8586,10950,11385,12942,,
12189,M-TEM,medium,Arabika Temanggung,B20,1,purging,11,9455,2863,2856,7826,8234,2869,8584,10948,11385,12941,,
13190,M-TEM,medium,Arabika Temanggung,B20,1,purging,12,9454,2862,2854,7826,8233,2869,8581,10946,11385,12940,,
14189,M-TEM,medium,Arabika Temanggung,B20,1,purging,13,9454,2863,2854,7826,8231,2871,8580,10945,11384,12939,,
15190,M-TEM,medium,Arabika Temanggung,B20,1,purging,14,9453,2862,2857,7825,8229,2871,8578,10944,11383,12938,,
16189,M-TEM,medium,Arabika Temanggung,B20,1,purging,15,9451,2863,2854,7825,8226,2870,8577,10943,11381,12938,,
17189,M-TEM,medium,Arabika Temanggung,B20,1,purging,16,9449,2860,2855,7825,8223,2870,8577,10942,11377,12940,,
18189,M-TEM,medium,Arabika Temanggung,B20,1,purging,17,9447,2862,2853,7825,8221,2869,8579,10943,11374,12943,,
19189,M-TEM,medium,Arabika Temanggung,B20,1,purging,18,9442,2863,2854,7824,8220,2870,8582,10943,11370,12945,,
20189,M-TEM,medium,Arabika Temanggung,B20,1,purging,19,9439,2860,2852,7824,8219,2870,8585,10944,11367,12944,,
21189,M-TEM,medium,Arabika Temanggung,B20,1,purging,20,9436,2860,2852,7824,8219,2870,8587,10943,11364,12945,,
22190,M-TEM,medium,Arabika Temanggung,B20,1,purging,21,9434,2861,2851,7825,8219,2871,8587,10942,11362,12944,,
23189,M-TEM,medium,Arabika Temanggung,B20,1,purging,22,9432,2863,2853,7824,8220,2870,8588,10941,11359,12944,,
24189,M-TEM,medium,Arabika Temanggung,B20,1,purging,23,9430,2860,2850,7825,8220,2873,8589,10940,11358,12944,,
25189,M-TEM,medium,Arabika Temanggung,B20,1,purging,24,9429,2861,2852,7825,8220,2871,8589,10939,11357,12944,,
26189,M-TEM,medium,Arabika Temanggung,B20,1,purging,25,9427,2866,2852,7825,8221,2871,8590,10939,11356,12945,,
27189,M-TEM,medium,Arabika Temanggung,B20,1,purging,26,9426,2865,2853,7825,8221,2870,8591,10938,11355,12943,,
28189,M-TEM,medium,Arabika Temanggung,B20,1,purging,27,9427,2864,2856,7825,8221,2869,8590,10937,11355,12943,,
29190,M-TEM,medium,Arabika Temanggung,B20,1,purging,28,9430,2862,2852,7825,8221,2869,8590,10937,11354,12943,,
30189,M-TEM,medium,Arabika Temanggung,B20,1,purging,29,9437,2860,2850,7825,8222,2869,8589,10937,11355,12944,,
31190,M-TEM,medium,Arabika Temanggung,B20,1,purging,30,9448,2862,2856,7825,8223,2872,8589,10939,11356,12946,,
32189,M-TEM,medium,Arabika Temanggung,B20,1,purging,31,9460,2865,2856,7825,8223,2871,8589,10943,11358,12947,,
33189,M-TEM,medium,Arabika Temanggung,B20,1,purging,32,9467,2865,2854,7825,8223,2870,8589,10946,11360,12948,,
34189,M-TEM,medium,Arabika Temanggung,B20,1,purging,33,9470,2863,2856,7825,8224,2871,8589,10947,11361,12948,,
35189,M-TEM,medium,Arabika Temanggung,B20,1,purging,34,9471,2860,2855,7826,8224,2871,8588,10948,11362,12948,,
36189,M-TEM,medium,Arabika Temanggung,B20,1,purging,35,9470,2865,2854,7825,8224,2873,8588,10947,11362,12948,,
37189,M-TEM,medium,Arabika Temanggung,B20,1,purging,36,9467,2861,2858,7825,8223,2871,8588,10947,11361,12947,,
38190,M-TEM,medium,Arabika Temanggung,B20,1,purging,37,9465,2861,2856,7825,8223,2870,8587,10945,11359,12943,,
39189,M-TEM,medium,Arabika Temanggung,B20,1,purging,38,9463,2863,2855,7825,8221,2870,8584,10942,11358,12939,,
40189,M-TEM,medium,Arabika Temanggung,B20,1,purging,39,9460,2861,2852,7825,8219,2871,8581,10939,11356,12937,,
41189,M-TEM,medium,Arabika Temanggung,B20,1,purging,40,9459,2865,2859,7825,8216,2869,8579,10937,11354,12935,,
42189,M-TEM,medium,Arabika Temanggung,B20,1,purging,41,9456,2863,2854,7825,8214,2873,8577,10934,11352,12934,,
43189,M-TEM,medium,Arabika Temanggung,B20,1,purging,42,9454,2863,2854,7825,8212,2871,8575,10933,11350,12932,,
