timestamp,sample_id,roast_level,origin,batch_id,run_id,phase,sample_idx,adc_tgs822,adc_mq135,adc_mq3,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,temperature,humidity
1595,COBA,coba,coba,B99,1,purging,1,15861,2885,2870,0,0,2850,9728,0,0,0,,
2595,COBA,coba,coba,B99,1,purging,2,15860,2888,2870,0,0,2852,9729,0,0,0,,
3595,COBA,coba,coba,B99,1,purging,3,15859,2888,2870,0,0,2851,9730,0,0,0,,
4595,COBA,coba,coba,B99,1,purging,4,15858,2885,2870,0,0,2851,9731,0,0,0,,
5595,COBA,coba,coba,B99,1,purging,5,15857,2885,2870,0,0,2851,9731,0,0,0,,
6595,COBA,coba,coba,B99,1,purging,6,15856,2885,2867,0,0,2850,9732,0,0,0,,
7596,COBA,coba,coba,B99,1,purging,7,15855,2889,2867,0,0,2851,9733,0,0,0,,
8595,COBA,coba,coba,B99,1,purging,8,15855,2885,2867,0,0,2851,9732,0,0,0,,
9595,COBA,coba,coba,B99,1,purging,9,15854,2883,2869,0,0,2849,9733,0,0,0,,
10595,COBA,coba,coba,B99,1,purging,10,15853,2883,2867,0,0,2851,9733,0,0,0,,
11595,COBA,coba,coba,B99,1,purging,11,15853,2883,2872,0,0,2849,9734,0,0,0,,
12595,COBA,coba,coba,B99,1,purging,12,15852,2886,2870,0,0,2849,9733,0,0,0,,
13595,COBA,coba,coba,B99,1,purging,13,15851,2885,2868,0,0,2850,9732,0,0,0,,
14595,COBA,coba,coba,B99,1,purging,14,15850,2883,2871,0,0,2853,9732,0,0,0,,
15595,COBA,coba,coba,B99,1,purging,15,15849,2883,2870,0,0,2850,9731,0,0,0,,
16595,COBA,coba,coba,B99,1,purging,16,15848,2883,2870,0,0,2850,9732,0,0,0,,
17595,COBA,coba,coba,B99,1,purging,17,15846,2885,2870,0,0,2849,9733,0,0,0,,
18595,COBA,coba,coba,B99,1,purging,18,15845,2887,2870,0,0,2850,9734,0,0,0,,
19595,COBA,coba,coba,B99,1,purging,19,15844,2885,2865,0,0,2850,9737,0,0,0,,
20595,COBA,coba,coba,B99,1,purging,20,15843,2885,2868,0,0,2850,9738,0,0,0,,
21595,COBA,coba,coba,B99,1,purging,21,15842,2883,2867,0,0,2849,9738,0,0,0,,
22595,COBA,coba,coba,B99,1,purging,22,15841,2885,2867,0,0,2850,9737,0,0,0,,
23596,COBA,coba,coba,B99,1,purging,23,15839,2888,2871,0,0,2849,9738,0,0,0,,
24595,COBA,coba,coba,B99,1,purging,24,15838,2883,2869,0,0,2853,9739,0,0,0,,
25595,COBA,coba,coba,B99,1,purging,25,15837,2890,2869,0,0,2850,9740,0,0,0,,
26595,COBA,coba,coba,B99,1,purging,26,15836,2883,2869,0,0,2848,9742,0,0,0,,
27595,COBA,coba,coba,B99,1,purging,27,15835,2889,2867,0,0,2850,9741,0,0,0,,
28595,COBA,coba,coba,B99,1,purging,28,15833,2884,2865,0,0,2850,9740,0,0,0,,
29595,COBA,coba,coba,B99,1,purging,29,15833,2883,2867,0,0,2852,9742,0,0,0,,
30595,COBA,coba,coba,B99,1,purging,30,15832,2883,2869,0,0,2849,9742,0,0,0,,
31595,COBA,coba,coba,B99,1,purging,31,15830,2888,2867,0,0,2851,9744,0,0,0,,
32595,COBA,coba,coba,B99,1,purging,32,15830,2883,2869,0,0,2849,9744,0,0,0,,
33595,COBA,coba,coba,B99,1,purging,33,15828,2889,2870,0,0,2848,9745,0,0,0,,
34595,COBA,coba,coba,B99,1,purging,34,15827,2885,2867,0,0,2850,9748,0,0,0,,
35595,COBA,coba,coba,B99,1,purging,35,15825,2885,2865,0,0,2850,9747,0,0,0,,
36595,COBA,coba,coba,B99,1,purging,36,15825,2883,2867,0,0,2849,9748,0,0,0,,
37595,COBA,coba,coba,B99,1,purging,37,15824,2883,2867,0,0,2847,9749,0,0,0,,
38595,COBA,coba,coba,B99,1,purging,38,15823,2885,2867,0,0,2849,9750,0,0,0,,
39596,COBA,coba,coba,B99,1,purging,39,15822,2885,2865,0,0,2851,9750,0,0,0,,
40595,COBA,coba,coba,B99,1,purging,40,15820,2883,2865,0,0,2849,9749,0,0,0,,
41595,COBA,coba,coba,B99,1,purging,41,15820,2885,2867,0,0,2849,9748,0,0,0,,
42595,COBA,coba,coba,B99,1,purging,42,15819,2883,2867,0,0,2848,9750,0,0,0,,
43595,COBA,coba,coba,B99,1,purging,43,15817,2885,2865,0,0,2849,9751,0,0,0,,
44595,COBA,coba,coba,B99,1,purging,44,15817,2883,2867,0,0,2849,9752,0,0,0,,
45595,COBA,coba,coba,B99,1,purging,45,15816,2883,2865,0,0,2850,9752,0,0,0,,
46595,COBA,coba,coba,B99,1,purging,46,15815,2885,2865,0,0,2848,9751,0,0,0,,
47595,COBA,coba,coba,B99,1,purging,47,15815,2885,2864,0,0,2848,9753,0,0,0,,
48595,COBA,coba,coba,B99,1,purging,48,15814,2885,2865,0,0,2848,9755,0,0,0,,
49595,COBA,coba,coba,B99,1,purging,49,15813,2884,2865,0,0,2847,9756,0,0,0,,
50595,COBA,coba,coba,B99,1,purging,50,15812,2885,2865,0,0,2849,9755,0,0,0,,
51595,COBA,coba,coba,B99,1,purging,51,15811,2881,2867,0,0,2846,9756,0,0,0,,
52595,COBA,coba,coba,B99,1,purging,52,15810,2885,2867,0,0,2847,9757,0,0,0,,
53595,COBA,coba,coba,B99,1,purging,53,15809,2883,2865,0,0,2848,9758,0,0,0,,
54595,COBA,coba,coba,B99,1,purging,54,15808,2885,2865,0,0,2850,9761,0,0,0,,
55596,COBA,coba,coba,B99,1,purging,55,15806,2883,2865,0,0,2848,9760,0,0,0,,
56595,COBA,coba,coba,B99,1,purging,56,15805,2883,2867,0,0,2847,9759,0,0,0,,
57595,COBA,coba,coba,B99,1,purging,57,15803,2885,2865,0,0,2849,9758,0,0,0,,
58595,COBA,coba,coba,B99,1,purging,58,15802,2885,2870,0,0,2847,9757,0,0,0,,
59595,COBA,coba,coba,B99,1,purging,59,15801,2883,2865,0,0,2848,9758,0,0,0,,
60595,COBA,coba,coba,B99,1,purging,60,15801,2887,2864,0,0,2846,9758,0,0,0,,
61595,COBA,coba,coba,B99,1,purging,61,15800,2883,2865,0,0,2848,9759,0,0,0,,
62595,COBA,coba,coba,B99,1,purging,62,15800,2884,2865,0,0,2849,9758,0,0,0,,
63595,COBA,coba,coba,B99,1,purging,63,15799,2883,2864,0,0,2847,9758,0,0,0,,
64595,COBA,coba,coba,B99,1,purging,64,15799,2881,2865,0,0,2847,9758,0,0,0,,
65595,COBA,coba,coba,B99,1,purging,65,15798,2881,2863,0,0,2847,9758,0,0,0,,
66595,COBA,coba,coba,B99,1,purging,66,15798,2881,2866,0,0,2846,9759,0,0,0,,
67595,COBA,coba,coba,B99,1,purging,67,15798,2883,2865,0,0,2847,9760,0,0,0,,
68595,COBA,coba,coba,B99,1,purging,68,15797,2883,2865,0,0,2846,9761,0,0,0,,
69595,COBA,coba,coba,B99,1,purging,69,15796,2881,2865,0,0,2847,9762,0,0,0,,
70595,COBA,coba,coba,B99,1,purging,70,15795,2881,2864,0,0,2847,9761,0,0,0,,
71596,COBA,coba,coba,B99,1,purging,71,15794,2885,2863,0,0,2847,9762,0,0,0,,
72595,COBA,coba,coba,B99,1,purging,72,15793,2883,2865,0,0,2848,9763,0,0,0,,
73595,COBA,coba,coba,B99,1,purging,73,15791,2883,2864,0,0,2847,9763,0,0,0,,
74595,COBA,coba,coba,B99,1,purging,74,15790,2881,2864,0,0,2846,9763,0,0,0,,
75595,COBA,coba,coba,B99,1,purging,75,15790,2881,2863,0,0,2846,9764,0,0,0,,
76595,COBA,coba,coba,B99,1,purging,76,15789,2881,2863,0,0,2847,9765,0,0,0,,
77595,COBA,coba,coba,B99,1,purging,77,15788,2881,2864,0,0,2846,9764,0,0,0,,
78595,COBA,coba,coba,B99,1,purging,78,15788,2882,2864,0,0,2846,9764,0,0,0,,
79595,COBA,coba,coba,B99,1,purging,79,15786,2880,2863,0,0,2846,9764,0,0,0,,
80595,COBA,coba,coba,B99,1,purging,80,15785,2881,2865,0,0,2846,9765,0,0,0,,
81595,COBA,coba,coba,B99,1,purging,81,15784,2882,2863,0,0,2847,9765,0,0,0,,
82595,COBA,coba,coba,B99,1,purging,82,15784,2880,2863,0,0,2847,9765,0,0,0,,
83595,COBA,coba,coba,B99,1,purging,83,15782,2883,2863,0,0,2846,9766,0,0,0,,
84595,COBA,coba,coba,B99,1,purging,84,15782,2881,2864,0,0,2846,9767,0,0,0,,
85595,COBA,coba,coba,B99,1,purging,85,15781,2881,2863,0,0,2846,9768,0,0,0,,
86595,COBA,coba,coba,B99,1,purging,86,15780,2883,2863,0,0,2848,9767,0,0,0,,
87596,COBA,coba,coba,B99,1,purging,87,15779,2880,2863,0,0,2845,9767,0,0,0,,
88595,COBA,coba,coba,B99,1,purging,88,15779,2880,2863,0,0,2846,9768,0,0,0,,
