timestamp,sample_id,roast_level,origin,batch_id,run_id,phase,sample_idx,adc_tgs822,adc_mq135,adc_mq9,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,temperature,humidity
2173,D-BAR,dark,Arabika Jawa Barat,B05,1,purging,1,13043,2950,2938,9184,13384,2929,9406,16744,18668,14000,,
3172,D-BAR,dark,Arabika Jawa Barat,B05,1,purging,2,13028,2952,2942,9188,13369,2929,9404,16733,18656,13988,,
4173,D-BAR,dark,Arabika Jawa Barat,B05,1,purging,3,13014,2951,2942,9191,13353,2929,9402,16721,18645,13976,,
5173,D-BAR,dark,Arabika Jawa Barat,B05,1,purging,4,12999,2949,2938,9195,13340,2929,9400,16710,18633,13972,,
6173,D-BAR,dark,Arabika Jawa Barat,B05,1,purging,5,12983,2951,2939,9198,13335,2928,9406,16706,18623,13982,,
7174,D-BAR,dark,Arabika Jawa Barat,B05,1,purging,6,12966,2949,2942,9202,13336,2931,9416,16703,18618,13991,,
8173,D-BAR,dark,Arabika Jawa Barat,B05,1,purging,7,12948,2949,2939,9206,13351,2931,9436,16709,18617,14022,,
9174,D-BAR,dark,Arabika Jawa Barat,B05,1,purging,8,12926,2951,2937,9209,13376,2932,9465,16719,18621,14048,,
10173,D-BAR,dark,Arabika Jawa Barat,B05,1,purging,9,12902,2947,2938,9213,13402,2932,9494,16726,18628,14066,,
11173,D-BAR,dark,Arabika Jawa Barat,B05,1,purging,10,12879,2949,2941,9217,13426,2929,9522,16729,18633,14076,,
12173,D-BAR,dark,Arabika Jawa Barat,B05,1,purging,11,12857,2952,2941,9221,13445,2932,9549,16728,18638,14074,,
13173,D-BAR,dark,Arabika Jawa Barat,B05,1,purging,12,12837,2947,2941,9227,13453,2932,9565,16719,18639,14062,,
14173,D-BAR,dark,Arabika Jawa Barat,B05,1,purging,13,12820,2947,2937,9232,13450,2930,9573,16708,18635,14064,,
15173,D-BAR,dark,Arabika Jawa Barat,B05,1,purging,14,12803,2951,2941,9236,13441,2932,9577,16699,18627,14053,,
16174,D-BAR,dark,Arabika Jawa Barat,B05,1,purging,15,12788,2951,2939,9239,13424,2929,9576,16684,18618,14028,,
17173,D-BAR,dark,Arabika Jawa Barat,B05,1,purging,16,12775,2952,2941,9242,13398,2931,9567,16664,18603,14001,,
18173,D-BAR,dark,Arabika Jawa Barat,B05,1,purging,17,12764,2951,2939,9246,13365,2928,9553,16642,18585,13976,,
19173,D-BAR,dark,Arabika Jawa Barat,B05,1,purging,18,12756,2951,2937,9250,13331,2928,9538,16622,18565,13953,,
20173,D-BAR,dark,Arabika Jawa Barat,B05,1,purging,19,12747,2951,2937,9253,13297,2931,9525,16604,18547,13932,,
21173,D-BAR,dark,Arabika Jawa Barat,B05,1,purging,20,12739,2950,2937,9257,13264,2928,9511,16587,18528,13912,,
22173,D-BAR,dark,Arabika Jawa Barat,B05,1,purging,21,12731,2947,2937,9261,13232,2928,9496,16569,18509,13891,,
23174,D-BAR,dark,Arabika Jawa Barat,B05,1,purging,22,12723,2950,2935,9264,13201,2927,9482,16551,18490,13870,,
24173,D-BAR,dark,Arabika Jawa Barat,B05,1,purging,23,12715,2949,2936,9268,13172,2927,9470,16535,18472,13855,,
25174,D-BAR,dark,Arabika Jawa Barat,B05,1,purging,24,12707,2947,2935,9271,13148,2925,9461,16521,18455,13843,,
26173,D-BAR,dark,Arabika Jawa Barat,B05,1,purging,25,12698,2944,2934,9275,13126,2925,9453,16510,18440,13828,,
27173,D-BAR,dark,Arabika Jawa Barat,B05,1,purging,26,12689,2944,2939,9278,13104,2929,9445,16496,18425,13813,,
28173,D-BAR,dark,Arabika Jawa Barat,B05,1,purging,27,12680,2946,2937,9282,13082,2926,9436,16484,18410,13797,,
29173,D-BAR,dark,Arabika Jawa Barat,B05,1,purging,28,12671,2945,2934,9285,13061,2926,9428,16470,18395,13781,,
30173,D-BAR,dark,Arabika Jawa Barat,B05,1,purging,29,12661,2945,2934,9288,13040,2926,9420,16458,18379,13766,,
31173,D-BAR,dark,Arabika Jawa Barat,B05,1,purging,30,12652,2945,2938,9291,13019,2926,9413,16445,18364,13752,,
32174,D-BAR,dark,Arabika Jawa Barat,B05,1,purging,31,12642,2946,2938,9294,12999,2926,9405,16432,18349,13738,,
33173,D-BAR,dark,Arabika Jawa Barat,B05,1,purging,32,12632,2944,2934,9297,12979,2926,9399,16421,18335,13723,,
34173,D-BAR,dark,Arabika Jawa Barat,B05,1,purging,33,12622,2944,2938,9301,12961,2924,9393,16409,18321,13710,,
35173,D-BAR,dark,Arabika Jawa Barat,B05,1,purging,34,12612,2947,2934,9304,12943,2926,9388,16396,18307,13698,,
