timestamp,sample_id,roast_level,origin,batch_id,run_id,phase,sample_idx,adc_tgs822,adc_mq135,adc_mq3,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,temperature,humidity
2151,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,1,13229,2924,2912,8080,9487,2885,9220,15840,14878,14893,,
3151,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,2,13230,2926,2909,8079,9484,2885,9220,15840,14876,14892,,
4151,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,3,13232,2922,2908,8078,9484,2887,9219,15840,14874,14891,,
5151,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,4,13233,2922,2908,8077,9484,2885,9219,15839,14872,14891,,
6151,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,5,13233,2924,2912,8076,9483,2886,9219,15840,14872,14890,,
7151,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,6,13235,2921,2908,8075,9482,2887,9218,15839,14871,14889,,
8152,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,7,13235,2921,2908,8074,9482,2887,9216,15838,14870,14888,,
9151,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,8,13237,2922,2908,8073,9481,2885,9214,15838,14869,14886,,
10151,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,9,13238,2924,2909,8072,9481,2887,9212,15838,14868,14886,,
11152,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,10,13237,2925,2908,8071,9479,2887,9211,15838,14868,14885,,
12152,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,11,13238,2921,2909,8070,9478,2885,9210,15837,14867,14884,,
13152,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,12,13237,2924,2910,8069,9476,2887,9209,15837,14865,14883,,
14152,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,13,13238,2924,2908,8068,9476,2887,9209,15837,14864,14883,,
15153,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,14,13238,2922,2908,8067,9476,2887,9209,15837,14864,14884,,
16152,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,15,13238,2922,2912,8066,9476,2887,9209,15837,14863,14884,,
17153,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,16,13239,2924,2909,8065,9477,2887,9210,15838,14863,14884,,
18152,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,17,13239,2925,2909,8064,9477,2888,9210,15838,14863,14884,,
19152,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,18,13241,2923,2908,8063,9477,2888,9209,15838,14863,14882,,
20152,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,19,13242,2927,2908,8062,9476,2888,9207,15837,14863,14880,,
21152,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,20,13243,2924,2911,8061,9474,2888,9205,15836,14863,14878,,
22152,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,21,13244,2922,2911,8060,9473,2887,9202,15836,14862,14877,,
23152,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,22,13245,2924,2908,8059,9470,2889,9200,15834,14861,14874,,
24153,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,23,13246,2924,2908,8057,9467,2891,9198,15833,14858,14872,,
25152,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,24,13246,2922,2909,8056,9464,2889,9193,15831,14856,14869,,
26152,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,25,13247,2924,2909,8055,9461,2891,9189,15831,14853,14866,,
27152,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,26,13247,2924,2908,8054,9457,2889,9187,15829,14850,14864,,
28152,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,27,13246,2926,2913,8053,9454,2888,9184,15827,14847,14863,,
29152,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,28,13245,2924,2909,8052,9452,2892,9183,15826,14844,14862,,
30152,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,29,13244,2924,2909,8051,9451,2891,9183,15826,14842,14861,,
31153,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,30,13243,2924,2910,8050,9449,2892,9184,15825,14840,14859,,
32152,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,31,13242,2925,2913,8049,9447,2888,9182,15824,14837,14859,,
33153,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,32,13242,2925,2912,8048,9446,2887,9181,15824,14835,14857,,
34152,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,33,13241,2922,2911,8046,9445,2888,9181,15824,14834,14858,,
35152,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,34,13240,2922,2913,8045,9445,2887,9181,15823,14832,14857,,
36152,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,35,13241,2924,2909,8044,9445,2891,9182,15823,14831,14857,,
37152,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,36,13241,2926,2911,8043,9445,2891,9184,15823,14830,14857,,
38152,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,37,13241,2925,2909,8042,9445,2888,9184,15824,14829,14858,,
39152,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,38,13242,2928,2914,8041,9446,2889,9184,15824,14829,14858,,
40153,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,39,13241,2928,2913,8040,9447,2889,9186,15825,14829,14858,,
41152,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,40,13242,2925,2911,8039,9449,2891,9186,15825,14830,14859,,
42152,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,41,13241,2925,2912,8038,9449,2890,9186,15825,14830,14859,,
43152,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,42,13242,2928,2912,8037,9449,2890,9186,15825,14830,14858,,
44152,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,43,13243,2929,2915,8036,9449,2886,9186,15825,14830,14858,,
45152,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,44,13243,2925,2911,8035,9449,2891,9184,15826,14830,14858,,
46152,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,45,13243,2925,2910,8034,9449,2889,9183,15826,14830,14858,,
47153,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,46,13244,2926,2912,8033,9449,2889,9184,15825,14830,14858,,
48152,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,47,13245,2925,2915,8031,9449,2889,9184,15825,14830,14857,,
49153,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,48,13245,2928,2916,8031,9450,2890,9184,15825,14830,14858,,
50152,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,49,13244,2930,2915,8029,9451,2889,9184,15826,14830,14857,,
51152,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,50,13244,2926,2915,8028,9450,2891,9185,15825,14830,14857,,
52152,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,51,13244,2926,2912,8027,9449,2890,9183,15826,14829,14856,,
53152,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,52,13244,2926,2917,8026,9449,2888,9182,15825,14829,14855,,
54152,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,53,13245,2926,2914,8025,9448,2891,9182,15824,14828,14854,,
55152,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,54,13245,2928,2913,8023,9446,2891,9181,15824,14827,14853,,
56153,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,55,13244,2929,2917,8023,9445,2889,9180,15823,14825,14852,,
57152,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,56,13244,2926,2917,8021,9443,2892,9178,15822,14824,14849,,
58152,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,57,13244,2927,2913,8021,9441,2892,9174,15820,14822,14846,,
59152,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,58,13242,2930,2914,8020,9437,2891,9170,15819,14820,14843,,
60152,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,59,13241,2930,2913,8019,9434,2892,9166,15816,14817,14841,,
61152,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,60,13239,2926,2912,8018,9430,2893,9162,15814,14814,14838,,
62152,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,61,13238,2928,2913,8017,9426,2892,9161,15812,14811,14836,,
63153,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,62,13238,2928,2915,8016,9424,2891,9159,15811,14807,14834,,
64152,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,63,13236,2926,2915,8015,9421,2891,9159,15810,14805,14834,,
65153,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,64,13236,2928,2917,8014,9420,2891,9159,15809,14802,14833,,
66152,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,65,13234,2928,2917,8013,9419,2889,9159,15808,14800,14833,,
67152,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,66,13234,2928,2917,8012,9419,2892,9160,15808,14798,14833,,
68152,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,67,13232,2929,2916,8012,9420,2892,9160,15808,14797,14833,,
69152,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,68,13232,2931,2916,8010,9420,2891,9161,15808,14796,14832,,
70152,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,69,13232,2930,2915,8009,9420,2892,9161,15807,14795,14832,,
71152,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,70,13231,2929,2916,8008,9420,2892,9161,15807,14794,14832,,
72153,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,71,13232,2931,2919,8007,9420,2893,9161,15807,14793,14831,,
73152,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,72,13232,2931,2919,8007,9419,2892,9160,15806,14792,14829,,
74152,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,73,13232,2931,2916,8006,9418,2893,9158,15805,14791,14828,,
75152,D-CAT,dark,Arabika Catuji Mekarwangi,B24,1,purging,74,13232,2931,2917,8005,9418,2893,9158,15805,14791,14828,,
