timestamp,sample_id,roast_level,origin,batch_id,run_id,phase,sample_idx,adc_tgs822,adc_mq135,adc_mq3,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,temperature,humidity
2183,D-GAW,dark,Arabika Gayo Wine,B14,1,purging,1,8292,2893,2888,8532,7953,2919,8197,11109,11046,12406,,
3183,D-GAW,dark,Arabika Gayo Wine,B14,1,purging,2,8291,2893,2891,8534,7951,2914,8199,11106,11031,12405,,
4184,D-GAW,dark,Arabika Gayo Wine,B14,1,purging,3,8291,2897,2887,8536,7949,2915,8199,11103,11016,12403,,
5183,D-GAW,dark,Arabika Gayo Wine,B14,1,purging,4,8291,2898,2889,8537,7947,2918,8200,11101,11002,12402,,
6183,D-GAW,dark,Arabika Gayo Wine,B14,1,purging,5,8292,2898,2894,8539,7945,2914,8200,11098,10987,12401,,
7183,D-GAW,dark,Arabika Gayo Wine,B14,1,purging,6,8292,2893,2891,8541,7943,2916,8200,11095,10972,12400,,
8183,D-GAW,dark,Arabika Gayo Wine,B14,1,purging,7,8292,2897,2895,8542,7941,2917,8200,11092,10958,12398,,
9183,D-GAW,dark,Arabika Gayo Wine,B14,1,purging,8,8292,2893,2888,8544,7940,2916,8201,11090,10943,12398,,
10183,D-GAW,dark,Arabika Gayo Wine,B14,1,purging,9,8292,2897,2892,8545,7937,2916,8201,11087,10928,12397,,
11184,D-GAW,dark,Arabika Gayo Wine,B14,1,purging,10,8291,2897,2892,8547,7936,2914,8201,11084,10913,12396,,
12183,D-GAW,dark,Arabika Gayo Wine,B14,1,purging,11,8290,2897,2891,8549,7933,2914,8202,11081,10898,12395,,
13184,D-GAW,dark,Arabika Gayo Wine,B14,1,purging,12,8289,2898,2888,8550,7932,2913,8202,11079,10882,12393,,
14183,D-GAW,dark,Arabika Gayo Wine,B14,1,purging,13,8288,2897,2893,8552,7930,2916,8202,11076,10867,12392,,
15183,D-GAW,dark,Arabika Gayo Wine,B14,1,purging,14,8287,2894,2891,8554,7928,2915,8203,11073,10852,12392,,
16183,D-GAW,dark,Arabika Gayo Wine,B14,1,purging,15,8285,2895,2889,8555,7925,2914,8203,11071,10836,12391,,
17183,D-GAW,dark,Arabika Gayo Wine,B14,1,purging,16,8282,2896,2889,8557,7923,2913,8204,11068,10821,12391,,
18183,D-GAW,dark,Arabika Gayo Wine,B14,1,purging,17,8280,2896,2889,8558,7922,2911,8205,11066,10806,12391,,
19183,D-GAW,dark,Arabika Gayo Wine,B14,1,purging,18,8278,2895,2892,8560,7920,2915,8206,11063,10791,12389,,
20184,D-GAW,dark,Arabika Gayo Wine,B14,1,purging,19,8276,2895,2891,8562,7918,2912,8207,11061,10776,12388,,
21183,D-GAW,dark,Arabika Gayo Wine,B14,1,purging,20,8275,2897,2889,8563,7918,2911,8208,11057,10762,12388,,
22183,D-GAW,dark,Arabika Gayo Wine,B14,1,purging,21,8275,2895,2887,8565,7917,2911,8209,11056,10748,12390,,
23183,D-GAW,dark,Arabika Gayo Wine,B14,1,purging,22,8275,2893,2892,8566,7919,2917,8211,11053,10738,12393,,
24183,D-GAW,dark,Arabika Gayo Wine,B14,1,purging,23,8274,2893,2887,8568,7921,2914,8214,11052,10727,12395,,
25183,D-GAW,dark,Arabika Gayo Wine,B14,1,purging,24,8274,2893,2889,8569,7921,2915,8217,11051,10716,12398,,
26183,D-GAW,dark,Arabika Gayo Wine,B14,1,purging,25,8271,2893,2888,8570,7923,2912,8221,11052,10704,12411,,
27184,D-GAW,dark,Arabika Gayo Wine,B14,1,purging,26,8266,2893,2888,8570,7924,2914,8227,11055,10693,12409,,
