timestamp,sample_id,roast_level,origin,batch_id,run_id,phase,sample_idx,adc_tgs822,adc_mq135,adc_mq9,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,temperature,humidity
2181,D-MAN,dark,Arabika Manglayang Jawa Barat,B10,1,purging,1,9212,2810,2799,7811,8339,2778,8952,12343,11634,12830,,
3180,D-MAN,dark,Arabika Manglayang Jawa Barat,B10,1,purging,2,9212,2805,2802,7811,8340,2781,8952,12342,11634,12830,,
4180,D-MAN,dark,Arabika Manglayang Jawa Barat,B10,1,purging,3,9210,2808,2802,7812,8340,2781,8951,12341,11636,12829,,
5180,D-MAN,dark,Arabika Manglayang Jawa Barat,B10,1,purging,4,9209,2808,2800,7812,8340,2778,8948,12340,11636,12827,,
6180,D-MAN,dark,Arabika Manglayang Jawa Barat,B10,1,purging,5,9208,2810,2802,7812,8339,2778,8946,12339,11636,12827,,
7180,D-MAN,dark,Arabika Manglayang Jawa Barat,B10,1,purging,6,9208,2810,2800,7812,8338,2778,8945,12337,11636,12826,,
8180,D-MAN,dark,Arabika Manglayang Jawa Barat,B10,1,purging,7,9207,2809,2802,7812,8338,2781,8945,12336,11636,12826,,
9180,D-MAN,dark,Arabika Manglayang Jawa Barat,B10,1,purging,8,9206,2808,2802,7813,8337,2781,8944,12334,11636,12823,,
10180,D-MAN,dark,Arabika Manglayang Jawa Barat,B10,1,purging,9,9205,2805,2799,7813,8334,2779,8940,12332,11634,12820,,
11181,D-MAN,dark,Arabika Manglayang Jawa Barat,B10,1,purging,10,9205,2810,2797,7813,8331,2782,8936,12329,11633,12816,,
12180,D-MAN,dark,Arabika Manglayang Jawa Barat,B10,1,purging,11,9204,2810,2801,7812,8328,2778,8931,12327,11631,12814,,
13180,D-MAN,dark,Arabika Manglayang Jawa Barat,B10,1,purging,12,9204,2809,2801,7811,8324,2781,8925,12324,11629,12811,,
14180,D-MAN,dark,Arabika Manglayang Jawa Barat,B10,1,purging,13,9204,2808,2801,7811,8321,2778,8922,12322,11628,12811,,
15180,D-MAN,dark,Arabika Manglayang Jawa Barat,B10,1,purging,14,9205,2808,2802,7810,8319,2781,8920,12321,11626,12810,,
16180,D-MAN,dark,Arabika Manglayang Jawa Barat,B10,1,purging,15,9205,2809,2801,7810,8318,2781,8918,12321,11624,12811,,
17180,D-MAN,dark,Arabika Manglayang Jawa Barat,B10,1,purging,16,9205,2809,2796,7809,8317,2778,8918,12320,11623,12810,,
18181,D-MAN,dark,Arabika Manglayang Jawa Barat,B10,1,purging,17,9205,2809,2798,7809,8316,2782,8918,12320,11622,12809,,
19180,D-MAN,dark,Arabika Manglayang Jawa Barat,B10,1,purging,18,9205,2805,2799,7808,8316,2779,8917,12319,11622,12808,,
20180,D-MAN,dark,Arabika Manglayang Jawa Barat,B10,1,purging,19,9206,2811,2801,7807,8315,2778,8915,12318,11621,12807,,
21180,D-MAN,dark,Arabika Manglayang Jawa Barat,B10,1,purging,20,9205,2809,2800,7806,8313,2778,8914,12317,11620,12806,,
22180,D-MAN,dark,Arabika Manglayang Jawa Barat,B10,1,purging,21,9206,2808,2799,7805,8312,2781,8913,12315,11619,12804,,
23180,D-MAN,dark,Arabika Manglayang Jawa Barat,B10,1,purging,22,9206,2809,2802,7805,8311,2781,8912,12314,11618,12804,,
24180,D-MAN,dark,Arabika Manglayang Jawa Barat,B10,1,purging,23,9206,2808,2799,7804,8310,2781,8913,12314,11617,12806,,
25180,D-MAN,dark,Arabika Manglayang Jawa Barat,B10,1,purging,24,9206,2811,2799,7804,8310,2781,8915,12315,11617,12807,,
26180,D-MAN,dark,Arabika Manglayang Jawa Barat,B10,1,purging,25,9206,2807,2803,7803,8311,2778,8917,12316,11617,12808,,
