timestamp,sample_id,roast_level,origin,batch_id,run_id,phase,sample_idx,adc_tgs822,adc_mq135,adc_mq3,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,temperature,humidity
2196,D-TEM,dark,Arabika Temanggung Mukidi,B24,1,purging,1,10309,2883,2877,7440,8019,2893,8006,10447,10990,12563,,
3196,D-TEM,dark,Arabika Temanggung Mukidi,B24,1,purging,2,10310,2883,2879,7439,8018,2894,8006,10447,10990,12562,,
4196,D-TEM,dark,Arabika Temanggung Mukidi,B24,1,purging,3,10311,2886,2876,7439,8017,2893,8006,10447,10989,12564,,
5196,D-TEM,dark,Arabika Temanggung Mukidi,B24,1,purging,4,10310,2883,2879,7438,8018,2894,8008,10448,10989,12568,,
6196,D-TEM,dark,Arabika Temanggung Mukidi,B24,1,purging,5,10310,2886,2879,7438,8019,2896,8011,10449,10989,12569,,
7196,D-TEM,dark,Arabika Temanggung Mukidi,B24,1,purging,6,10310,2886,2876,7438,8021,2892,8014,10450,10989,12570,,
8197,D-TEM,dark,Arabika Temanggung Mukidi,B24,1,purging,7,10309,2886,2879,7437,8022,2893,8016,10451,10990,12571,,
9196,D-TEM,dark,Arabika Temanggung Mukidi,B24,1,purging,8,10310,2886,2879,7437,8023,2892,8017,10451,10991,12571,,
10196,D-TEM,dark,Arabika Temanggung Mukidi,B24,1,purging,9,10309,2886,2877,7437,8024,2892,8018,10452,10991,12571,,
11196,D-TEM,dark,Arabika Temanggung Mukidi,B24,1,purging,10,10309,2883,2877,7437,8025,2894,8018,10453,10991,12570,,
12196,D-TEM,dark,Arabika Temanggung Mukidi,B24,1,purging,11,10309,2886,2879,7437,8025,2893,8017,10452,10991,12569,,
13196,D-TEM,dark,Arabika Temanggung Mukidi,B24,1,purging,12,10309,2886,2875,7437,8025,2894,8017,10451,10991,12569,,
14196,D-TEM,dark,Arabika Temanggung Mukidi,B24,1,purging,13,10309,2886,2879,7437,8025,2890,8015,10451,10991,12568,,
15196,D-TEM,dark,Arabika Temanggung Mukidi,B24,1,purging,14,10309,2886,2876,7437,8024,2895,8015,10451,10991,12569,,
16196,D-TEM,dark,Arabika Temanggung Mukidi,B24,1,purging,15,10310,2886,2877,7436,8024,2894,8015,10451,10991,12568,,
17197,D-TEM,dark,Arabika Temanggung Mukidi,B24,1,purging,16,10310,2883,2876,7436,8024,2894,8015,10451,10990,12567,,
18196,D-TEM,dark,Arabika Temanggung Mukidi,B24,1,purging,17,10310,2883,2879,7436,8024,2894,8014,10450,10991,12567,,
19196,D-TEM,dark,Arabika Temanggung Mukidi,B24,1,purging,18,10310,2886,2879,7436,8023,2894,8013,10450,10990,12566,,
20196,D-TEM,dark,Arabika Temanggung Mukidi,B24,1,purging,19,10310,2886,2879,7436,8023,2894,8013,10450,10990,12566,,
21196,D-TEM,dark,Arabika Temanggung Mukidi,B24,1,purging,20,10310,2883,2879,7435,8022,2894,8013,10450,10990,12566,,
22196,D-TEM,dark,Arabika Temanggung Mukidi,B24,1,purging,21,10311,2886,2879,7435,8022,2892,8013,10450,10990,12566,,
23196,D-TEM,dark,Arabika Temanggung Mukidi,B24,1,purging,22,10311,2886,2874,7435,8021,2894,8013,10450,10990,12566,,
24197,D-TEM,dark,Arabika Temanggung Mukidi,B24,1,purging,23,10311,2888,2874,7435,8021,2894,8013,10451,10989,12566,,
25196,D-TEM,dark,Arabika Temanggung Mukidi,B24,1,purging,24,10311,2886,2879,7434,8021,2893,8013,10451,10989,12566,,
26196,D-TEM,dark,Arabika Temanggung Mukidi,B24,1,purging,25,10311,2886,2877,7434,8021,2894,8013,10451,10989,12567,,
27196,D-TEM,dark,Arabika Temanggung Mukidi,B24,1,purging,26,10311,2886,2877,7434,8021,2893,8014,10452,10990,12567,,
28196,D-TEM,dark,Arabika Temanggung Mukidi,B24,1,purging,27,10311,2883,2879,7434,8021,2894,8014,10452,10990,12568,,
29196,D-TEM,dark,Arabika Temanggung Mukidi,B24,1,purging,28,10311,2886,2877,7434,8022,2894,8014,10452,10990,12568,,
30196,D-TEM,dark,Arabika Temanggung Mukidi,B24,1,purging,29,10311,2886,2876,7433,8022,2894,8015,10453,10990,12569,,
31196,D-TEM,dark,Arabika Temanggung Mukidi,B24,1,purging,30,10311,2886,2879,7434,8023,2894,8016,10453,10991,12569,,
32196,D-TEM,dark,Arabika Temanggung Mukidi,B24,1,purging,31,10310,2883,2879,7433,8024,2892,8017,10454,10992,12572,,
33197,D-TEM,dark,Arabika Temanggung Mukidi,B24,1,purging,32,10310,2886,2877,7433,8025,2893,8020,10456,10993,12582,,
34196,D-TEM,dark,Arabika Temanggung Mukidi,B24,1,purging,33,10309,2886,2879,7433,8029,2893,8027,10460,10995,12592,,
35196,D-TEM,dark,Arabika Temanggung Mukidi,B24,1,purging,34,10306,2883,2879,7433,8034,2892,8037,10465,10998,12595,,
