timestamp,sample_id,roast_level,origin,batch_id,run_id,phase,sample_idx,adc_tgs822,adc_mq135,adc_mq3,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,temperature,humidity
2177,L-CAT,light,Arabika Catuji Mekarwangi,B23,1,purging,1,9631,2879,2875,7598,8177,2881,8373,10139,11061,12607,,
3176,L-CAT,light,Arabika Catuji Mekarwangi,B23,1,purging,2,9630,2877,2877,7598,8176,2881,8372,10137,11060,12606,,
4176,L-CAT,light,Arabika Catuji Mekarwangi,B23,1,purging,3,9628,2882,2875,7599,8177,2881,8373,10136,11058,12606,,
5176,L-CAT,light,Arabika Catuji Mekarwangi,B23,1,purging,4,9626,2879,2877,7599,8177,2881,8373,10134,11058,12607,,
6176,L-CAT,light,Arabika Catuji Mekarwangi,B23,1,purging,5,9625,2882,2875,7598,8178,2881,8374,10134,11058,12609,,
7176,L-CAT,light,Arabika Catuji Mekarwangi,B23,1,purging,6,9624,2882,2875,7599,8178,2881,8375,10134,11058,12609,,
8176,L-CAT,light,Arabika Catuji Mekarwangi,B23,1,purging,7,9623,2882,2873,7599,8179,2881,8376,10135,11058,12610,,
9177,L-CAT,light,Arabika Catuji Mekarwangi,B23,1,purging,8,9621,2877,2877,7599,8180,2881,8378,10134,11057,12610,,
10176,L-CAT,light,Arabika Catuji Mekarwangi,B23,1,purging,9,9621,2880,2877,7599,8180,2881,8378,10133,11058,12610,,
11176,L-CAT,light,Arabika Catuji Mekarwangi,B23,1,purging,10,9620,2882,2877,7600,8180,2881,8379,10132,11057,12609,,
12176,L-CAT,light,Arabika Catuji Mekarwangi,B23,1,purging,11,9619,2882,2875,7600,8180,2881,8378,10130,11056,12609,,
13176,L-CAT,light,Arabika Catuji Mekarwangi,B23,1,purging,12,9618,2882,2877,7600,8180,2881,8378,10129,11055,12609,,
14176,L-CAT,light,Arabika Catuji Mekarwangi,B23,1,purging,13,9616,2882,2877,7600,8180,2881,8379,10128,11055,12609,,
15176,L-CAT,light,Arabika Catuji Mekarwangi,B23,1,purging,14,9616,2877,2875,7600,8180,2881,8378,10127,11054,12610,,
16177,L-CAT,light,Arabika Catuji Mekarwangi,B23,1,purging,15,9614,2882,2877,7600,8180,2881,8380,10126,11053,12610,,
17176,L-CAT,light,Arabika Catuji Mekarwangi,B23,1,purging,16,9613,2877,2877,7600,8181,2881,8380,10126,11053,12610,,
