timestamp,sample_id,roast_level,origin,batch_id,run_id,phase,sample_idx,adc_tgs822,adc_mq135,adc_mq3,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,temperature,humidity
2196,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,1,9582,2877,2866,7614,8643,2880,8368,12057,11699,13034,,
3196,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,2,9582,2877,2868,7614,8642,2883,8368,12056,11698,13034,,
4196,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,3,9582,2875,2866,7614,8642,2880,8368,12056,11697,13033,,
5196,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,4,9582,2875,2864,7614,8641,2880,8368,12055,11696,13032,,
6196,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,5,9581,2875,2870,7614,8641,2878,8368,12054,11695,13032,,
7196,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,6,9580,2876,2868,7613,8641,2880,8368,12054,11694,13031,,
8197,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,7,9581,2877,2866,7613,8640,2880,8368,12053,11694,13030,,
9196,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,8,9581,2874,2866,7613,8639,2880,8368,12052,11693,13029,,
10196,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,9,9581,2874,2868,7613,8639,2880,8368,12051,11692,13026,,
11196,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,10,9581,2879,2868,7614,8638,2883,8367,12050,11691,13025,,
12196,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,11,9581,2878,2866,7613,8638,2883,8366,12048,11690,13024,,
13196,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,12,9581,2875,2866,7613,8636,2880,8366,12047,11689,13024,,
14196,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,13,9582,2875,2871,7613,8635,2880,8365,12047,11688,13022,,
15196,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,14,9581,2879,2870,7613,8634,2880,8365,12046,11687,13022,,
16196,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,15,9582,2875,2868,7613,8634,2880,8365,12045,11687,13022,,
17197,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,16,9582,2874,2868,7613,8634,2880,8365,12044,11687,13020,,
18196,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,17,9584,2879,2870,7612,8633,2880,8364,12043,11686,13019,,
19196,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,18,9586,2874,2868,7612,8633,2883,8363,12042,11686,13018,,
20196,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,19,9587,2879,2868,7612,8632,2885,8362,12041,11685,13017,,
21196,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,20,9589,2873,2868,7611,8631,2880,8361,12040,11685,13015,,
22196,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,21,9590,2875,2868,7611,8630,2880,8359,12038,11684,13013,,
23196,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,22,9591,2879,2870,7611,8628,2880,8357,12037,11684,13011,,
24197,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,23,9591,2874,2870,7611,8627,2880,8355,12035,11682,13007,,
25196,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,24,9592,2877,2870,7611,8624,2880,8352,12032,11680,13004,,
26196,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,25,9592,2879,2868,7611,8622,2885,8350,12030,11678,13002,,
27196,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,26,9591,2872,2866,7611,8619,2881,8348,12029,11675,13001,,
28196,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,27,9591,2875,2866,7611,8617,2880,8347,12027,11673,13000,,
29196,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,28,9590,2877,2871,7611,8616,2880,8346,12026,11671,12998,,
30196,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,29,9589,2874,2870,7611,8614,2880,8345,12026,11670,12995,,
31196,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,30,9587,2877,2868,7611,8612,2880,8344,12024,11667,12992,,
32196,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,31,9586,2875,2868,7611,8609,2878,8341,12021,11664,12988,,
33197,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,32,9585,2881,2870,7611,8606,2880,8338,12017,11661,12986,,
34196,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,33,9584,2875,2870,7611,8603,2880,8336,12016,11657,12985,,
35196,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,34,9584,2876,2868,7611,8601,2880,8336,12015,11655,12984,,
36196,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,35,9583,2877,2868,7610,8599,2885,8335,12014,11652,12983,,
37196,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,36,9582,2875,2868,7610,8598,2880,8335,12013,11650,12984,,
38196,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,37,9582,2874,2869,7610,8598,2880,8336,12013,11648,12985,,
39196,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,38,9581,2875,2870,7610,8597,2880,8338,12013,11647,12984,,
40197,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,39,9581,2879,2866,7610,8597,2883,8338,12013,11646,12983,,
41196,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,40,9579,2874,2868,7610,8596,2880,8338,12011,11644,12982,,
42196,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,41,9578,2873,2871,7609,8595,2880,8338,12011,11642,12981,,
43196,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,42,9578,2875,2868,7609,8595,2880,8339,12010,11642,12982,,
44196,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,43,9577,2875,2868,7609,8594,2885,8340,12010,11640,12982,,
45196,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,44,9577,2876,2870,7609,8594,2885,8340,12009,11639,12983,,
46196,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,45,9577,2873,2868,7609,8595,2883,8341,12009,11638,12983,,
47196,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,46,9575,2875,2870,7609,8595,2880,8342,12008,11638,12983,,
48196,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,47,9576,2874,2870,7609,8595,2880,8343,12008,11637,12983,,
49197,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,48,9575,2877,2868,7609,8595,2878,8344,12008,11637,12982,,
50196,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,49,9574,2874,2868,7608,8595,2880,8344,12007,11635,12979,,
51196,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,50,9573,2875,2870,7609,8594,2880,8342,12004,11634,12977,,
52196,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,51,9572,2876,2868,7608,8593,2880,8341,12003,11632,12974,,
53196,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,52,9572,2874,2866,7608,8591,2878,8339,12000,11630,12972,,
54196,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,53,9572,2876,2868,7608,8590,2878,8337,11998,11628,12970,,
55196,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,54,9571,2874,2869,7608,8587,2878,8336,11996,11626,12967,,
56197,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,55,9570,2874,2871,7608,8585,2880,8334,11995,11624,12966,,
57196,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,56,9570,2874,2870,7606,8583,2878,8333,11993,11622,12964,,
58196,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,57,9568,2879,2870,7606,8580,2880,8330,11990,11619,12960,,
59196,L-MAN,light,Arabika Mnglayang Jawa Barat,B13,1,purging,58,9568,2874,2868,7605,8578,2880,8328,11988,11616,12957,,
