timestamp,sample_id,roast_level,origin,batch_id,run_id,phase,sample_idx,adc_tgs822,adc_mq135,adc_mq9,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,temperature,humidity
2181,L-MER,light,Arabika Merapi,B10,1,purging,1,11824,2951,2942,8949,11863,2931,9005,15992,17939,13737,,
3180,L-MER,light,Arabika Merapi,B10,1,purging,2,11812,2949,2942,8953,11848,2931,9004,15982,17929,13729,,
4180,L-MER,light,Arabika Merapi,B10,1,purging,3,11801,2951,2941,8956,11833,2928,9002,15973,17918,13721,,
5180,L-MER,light,Arabika Merapi,B10,1,purging,4,11790,2951,2941,8960,11818,2928,9001,15963,17908,13713,,
6180,L-MER,light,Arabika Merapi,B10,1,purging,5,11778,2949,2942,8963,11803,2927,9000,15953,17898,13704,,
7180,L-MER,light,Arabika Merapi,B10,1,purging,6,11767,2949,2937,8966,11788,2929,8999,15944,17887,13697,,
8180,L-MER,light,Arabika Merapi,B10,1,purging,7,11757,2950,2937,8970,11774,2931,8998,15934,17877,13689,,
9180,L-MER,light,Arabika Merapi,B10,1,purging,8,11746,2949,2940,8973,11759,2929,8998,15926,17867,13681,,
10180,L-MER,light,Arabika Merapi,B10,1,purging,9,11735,2951,2939,8976,11745,2928,8996,15915,17856,13673,,
11181,L-MER,light,Arabika Merapi,B10,1,purging,10,11725,2946,2941,8979,11730,2929,8995,15906,17846,13665,,
12180,L-MER,light,Arabika Merapi,B10,1,purging,11,11714,2951,2940,8983,11715,2931,8993,15896,17835,13658,,
13180,L-MER,light,Arabika Merapi,B10,1,purging,12,11704,2947,2940,8986,11700,2929,8991,15887,17825,13649,,
14180,L-MER,light,Arabika Merapi,B10,1,purging,13,11693,2951,2937,8989,11685,2930,8990,15878,17815,13641,,
15180,L-MER,light,Arabika Merapi,B10,1,purging,14,11683,2951,2938,8992,11671,2925,8989,15867,17804,13634,,
16180,L-MER,light,Arabika Merapi,B10,1,purging,15,11673,2949,2938,8996,11657,2928,8988,15859,17794,13626,,
17180,L-MER,light,Arabika Merapi,B10,1,purging,16,11663,2950,2937,8999,11642,2926,8987,15849,17784,13619,,
18181,L-MER,light,Arabika Merapi,B10,1,purging,17,11653,2944,2939,9002,11628,2928,8985,15840,17774,13611,,
19180,L-MER,light,Arabika Merapi,B10,1,purging,18,11643,2947,2937,9005,11614,2926,8984,15832,17763,13604,,
20180,L-MER,light,Arabika Merapi,B10,1,purging,19,11634,2948,2937,9009,11600,2925,8983,15822,17753,13596,,
21180,L-MER,light,Arabika Merapi,B10,1,purging,20,11624,2947,2939,9012,11586,2924,8981,15811,17742,13589,,
