timestamp,sample_id,roast_level,origin,batch_id,run_id,phase,sample_idx,adc_tgs822,adc_mq135,adc_mq3,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,temperature,humidity
2169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,1,8713,2850,2841,8086,9441,2865,8573,11051,13255,13679,,
3169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,2,8713,2848,2843,8086,9443,2865,8574,11051,13259,13678,,
4169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,3,8711,2850,2842,8085,9441,2868,8573,11051,13259,13677,,
5170,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,4,8711,2849,2843,8084,9438,2863,8572,11049,13256,13676,,
6169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,5,8710,2848,2843,8083,9438,2865,8571,11048,13255,13677,,
7170,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,6,8709,2846,2840,8083,9438,2864,8572,11047,13255,13677,,
8169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,7,8708,2851,2844,8083,9437,2868,8572,11046,13254,13676,,
9169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,8,8706,2849,2843,8083,9434,2864,8572,11045,13251,13674,,
10169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,9,8705,2848,2841,8082,9433,2865,8570,11043,13247,13674,,
11169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,10,8704,2850,2845,8083,9436,2864,8572,11043,13249,13680,,
12169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,11,8704,2847,2840,8083,9444,2863,8577,11045,13256,13687,,
13169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,12,8703,2850,2845,8084,9453,2865,8583,11048,13266,13695,,
14170,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,13,8703,2848,2842,8085,9459,2865,8589,11050,13274,13698,,
15169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,14,8703,2848,2841,8084,9461,2865,8591,11050,13279,13696,,
16169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,15,8702,2846,2842,8084,9461,2867,8592,11049,13279,13700,,
17169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,16,8700,2847,2845,8083,9461,2865,8595,11051,13280,13703,,
18169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,17,8698,2848,2842,8083,9462,2865,8598,11052,13280,13703,,
19169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,18,8697,2848,2840,8082,9462,2867,8600,11051,13279,13704,,
20169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,19,8696,2846,2842,8083,9462,2865,8601,11050,13278,13701,,
21170,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,20,8696,2851,2843,8082,9461,2865,8599,11047,13277,13697,,
22169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,21,8697,2848,2842,8082,9458,2865,8597,11043,13275,13693,,
23170,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,22,8697,2846,2844,8082,9456,2864,8593,11040,13272,13689,,
24169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,23,8699,2849,2841,8082,9452,2866,8590,11036,13270,13685,,
25169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,24,8700,2851,2844,8082,9448,2865,8585,11033,13267,13682,,
26169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,25,8701,2849,2844,8082,9444,2863,8581,11030,13262,13678,,
27169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,26,8702,2848,2842,8081,9440,2864,8578,11027,13259,13675,,
28169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,27,8703,2844,2845,8081,9437,2865,8575,11025,13256,13672,,
29169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,28,8704,2850,2840,8081,9434,2868,8572,11022,13254,13669,,
30170,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,29,8705,2847,2843,8081,9431,2868,8569,11020,13251,13667,,
31169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,30,8706,2848,2839,8081,9428,2865,8566,11017,13249,13664,,
32169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,31,8706,2848,2845,8080,9425,2865,8564,11015,13247,13662,,
33169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,32,8708,2851,2842,8080,9423,2865,8561,11013,13245,13660,,
34169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,33,8709,2848,2845,8080,9420,2865,8559,11011,13242,13657,,
35169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,34,8710,2848,2842,8079,9417,2865,8556,11009,13239,13656,,
36169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,35,8710,2848,2840,8079,9415,2868,8554,11008,13236,13654,,
37170,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,36,8711,2850,2841,8079,9412,2865,8553,11006,13234,13653,,
38169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,37,8711,2848,2846,8079,9410,2864,8552,11005,13231,13652,,
39170,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,38,8712,2849,2845,8078,9409,2868,8551,11004,13228,13650,,
40169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,39,8712,2848,2842,8077,9407,2865,8550,11003,13226,13648,,
41169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,40,8713,2846,2844,8077,9405,2867,8548,11002,13224,13647,,
42169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,41,8714,2849,2842,8077,9404,2865,8547,11000,13221,13644,,
43169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,42,8715,2848,2845,8077,9402,2864,8546,10998,13219,13642,,
44169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,43,8716,2848,2845,8076,9401,2864,8544,10996,13217,13641,,
45169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,44,8717,2850,2842,8076,9399,2865,8543,10993,13215,13638,,
46170,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,45,8717,2848,2844,8076,9397,2865,8541,10992,13213,13635,,
47169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,46,8718,2850,2842,8076,9394,2867,8538,10990,13211,13633,,
48169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,47,8717,2850,2842,8075,9393,2865,8537,10988,13208,13632,,
49169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,48,8717,2847,2841,8075,9391,2867,8536,10987,13206,13630,,
50169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,49,8718,2846,2840,8075,9389,2867,8534,10985,13204,13628,,
51169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,50,8719,2846,2842,8075,9387,2864,8533,10983,13203,13625,,
52169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,51,8720,2851,2842,8074,9384,2865,8531,10981,13201,13622,,
53170,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,52,8721,2848,2845,8074,9382,2868,8528,10978,13199,13621,,
54169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,53,8721,2850,2841,8073,9380,2862,8526,10977,13197,13620,,
55170,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,54,8722,2848,2844,8073,9379,2863,8526,10976,13195,13619,,
56169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,55,8723,2849,2845,8073,9378,2863,8524,10975,13194,13617,,
57169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,56,8723,2851,2842,8073,9376,2863,8523,10974,13192,13617,,
58169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,57,8723,2850,2845,8072,9375,2865,8523,10972,13191,13615,,
59169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,58,8724,2850,2841,8072,9373,2865,8522,10971,13189,13614,,
60169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,59,8725,2847,2842,8071,9372,2865,8521,10970,13188,13613,,
61169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,60,8725,2847,2841,8071,9371,2864,8520,10969,13186,13611,,
62170,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,61,8726,2850,2842,8071,9370,2865,8519,10968,13185,13609,,
63169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,62,8726,2848,2842,8071,9369,2865,8518,10966,13183,13607,,
64169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,63,8727,2851,2840,8070,9367,2867,8516,10964,13182,13606,,
65169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,64,8726,2848,2840,8069,9365,2865,8515,10962,13181,13604,,
66169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,65,8727,2848,2841,8070,9364,2865,8514,10962,13179,13603,,
67169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,66,8727,2850,2845,8069,9362,2863,8513,10960,13178,13600,,
68169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,67,8729,2849,2841,8069,9360,2865,8511,10958,13176,13598,,
69170,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,68,8729,2848,2841,8068,9359,2867,8510,10956,13174,13596,,
70169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,69,8731,2847,2841,8068,9356,2863,8508,10955,13173,13595,,
71170,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,70,8731,2847,2845,8068,9355,2863,8507,10953,13172,13594,,
72169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,71,8732,2848,2845,8068,9354,2865,8506,10952,13171,13594,,
73169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,72,8732,2849,2842,8067,9353,2867,8505,10951,13171,13592,,
74169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,73,8733,2848,2841,8066,9352,2867,8504,10950,13170,13592,,
75169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,74,8734,2851,2841,8066,9352,2865,8504,10949,13170,13591,,
76169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,75,8734,2848,2845,8066,9351,2864,8503,10949,13170,13590,,
77169,L-RAT,light,Arabika Ratawali Aceh,B13,1,purging,76,8735,2846,2845,8066,9350,2864,8502,10948,13169,13589,,
