timestamp,sample_id,roast_level,origin,batch_id,run_id,phase,sample_idx,adc_tgs822,adc_mq135,adc_mq3,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,temperature,humidity
2196,L-TEM,light,Arabika Temanggung,B24,1,purging,1,10432,2945,2941,7895,8940,2951,7895,11254,14393,13248,,
3196,L-TEM,light,Arabika Temanggung,B24,1,purging,2,10427,2947,2937,7899,8924,2952,7894,11247,14381,13242,,
4196,L-TEM,light,Arabika Temanggung,B24,1,purging,3,10422,2946,2939,7904,8909,2954,7895,11239,14369,13237,,
5196,L-TEM,light,Arabika Temanggung,B24,1,purging,4,10416,2944,2938,7908,8893,2953,7896,11232,14358,13232,,
6196,L-TEM,light,Arabika Temanggung,B24,1,purging,5,10411,2943,2936,7912,8879,2952,7897,11226,14347,13227,,
7196,L-TEM,light,Arabika Temanggung,B24,1,purging,6,10406,2946,2939,7916,8865,2954,7898,11219,14336,13223,,
8197,L-TEM,light,Arabika Temanggung,B24,1,purging,7,10400,2947,2938,7920,8852,2953,7899,11212,14326,13220,,
9196,L-TEM,light,Arabika Temanggung,B24,1,purging,8,10394,2941,2937,7925,8840,2951,7901,11206,14316,13216,,
10196,L-TEM,light,Arabika Temanggung,B24,1,purging,9,10388,2943,2938,7929,8828,2953,7903,11200,14306,13214,,
11196,L-TEM,light,Arabika Temanggung,B24,1,purging,10,10383,2943,2935,7933,8817,2949,7905,11195,14298,13211,,
12196,L-TEM,light,Arabika Temanggung,B24,1,purging,11,10378,2943,2934,7938,8806,2951,7909,11189,14290,13211,,
13196,L-TEM,light,Arabika Temanggung,B24,1,purging,12,10373,2946,2934,7942,8798,2950,7913,11185,14283,13209,,
14196,L-TEM,light,Arabika Temanggung,B24,1,purging,13,10368,2943,2934,7947,8789,2954,7917,11180,14275,13205,,
15196,L-TEM,light,Arabika Temanggung,B24,1,purging,14,10362,2946,2933,7950,8778,2951,7918,11174,14266,13201,,
16196,L-TEM,light,Arabika Temanggung,B24,1,purging,15,10356,2943,2933,7954,8766,2953,7920,11168,14256,13197,,
17197,L-TEM,light,Arabika Temanggung,B24,1,purging,16,10350,2943,2934,7958,8755,2953,7921,11162,14245,13195,,
18196,L-TEM,light,Arabika Temanggung,B24,1,purging,17,10345,2943,2936,7962,8745,2952,7923,11156,14236,13192,,
19196,L-TEM,light,Arabika Temanggung,B24,1,purging,18,10340,2945,2937,7966,8734,2953,7925,11151,14227,13189,,
20196,L-TEM,light,Arabika Temanggung,B24,1,purging,19,10334,2942,2938,7970,8724,2950,7926,11145,14217,13184,,
21196,L-TEM,light,Arabika Temanggung,B24,1,purging,20,10329,2943,2936,7974,8713,2950,7927,11140,14207,13180,,
22196,L-TEM,light,Arabika Temanggung,B24,1,purging,21,10324,2944,2937,7977,8702,2948,7928,11134,14196,13175,,
23196,L-TEM,light,Arabika Temanggung,B24,1,purging,22,10320,2941,2935,7981,8691,2950,7928,11127,14186,13170,,
24197,L-TEM,light,Arabika Temanggung,B24,1,purging,23,10315,2943,2932,7985,8679,2949,7927,11121,14174,13164,,
25196,L-TEM,light,Arabika Temanggung,B24,1,purging,24,10311,2939,2936,7988,8666,2950,7926,11114,14162,13158,,
26196,L-TEM,light,Arabika Temanggung,B24,1,purging,25,10307,2944,2933,7992,8654,2953,7925,11107,14150,13154,,
27196,L-TEM,light,Arabika Temanggung,B24,1,purging,26,10304,2943,2937,7996,8642,2950,7925,11101,14139,13148,,
28196,L-TEM,light,Arabika Temanggung,B24,1,purging,27,10302,2943,2936,7999,8630,2951,7924,11094,14127,13144,,
29196,L-TEM,light,Arabika Temanggung,B24,1,purging,28,10299,2940,2935,8003,8619,2952,7923,11089,14116,13139,,
