timestamp,sample_id,roast_level,origin,batch_id,run_id,phase,sample_idx,adc_tgs822,adc_mq135,adc_mq3,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,temperature,humidity
2192,M-CAT,medium,Arabika Catuji Mekarwangi,B14,1,purging,1,10566,2943,2934,8766,11450,2952,8174,13147,16521,13226,,
3192,M-CAT,medium,Arabika Catuji Mekarwangi,B14,1,purging,2,10555,2942,2934,8770,11433,2951,8175,13136,16508,13219,,
4192,M-CAT,medium,Arabika Catuji Mekarwangi,B14,1,purging,3,10543,2942,2931,8773,11415,2950,8175,13125,16494,13212,,
5192,M-CAT,medium,Arabika Catuji Mekarwangi,B14,1,purging,4,10532,2941,2931,8777,11397,2952,8175,13114,16481,13205,,
6193,M-CAT,medium,Arabika Catuji Mekarwangi,B14,1,purging,5,10521,2941,2931,8780,11380,2951,8175,13103,16469,13198,,
7192,M-CAT,medium,Arabika Catuji Mekarwangi,B14,1,purging,6,10511,2941,2932,8784,11363,2951,8176,13092,16455,13191,,
8193,M-CAT,medium,Arabika Catuji Mekarwangi,B14,1,purging,7,10500,2941,2931,8787,11345,2946,8176,13082,16442,13185,,
9192,M-CAT,medium,Arabika Catuji Mekarwangi,B14,1,purging,8,10490,2942,2931,8791,11328,2951,8177,13071,16429,13178,,
10192,M-CAT,medium,Arabika Catuji Mekarwangi,B14,1,purging,9,10479,2943,2931,8794,11310,2950,8177,13061,16416,13171,,
11192,M-CAT,medium,Arabika Catuji Mekarwangi,B14,1,purging,10,10469,2941,2935,8798,11293,2950,8177,13051,16402,13164,,
12192,M-CAT,medium,Arabika Catuji Mekarwangi,B14,1,purging,11,10458,2943,2935,8801,11276,2947,8177,13040,16389,13157,,
13192,M-CAT,medium,Arabika Catuji Mekarwangi,B14,1,purging,12,10448,2938,2932,8805,11258,2947,8177,13029,16376,13150,,
14192,M-CAT,medium,Arabika Catuji Mekarwangi,B14,1,purging,13,10437,2941,2935,8808,11241,2949,8178,13020,16363,13144,,
15193,M-CAT,medium,Arabika Catuji Mekarwangi,B14,1,purging,14,10426,2943,2931,8811,11223,2946,8178,13010,16349,13139,,
