timestamp,sample_id,roast_level,origin,batch_id,run_id,phase,sample_idx,adc_tgs822,adc_mq135,adc_mq3,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,temperature,humidity
2180,M-GAW,medium,Arabika Gayo Wine,B15,1,purging,1,9029,2897,2897,7818,9121,2884,8998,13414,12874,13951,,
3179,M-GAW,medium,Arabika Gayo Wine,B15,1,purging,2,9028,2899,2892,7816,9118,2884,8996,13411,12872,13950,,
4179,M-GAW,medium,Arabika Gayo Wine,B15,1,purging,3,9027,2900,2897,7814,9117,2884,8995,13409,12870,13948,,
5179,M-GAW,medium,Arabika Gayo Wine,B15,1,purging,4,9027,2901,2895,7812,9116,2884,8994,13407,12868,13947,,
6179,M-GAW,medium,Arabika Gayo Wine,B15,1,purging,5,9026,2899,2892,7811,9114,2884,8992,13405,12866,13945,,
7179,M-GAW,medium,Arabika Gayo Wine,B15,1,purging,6,9024,2900,2892,7809,9113,2884,8991,13404,12864,13944,,
8179,M-GAW,medium,Arabika Gayo Wine,B15,1,purging,7,9024,2901,2893,7807,9112,2887,8990,13402,12863,13942,,
9179,M-GAW,medium,Arabika Gayo Wine,B15,1,purging,8,9024,2899,2892,7805,9111,2884,8989,13400,12860,13940,,
10179,M-GAW,medium,Arabika Gayo Wine,B15,1,purging,9,9024,2899,2896,7802,9111,2884,8988,13398,12859,13939,,
11181,M-GAW,medium,Arabika Gayo Wine,B15,1,purging,10,9023,2900,2897,7801,9110,2884,8986,13397,12857,13937,,
12180,M-GAW,medium,Arabika Gayo Wine,B15,1,purging,11,9023,2899,2896,7799,9108,2884,8985,13395,12856,13936,,
13180,M-GAW,medium,Arabika Gayo Wine,B15,1,purging,12,9024,2903,2899,7797,9108,2884,8984,13393,12855,13935,,
14180,M-GAW,medium,Arabika Gayo Wine,B15,1,purging,13,9024,2900,2894,7795,9109,2884,8984,13391,12855,13934,,
15180,M-GAW,medium,Arabika Gayo Wine,B15,1,purging,14,9024,2899,2894,7793,9110,2884,8984,13390,12857,13934,,
16180,M-GAW,medium,Arabika Gayo Wine,B15,1,purging,15,9023,2899,2895,7791,9110,2884,8984,13389,12857,13934,,
17180,M-GAW,medium,Arabika Gayo Wine,B15,1,purging,16,9023,2901,2897,7790,9111,2887,8983,13388,12858,13934,,
18181,M-GAW,medium,Arabika Gayo Wine,B15,1,purging,17,9023,2904,2894,7787,9111,2884,8984,13387,12858,13934,,
19180,M-GAW,medium,Arabika Gayo Wine,B15,1,purging,18,9021,2901,2894,7786,9111,2884,8985,13387,12858,13936,,
20180,M-GAW,medium,Arabika Gayo Wine,B15,1,purging,19,9020,2901,2897,7783,9112,2884,8986,13388,12857,13937,,
21180,M-GAW,medium,Arabika Gayo Wine,B15,1,purging,20,9018,2899,2899,7781,9113,2884,8988,13388,12857,13938,,
22180,M-GAW,medium,Arabika Gayo Wine,B15,1,purging,21,9017,2903,2901,7779,9114,2884,8990,13388,12855,13940,,
23180,M-GAW,medium,Arabika Gayo Wine,B15,1,purging,22,9015,2903,2897,7776,9115,2887,8994,13389,12854,13940,,
24180,M-GAW,medium,Arabika Gayo Wine,B15,1,purging,23,9013,2903,2896,7774,9117,2884,8995,13389,12854,13941,,
25180,M-GAW,medium,Arabika Gayo Wine,B15,1,purging,24,9011,2901,2896,7772,9118,2882,8997,13389,12854,13942,,
26180,M-GAW,medium,Arabika Gayo Wine,B15,1,purging,25,9010,2906,2900,7771,9120,2884,8999,13389,12854,13944,,
27181,M-GAW,medium,Arabika Gayo Wine,B15,1,purging,26,9007,2902,2897,7769,9123,2887,9002,13389,12855,13945,,
28180,M-GAW,medium,Arabika Gayo Wine,B15,1,purging,27,9006,2902,2896,7767,9125,2884,9004,13389,12855,13945,,
29180,M-GAW,medium,Arabika Gayo Wine,B15,1,purging,28,9004,2903,2896,7766,9126,2885,9004,13388,12856,13945,,
30180,M-GAW,medium,Arabika Gayo Wine,B15,1,purging,29,9002,2903,2898,7764,9126,2884,9006,13387,12856,13944,,
31180,M-GAW,medium,Arabika Gayo Wine,B15,1,purging,30,9001,2902,2895,7762,9126,2887,9005,13385,12855,13943,,
32180,M-GAW,medium,Arabika Gayo Wine,B15,1,purging,31,9000,2902,2897,7760,9125,2887,9004,13383,12854,13942,,
33180,M-GAW,medium,Arabika Gayo Wine,B15,1,purging,32,8999,2902,2896,7758,9125,2885,9003,13382,12853,13940,,
34181,M-GAW,medium,Arabika Gayo Wine,B15,1,purging,33,8998,2903,2897,7756,9124,2882,9001,13379,12853,13938,,
35180,M-GAW,medium,Arabika Gayo Wine,B15,1,purging,34,8998,2901,2896,7754,9122,2882,8998,13377,12851,13935,,
36180,M-GAW,medium,Arabika Gayo Wine,B15,1,purging,35,8998,2903,2898,7753,9119,2887,8995,13373,12849,13931,,
37180,M-GAW,medium,Arabika Gayo Wine,B15,1,purging,36,8998,2902,2897,7751,9116,2887,8992,13370,12847,13928,,
38180,M-GAW,medium,Arabika Gayo Wine,B15,1,purging,37,8998,2904,2897,7749,9112,2887,8988,13366,12844,13924,,
39180,M-GAW,medium,Arabika Gayo Wine,B15,1,purging,38,8998,2903,2901,7747,9108,2887,8983,13362,12840,13920,,
40180,M-GAW,medium,Arabika Gayo Wine,B15,1,purging,39,8998,2904,2897,7745,9104,2885,8978,13358,12837,13916,,
41180,M-GAW,medium,Arabika Gayo Wine,B15,1,purging,40,8997,2904,2899,7743,9099,2887,8974,13354,12833,13914,,
42180,M-GAW,medium,Arabika Gayo Wine,B15,1,purging,41,8997,2904,2898,7741,9096,2887,8970,13352,12829,13911,,
43181,M-GAW,medium,Arabika Gayo Wine,B15,1,purging,42,8997,2903,2897,7739,9092,2885,8966,13348,12825,13907,,
44179,M-GAW,medium,Arabika Gayo Wine,B15,1,purging,43,8996,2906,2901,7737,9089,2885,8963,13345,12821,13903,,
45180,M-GAW,medium,Arabika Gayo Wine,B15,1,purging,44,8995,2904,2898,7735,9085,2885,8959,13341,12818,13900,,
46180,M-GAW,medium,Arabika Gayo Wine,B15,1,purging,45,8995,2904,2899,7733,9081,2885,8955,13338,12814,13897,,
47180,M-GAW,medium,Arabika Gayo Wine,B15,1,purging,46,8994,2903,2900,7731,9078,2885,8952,13335,12810,13896,,
48180,M-GAW,medium,Arabika Gayo Wine,B15,1,purging,47,8995,2906,2897,7730,9076,2885,8951,13334,12807,13895,,
49180,M-GAW,medium,Arabika Gayo Wine,B15,1,purging,48,8996,2902,2899,7728,9074,2885,8949,13332,12804,13894,,
50181,M-GAW,medium,Arabika Gayo Wine,B15,1,purging,49,8998,2904,2898,7726,9073,2885,8949,13331,12801,13893,,
51180,M-GAW,medium,Arabika Gayo Wine,B15,1,purging,50,8998,2906,2899,7724,9072,2885,8950,13330,12798,13893,,
