timestamp,sample_id,roast_level,origin,batch_id,run_id,phase,sample_idx,adc_tgs822,adc_mq135,adc_mq9,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,temperature,humidity
2222,M-MAN,medium,Manglayang,B07,1,collecting,1,18568,3001,2978,7969,17026,2983,8184,19587,19704,16517,,
3221,M-MAN,medium,Manglayang,B07,1,collecting,2,18547,3003,2979,7982,17004,2980,8172,19568,19688,16478,,
4221,M-MAN,medium,Manglayang,B07,1,collecting,3,18525,3000,2978,7994,16983,2984,8160,19550,19672,16437,,
5221,M-MAN,medium,Manglayang,B07,1,collecting,4,18504,3001,2978,8007,16961,2982,8147,19533,19656,16401,,
6221,M-MAN,medium,Manglayang,B07,1,collecting,5,18483,3000,2978,8019,16940,2981,8138,19516,19640,16367,,
7221,M-MAN,medium,Manglayang,B07,1,collecting,6,18463,2997,2977,8031,16919,2981,8133,19501,19624,16332,,
8221,M-MAN,medium,Manglayang,B07,1,collecting,7,18443,2999,2978,8043,16899,2981,8122,19484,19610,16295,,
9222,M-MAN,medium,Manglayang,B07,1,collecting,8,18423,2999,2978,8055,16879,2981,8111,19467,19594,16258,,
10221,M-MAN,medium,Manglayang,B07,1,collecting,9,18403,3000,2977,8066,16859,2982,8102,19451,19578,16222,,
11222,M-MAN,medium,Manglayang,B07,1,collecting,10,18390,2998,2978,8078,16839,2981,8096,19435,19562,16194,,
12221,M-MAN,medium,Manglayang,B07,1,collecting,11,18390,2999,2978,8090,16818,2980,8102,19423,19548,16188,,
13221,M-MAN,medium,Manglayang,B07,1,collecting,12,18423,2998,2976,8102,16800,2981,8128,19418,19539,16191,,
14221,M-MAN,medium,Manglayang,B07,1,collecting,13,18452,2998,2979,8113,16783,2980,8149,19416,19534,16180,,
15221,M-MAN,medium,Manglayang,B07,1,collecting,14,18470,2999,2979,8125,16767,2979,8160,19413,19527,16167,,
16222,M-MAN,medium,Manglayang,B07,1,collecting,15,18477,2998,2979,8136,16752,2979,8159,19407,19519,16145,,
17221,M-MAN,medium,Manglayang,B07,1,collecting,16,18466,2998,2980,8147,16736,2979,8146,19399,19507,16103,,
18222,M-MAN,medium,Manglayang,B07,1,collecting,17,18439,2998,2974,8158,16719,2980,8122,19381,19490,16062,,
19221,M-MAN,medium,Manglayang,B07,1,collecting,18,18411,2997,2976,8169,16701,2979,8103,19364,19470,16023,,
20221,M-MAN,medium,Manglayang,B07,1,collecting,19,18382,2998,2979,8179,16683,2980,8091,19347,19451,15991,,
21221,M-MAN,medium,Manglayang,B07,1,collecting,20,18353,2994,2977,8190,16665,2979,8080,19331,19433,15955,,
22221,M-MAN,medium,Manglayang,B07,1,collecting,21,18324,2998,2976,8200,16647,2980,8068,19314,19415,15920,,
