timestamp,sample_id,roast_level,origin,batch_id,run_id,phase,sample_idx,adc_tgs822,adc_mq135,adc_mq9,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,temperature,humidity
2163,M-MUK,medium,Arabika Temanggung Mukidi,B10,1,purging,1,11772,2799,2786,7856,8906,2779,9139,15180,14153,14019,,
3163,M-MUK,medium,Arabika Temanggung Mukidi,B10,1,purging,2,11771,2798,2789,7855,8905,2779,9139,15179,14151,14019,,
4163,M-MUK,medium,Arabika Temanggung Mukidi,B10,1,purging,3,11769,2799,2789,7854,8904,2782,9137,15178,14149,14016,,
5164,M-MUK,medium,Arabika Temanggung Mukidi,B10,1,purging,4,11768,2803,2791,7854,8900,2782,9136,15175,14146,14013,,
6163,M-MUK,medium,Arabika Temanggung Mukidi,B10,1,purging,5,11767,2801,2789,7853,8898,2779,9134,15172,14142,14011,,
7163,M-MUK,medium,Arabika Temanggung Mukidi,B10,1,purging,6,11765,2797,2789,7853,8895,2779,9131,15170,14138,14010,,
8163,M-MUK,medium,Arabika Temanggung Mukidi,B10,1,purging,7,11763,2799,2788,7852,8893,2782,9130,15168,14134,14007,,
9162,M-MUK,medium,Arabika Temanggung Mukidi,B10,1,purging,8,11760,2799,2788,7852,8891,2781,9129,15166,14130,14006,,
10162,M-MUK,medium,Arabika Temanggung Mukidi,B10,1,purging,9,11758,2799,2789,7851,8888,2782,9127,15164,14126,14004,,
11163,M-MUK,medium,Arabika Temanggung Mukidi,B10,1,purging,10,11756,2800,2791,7851,8887,2779,9127,15163,14123,14004,,
12164,M-MUK,medium,Arabika Temanggung Mukidi,B10,1,purging,11,11754,2798,2789,7851,8886,2780,9126,15161,14120,14003,,
13163,M-MUK,medium,Arabika Temanggung Mukidi,B10,1,purging,12,11751,2798,2789,7850,8885,2782,9125,15160,14118,14002,,
14163,M-MUK,medium,Arabika Temanggung Mukidi,B10,1,purging,13,11748,2798,2789,7849,8884,2782,9125,15159,14115,14001,,
15163,M-MUK,medium,Arabika Temanggung Mukidi,B10,1,purging,14,11746,2797,2789,7849,8883,2782,9126,15158,14112,14000,,
16163,M-MUK,medium,Arabika Temanggung Mukidi,B10,1,purging,15,11744,2800,2789,7848,8883,2779,9126,15156,14109,14000,,
17163,M-MUK,medium,Arabika Temanggung Mukidi,B10,1,purging,16,11742,2799,2789,7848,8883,2779,9126,15155,14107,14000,,
18163,M-MUK,medium,Arabika Temanggung Mukidi,B10,1,purging,17,11740,2797,2792,7848,8883,2780,9129,15154,14105,14000,,
19163,M-MUK,medium,Arabika Temanggung Mukidi,B10,1,purging,18,11739,2799,2786,7847,8884,2782,9132,15153,14103,14000,,
20163,M-MUK,medium,Arabika Temanggung Mukidi,B10,1,purging,19,11738,2801,2789,7847,8883,2782,9130,15152,14101,14000,,
21164,M-MUK,medium,Arabika Temanggung Mukidi,B10,1,purging,20,11735,2799,2789,7846,8884,2779,9129,15152,14099,13999,,
22163,M-MUK,medium,Arabika Temanggung Mukidi,B10,1,purging,21,11735,2799,2789,7846,8883,2780,9129,15151,14097,13998,,
23163,M-MUK,medium,Arabika Temanggung Mukidi,B10,1,purging,22,11735,2799,2787,7846,8883,2780,9129,15150,14095,13998,,
24163,M-MUK,medium,Arabika Temanggung Mukidi,B10,1,purging,23,11737,2801,2787,7846,8883,2780,9129,15149,14094,13997,,
25163,M-MUK,medium,Arabika Temanggung Mukidi,B10,1,purging,24,11738,2799,2788,7846,8882,2779,9128,15148,14092,13996,,
26163,M-MUK,medium,Arabika Temanggung Mukidi,B10,1,purging,25,11738,2798,2789,7845,8881,2780,9126,15147,14090,13995,,
27163,M-MUK,medium,Arabika Temanggung Mukidi,B10,1,purging,26,11738,2799,2788,7845,8879,2782,9126,15146,14088,13995,,
28164,M-MUK,medium,Arabika Temanggung Mukidi,B10,1,purging,27,11738,2799,2790,7844,8878,2782,9125,15145,14087,13993,,
29163,M-MUK,medium,Arabika Temanggung Mukidi,B10,1,purging,28,11736,2797,2789,7845,8876,2782,9124,15144,14084,13992,,
30163,M-MUK,medium,Arabika Temanggung Mukidi,B10,1,purging,29,11733,2797,2787,7844,8875,2779,9123,15142,14081,13991,,
31163,M-MUK,medium,Arabika Temanggung Mukidi,B10,1,purging,30,11731,2798,2789,7844,8874,2782,9122,15140,14077,13990,,
32163,M-MUK,medium,Arabika Temanggung Mukidi,B10,1,purging,31,11729,2799,2789,7844,8873,2782,9122,15138,14076,13989,,
33163,M-MUK,medium,Arabika Temanggung Mukidi,B10,1,purging,32,11726,2798,2788,7843,8873,2780,9122,15137,14073,13989,,
34163,M-MUK,medium,Arabika Temanggung Mukidi,B10,1,purging,33,11724,2797,2788,7843,8873,2780,9124,15136,14071,13988,,
35163,M-MUK,medium,Arabika Temanggung Mukidi,B10,1,purging,34,11722,2799,2789,7842,8872,2779,9124,15135,14069,13987,,
36163,M-MUK,medium,Arabika Temanggung Mukidi,B10,1,purging,35,11720,2799,2789,7842,8872,2779,9123,15133,14066,13986,,
37164,M-MUK,medium,Arabika Temanggung Mukidi,B10,1,purging,36,11719,2797,2789,7842,8872,2782,9123,15131,14064,13986,,
38163,M-MUK,medium,Arabika Temanggung Mukidi,B10,1,purging,37,11718,2803,2787,7841,8871,2780,9122,15131,14062,13985,,
39163,M-MUK,medium,Arabika Temanggung Mukidi,B10,1,purging,38,11716,2799,2789,7841,8871,2780,9121,15130,14060,13985,,
40163,M-MUK,medium,Arabika Temanggung Mukidi,B10,1,purging,39,11714,2798,2789,7840,8872,2780,9123,15129,14058,13985,,
41163,M-MUK,medium,Arabika Temanggung Mukidi,B10,1,purging,40,11713,2799,2790,7840,8871,2782,9123,15128,14056,13985,,
42163,M-MUK,medium,Arabika Temanggung Mukidi,B10,1,purging,41,11711,2799,2791,7840,8871,2780,9122,15128,14054,13984,,
43163,M-MUK,medium,Arabika Temanggung Mukidi,B10,1,purging,42,11710,2799,2789,7840,8871,2782,9123,15127,14052,13984,,
44164,M-MUK,medium,Arabika Temanggung Mukidi,B10,1,purging,43,11708,2797,2789,7839,8870,2779,9123,15126,14050,13983,,
45163,M-MUK,medium,Arabika Temanggung Mukidi,B10,1,purging,44,11706,2799,2789,7839,8869,2779,9124,15125,14048,13984,,
46163,M-MUK,medium,Arabika Temanggung Mukidi,B10,1,purging,45,11705,2799,2789,7838,8871,2782,9125,15125,14047,13985,,
47163,M-MUK,medium,Arabika Temanggung Mukidi,B10,1,purging,46,11704,2799,2789,7838,8872,2779,9127,15126,14046,13988,,
48163,M-MUK,medium,Arabika Temanggung Mukidi,B10,1,purging,47,11703,2801,2789,7838,8875,2779,9129,15127,14046,13990,,
49163,M-MUK,medium,Arabika Temanggung Mukidi,B10,1,purging,48,11700,2798,2789,7837,8878,2782,9133,15128,14046,13992,,
50163,M-MUK,medium,Arabika Temanggung Mukidi,B10,1,purging,49,11699,2799,2789,7837,8880,2782,9138,15128,14046,13994,,
51163,M-MUK,medium,Arabika Temanggung Mukidi,B10,1,purging,50,11697,2799,2787,7837,8883,2780,9143,15128,14046,13996,,
52163,M-MUK,medium,Arabika Temanggung Mukidi,B10,1,purging,51,11696,2799,2789,7836,8886,2782,9145,15129,14047,13998,,
53164,M-MUK,medium,Arabika Temanggung Mukidi,B10,1,purging,52,11694,2799,2789,7836,8888,2779,9147,15130,14048,14000,,
54163,M-MUK,medium,Arabika Temanggung Mukidi,B10,1,purging,53,11692,2799,2787,7836,8892,2782,9151,15131,14049,14002,,
