timestamp,sample_id,roast_level,origin,batch_id,run_id,phase,sample_idx,adc_tgs822,adc_mq135,adc_mq9,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,temperature,humidity
2172,M-RAT,medium,Arabika Ratawali Aceh,B04,1,purging,1,11623,2802,2796,8251,9720,2782,9436,15461,15369,14676,,
3173,M-RAT,medium,Arabika Ratawali Aceh,B04,1,purging,2,11601,2804,2792,8251,9714,2782,9433,15446,15355,14666,,
4173,M-RAT,medium,Arabika Ratawali Aceh,B04,1,purging,3,11579,2803,2794,8251,9709,2782,9433,15430,15341,14657,,
5173,M-RAT,medium,Arabika Ratawali Aceh,B04,1,purging,4,11557,2803,2793,8251,9704,2782,9433,15416,15328,14650,,
6173,M-RAT,medium,Arabika Ratawali Aceh,B04,1,purging,5,11535,2802,2794,8251,9700,2782,9433,15403,15314,14642,,
7174,M-RAT,medium,Arabika Ratawali Aceh,B04,1,purging,6,11514,2801,2795,8251,9695,2782,9433,15389,15302,14633,,
8173,M-RAT,medium,Arabika Ratawali Aceh,B04,1,purging,7,11494,2805,2793,8252,9691,2782,9433,15375,15289,14624,,
9174,M-RAT,medium,Arabika Ratawali Aceh,B04,1,purging,8,11475,2803,2793,8252,9686,2782,9432,15361,15277,14615,,
10173,M-RAT,medium,Arabika Ratawali Aceh,B04,1,purging,9,11457,2803,2793,8252,9682,2782,9430,15347,15266,14605,,
11173,M-RAT,medium,Arabika Ratawali Aceh,B04,1,purging,10,11439,2803,2794,8253,9677,2779,9428,15333,15254,14597,,
12173,M-RAT,medium,Arabika Ratawali Aceh,B04,1,purging,11,11422,2801,2796,8253,9672,2779,9426,15320,15242,14588,,
13173,M-RAT,medium,Arabika Ratawali Aceh,B04,1,purging,12,11406,2802,2794,8253,9667,2782,9424,15307,15230,14580,,
14173,M-RAT,medium,Arabika Ratawali Aceh,B04,1,purging,13,11391,2802,2791,8253,9662,2782,9422,15294,15219,14572,,
15173,M-RAT,medium,Arabika Ratawali Aceh,B04,1,purging,14,11375,2800,2794,8254,9657,2779,9422,15282,15208,14564,,
16174,M-RAT,medium,Arabika Ratawali Aceh,B04,1,purging,15,11361,2801,2792,8254,9652,2782,9419,15269,15197,14556,,
17173,M-RAT,medium,Arabika Ratawali Aceh,B04,1,purging,16,11347,2803,2796,8254,9648,2782,9418,15256,15186,14548,,
18173,M-RAT,medium,Arabika Ratawali Aceh,B04,1,purging,17,11333,2804,2794,8254,9643,2782,9416,15244,15175,14540,,
19173,M-RAT,medium,Arabika Ratawali Aceh,B04,1,purging,18,11319,2802,2793,8255,9638,2782,9414,15232,15164,14532,,
20173,M-RAT,medium,Arabika Ratawali Aceh,B04,1,purging,19,11306,2802,2792,8255,9633,2782,9412,15220,15154,14525,,
21173,M-RAT,medium,Arabika Ratawali Aceh,B04,1,purging,20,11293,2802,2791,8255,9629,2782,9410,15209,15144,14517,,
22173,M-RAT,medium,Arabika Ratawali Aceh,B04,1,purging,21,11281,2804,2792,8255,9625,2782,9408,15197,15134,14510,,
23174,M-RAT,medium,Arabika Ratawali Aceh,B04,1,purging,22,11270,2800,2793,8255,9620,2782,9407,15185,15124,14503,,
24173,M-RAT,medium,Arabika Ratawali Aceh,B04,1,purging,23,11259,2802,2793,8256,9616,2782,9405,15174,15114,14496,,
25174,M-RAT,medium,Arabika Ratawali Aceh,B04,1,purging,24,11246,2802,2793,8256,9612,2782,9402,15163,15105,14488,,
26173,M-RAT,medium,Arabika Ratawali Aceh,B04,1,purging,25,11235,2801,2792,8256,9607,2782,9400,15152,15095,14482,,
27173,M-RAT,medium,Arabika Ratawali Aceh,B04,1,purging,26,11223,2801,2794,8256,9603,2783,9397,15141,15086,14475,,
28173,M-RAT,medium,Arabika Ratawali Aceh,B04,1,purging,27,11212,2799,2793,8257,9599,2782,9396,15131,15077,14468,,
29173,M-RAT,medium,Arabika Ratawali Aceh,B04,1,purging,28,11201,2804,2791,8257,9594,2780,9393,15120,15068,14461,,
30173,M-RAT,medium,Arabika Ratawali Aceh,B04,1,purging,29,11191,2799,2791,8257,9590,2782,9391,15109,15059,14454,,
31173,M-RAT,medium,Arabika Ratawali Aceh,B04,1,purging,30,11181,2802,2796,8257,9585,2779,9388,15098,15049,14447,,
32174,M-RAT,medium,Arabika Ratawali Aceh,B04,1,purging,31,11171,2803,2792,8257,9580,2783,9386,15088,15040,14441,,
33173,M-RAT,medium,Arabika Ratawali Aceh,B04,1,purging,32,11162,2803,2793,8257,9575,2782,9384,15078,15030,14434,,
34173,M-RAT,medium,Arabika Ratawali Aceh,B04,1,purging,33,11152,2806,2794,8257,9571,2782,9382,15068,15021,14427,,
35173,M-RAT,medium,Arabika Ratawali Aceh,B04,1,purging,34,11144,2803,2791,8257,9567,2779,9379,15058,15013,14420,,
36173,M-RAT,medium,Arabika Ratawali Aceh,B04,1,purging,35,11136,2804,2791,8258,9562,2782,9377,15048,15003,14413,,
37173,M-RAT,medium,Arabika Ratawali Aceh,B04,1,purging,36,11129,2801,2794,8258,9558,2779,9375,15039,14994,14408,,
38173,M-RAT,medium,Arabika Ratawali Aceh,B04,1,purging,37,11122,2800,2796,8258,9554,2782,9372,15029,14986,14401,,
39174,M-RAT,medium,Arabika Ratawali Aceh,B04,1,purging,38,11114,2801,2796,8258,9549,2782,9370,15020,14978,14396,,
40173,M-RAT,medium,Arabika Ratawali Aceh,B04,1,purging,39,11106,2800,2792,8258,9546,2782,9368,15011,14969,14391,,
41174,M-RAT,medium,Arabika Ratawali Aceh,B04,1,purging,40,11099,2800,2793,8258,9542,2780,9366,15003,14961,14386,,
42173,M-RAT,medium,Arabika Ratawali Aceh,B04,1,purging,41,11091,2805,2793,8258,9540,2782,9366,14995,14953,14383,,
43173,M-RAT,medium,Arabika Ratawali Aceh,B04,1,purging,42,11083,2805,2792,8258,9541,2779,9371,14991,14947,14392,,
