timestamp,sample_id,roast_level,origin,batch_id,run_id,phase,sample_idx,adc_tgs822,adc_mq135,adc_mq9,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,temperature,humidity
2228,M-TEM,medium,Arabika Temanggung,B04,1,collecting,1,15485,2915,2897,9918,11195,2903,7538,16848,13282,14098,,
3227,M-TEM,medium,Arabika Temanggung,B04,1,collecting,2,15479,2915,2900,9919,11193,2900,7538,16846,13278,14092,,
4228,M-TEM,medium,Arabika Temanggung,B04,1,collecting,3,15462,2916,2897,9920,11190,2903,7536,16840,13269,14088,,
5227,M-TEM,medium,Arabika Temanggung,B04,1,collecting,4,15454,2913,2900,9921,11190,2899,7539,16835,13261,14093,,
6227,M-TEM,medium,Arabika Temanggung,B04,1,collecting,5,15454,2913,2898,9922,11193,2900,7546,16838,13260,14098,,
7227,M-TEM,medium,Arabika Temanggung,B04,1,collecting,6,15447,2913,2900,9924,11196,2901,7552,16841,13262,14098,,
8227,M-TEM,medium,Arabika Temanggung,B04,1,collecting,7,15416,2914,2900,9924,11197,2901,7552,16834,13254,14089,,
9227,M-TEM,medium,Arabika Temanggung,B04,1,collecting,8,15383,2913,2897,9925,11195,2904,7553,16821,13235,14083,,
10227,M-TEM,medium,Arabika Temanggung,B04,1,collecting,9,15380,2915,2900,9926,11194,2902,7559,16815,13224,14084,,
11228,M-TEM,medium,Arabika Temanggung,B04,1,collecting,10,15391,2912,2898,9927,11195,2900,7565,16818,13223,14086,,
12227,M-TEM,medium,Arabika Temanggung,B04,1,collecting,11,15402,2913,2899,9929,11197,2904,7568,16821,13228,14088,,
13228,M-TEM,medium,Arabika Temanggung,B04,1,collecting,12,15413,2915,2897,9930,11197,2903,7570,16823,13234,14089,,
14227,M-TEM,medium,Arabika Temanggung,B04,1,collecting,13,15423,2917,2900,9930,11198,2900,7570,16824,13239,14089,,
15227,M-TEM,medium,Arabika Temanggung,B04,1,collecting,14,15429,2914,2897,9932,11198,2900,7569,16825,13243,14089,,
16227,M-TEM,medium,Arabika Temanggung,B04,1,collecting,15,15433,2912,2897,9933,11197,2901,7568,16825,13246,14087,,
17227,M-TEM,medium,Arabika Temanggung,B04,1,collecting,16,15434,2913,2897,9934,11195,2899,7567,16823,13245,14085,,
18228,M-TEM,medium,Arabika Temanggung,B04,1,collecting,17,15429,2912,2899,9935,11194,2898,7565,16821,13243,14081,,
19227,M-TEM,medium,Arabika Temanggung,B04,1,collecting,18,15425,2913,2897,9936,11191,2900,7563,16818,13239,14078,,
20228,M-TEM,medium,Arabika Temanggung,B04,1,collecting,19,15420,2912,2902,9937,11189,2898,7563,16814,13235,14075,,
21227,M-TEM,medium,Arabika Temanggung,B04,1,collecting,20,15416,2915,2897,9938,11187,2904,7561,16812,13230,14072,,
22227,M-TEM,medium,Arabika Temanggung,B04,1,collecting,21,15413,2913,2899,9939,11185,2900,7561,16810,13226,14070,,
23227,M-TEM,medium,Arabika Temanggung,B04,1,collecting,22,15407,2913,2896,9940,11184,2902,7561,16808,13221,14067,,
24227,M-TEM,medium,Arabika Temanggung,B04,1,collecting,23,15399,2913,2899,9941,11182,2902,7561,16804,13216,14064,,
25227,M-TEM,medium,Arabika Temanggung,B04,1,collecting,24,15393,2912,2899,9942,11181,2898,7561,16801,13210,14062,,
26227,M-TEM,medium,Arabika Temanggung,B04,1,collecting,25,15385,2915,2897,9942,11180,2899,7560,16798,13205,14059,,
27228,M-TEM,medium,Arabika Temanggung,B04,1,collecting,26,15379,2913,2896,9943,11179,2900,7560,16796,13202,14057,,
28227,M-TEM,medium,Arabika Temanggung,B04,1,collecting,27,15373,2913,2897,9944,11177,2901,7560,16793,13198,14055,,
29228,M-TEM,medium,Arabika Temanggung,B04,1,collecting,28,15368,2912,2897,9945,11177,2898,7560,16791,13193,14053,,
30227,M-TEM,medium,Arabika Temanggung,B04,1,collecting,29,15364,2912,2897,9946,11176,2898,7561,16789,13190,14052,,
31227,M-TEM,medium,Arabika Temanggung,B04,1,collecting,30,15359,2915,2899,9947,11175,2903,7561,16788,13186,14050,,
32227,M-TEM,medium,Arabika Temanggung,B04,1,collecting,31,15353,2912,2897,9948,11174,2902,7561,16785,13182,14048,,
33227,M-TEM,medium,Arabika Temanggung,B04,1,collecting,32,15347,2915,2899,9949,11173,2898,7561,16783,13177,14047,,
34228,M-TEM,medium,Arabika Temanggung,B04,1,collecting,33,15341,2912,2897,9950,11173,2898,7562,16781,13173,14044,,
35227,M-TEM,medium,Arabika Temanggung,B04,1,collecting,34,15337,2912,2897,9950,11172,2902,7562,16779,13170,14043,,
36228,M-TEM,medium,Arabika Temanggung,B04,1,collecting,35,15333,2913,2896,9951,11172,2897,7563,16778,13168,14042,,
37227,M-TEM,medium,Arabika Temanggung,B04,1,collecting,36,15330,2915,2897,9952,11171,2901,7564,16776,13166,14041,,
38227,M-TEM,medium,Arabika Temanggung,B04,1,collecting,37,15328,2912,2897,9953,11172,2900,7564,16774,13164,14040,,
39227,M-TEM,medium,Arabika Temanggung,B04,1,collecting,38,15324,2912,2897,9953,11171,2901,7565,16772,13162,14039,,
40227,M-TEM,medium,Arabika Temanggung,B04,1,collecting,39,15321,2912,2899,9954,11171,2898,7566,16770,13161,14037,,
41227,M-TEM,medium,Arabika Temanggung,B04,1,collecting,40,15316,2916,2895,9955,11171,2898,7567,16768,13158,14036,,
