timestamp,sample_id,roast_level,origin,batch_id,run_id,phase,sample_idx,adc_tgs822,adc_mq135,adc_mq9,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,temperature,humidity
2181,M-TIM,medium,Arabika Timor Leste,B04,1,purging,1,10816,2935,2927,9032,12644,2915,9437,15995,17970,14422,,
3180,M-TIM,medium,Arabika Timor Leste,B04,1,purging,2,10802,2933,2925,9036,12625,2915,9434,15983,17956,14410,,
4180,M-TIM,medium,Arabika Timor Leste,B04,1,purging,3,10788,2933,2925,9040,12607,2914,9431,15971,17943,14397,,
5180,M-TIM,medium,Arabika Timor Leste,B04,1,purging,4,10774,2936,2924,9045,12588,2914,9428,15959,17929,14384,,
6180,M-TIM,medium,Arabika Timor Leste,B04,1,purging,5,10762,2933,2923,9049,12569,2917,9425,15946,17916,14370,,
7180,M-TIM,medium,Arabika Timor Leste,B04,1,purging,6,10748,2934,2925,9053,12550,2916,9422,15933,17901,14358,,
8180,M-TIM,medium,Arabika Timor Leste,B04,1,purging,7,10736,2933,2926,9057,12530,2915,9418,15921,17888,14345,,
9180,M-TIM,medium,Arabika Timor Leste,B04,1,purging,8,10723,2933,2926,9061,12511,2916,9416,15908,17873,14333,,
10180,M-TIM,medium,Arabika Timor Leste,B04,1,purging,9,10710,2933,2926,9065,12492,2915,9413,15897,17860,14322,,
11181,M-TIM,medium,Arabika Timor Leste,B04,1,purging,10,10698,2935,2923,9069,12474,2918,9411,15886,17846,14313,,
12180,M-TIM,medium,Arabika Timor Leste,B04,1,purging,11,10685,2934,2924,9073,12458,2914,9409,15875,17833,14303,,
13180,M-TIM,medium,Arabika Timor Leste,B04,1,purging,12,10673,2929,2922,9077,12441,2916,9407,15863,17821,14292,,
14180,M-TIM,medium,Arabika Timor Leste,B04,1,purging,13,10660,2936,2926,9081,12425,2914,9406,15853,17808,14283,,
15180,M-TIM,medium,Arabika Timor Leste,B04,1,purging,14,10647,2929,2924,9085,12408,2915,9404,15843,17796,14273,,
16180,M-TIM,medium,Arabika Timor Leste,B04,1,purging,15,10635,2932,2924,9089,12393,2914,9403,15832,17783,14263,,
17180,M-TIM,medium,Arabika Timor Leste,B04,1,purging,16,10623,2932,2921,9093,12376,2914,9402,15821,17770,14251,,
18181,M-TIM,medium,Arabika Timor Leste,B04,1,purging,17,10611,2930,2924,9097,12359,2915,9400,15809,17757,14241,,
19180,M-TIM,medium,Arabika Timor Leste,B04,1,purging,18,10600,2929,2922,9101,12342,2914,9397,15797,17744,14230,,
20180,M-TIM,medium,Arabika Timor Leste,B04,1,purging,19,10588,2932,2924,9105,12325,2914,9394,15786,17731,14218,,
21180,M-TIM,medium,Arabika Timor Leste,B04,1,purging,20,10576,2930,2925,9109,12307,2913,9392,15774,17717,14206,,
22180,M-TIM,medium,Arabika Timor Leste,B04,1,purging,21,10564,2935,2922,9112,12289,2912,9388,15763,17704,14196,,
23180,M-TIM,medium,Arabika Timor Leste,B04,1,purging,22,10553,2930,2924,9117,12272,2912,9385,15750,17691,14185,,
24180,M-TIM,medium,Arabika Timor Leste,B04,1,purging,23,10543,2933,2922,9121,12254,2912,9383,15740,17677,14176,,
25180,M-TIM,medium,Arabika Timor Leste,B04,1,purging,24,10532,2931,2921,9125,12238,2912,9381,15729,17664,14166,,
26180,M-TIM,medium,Arabika Timor Leste,B04,1,purging,25,10521,2932,2925,9128,12222,2911,9379,15719,17651,14156,,
27181,M-TIM,medium,Arabika Timor Leste,B04,1,purging,26,10511,2933,2925,9132,12205,2911,9377,15706,17638,14147,,
28180,M-TIM,medium,Arabika Timor Leste,B04,1,purging,27,10502,2929,2920,9136,12191,2909,9377,15698,17626,14144,,
29180,M-TIM,medium,Arabika Timor Leste,B04,1,purging,28,10493,2932,2922,9139,12178,2912,9379,15690,17615,14137,,
30180,M-TIM,medium,Arabika Timor Leste,B04,1,purging,29,10484,2932,2924,9144,12166,2910,9379,15681,17604,14129,,
31180,M-TIM,medium,Arabika Timor Leste,B04,1,purging,30,10475,2932,2923,9148,12152,2910,9379,15672,17593,14121,,
32180,M-TIM,medium,Arabika Timor Leste,B04,1,purging,31,10466,2933,2923,9151,12139,2910,9379,15663,17582,14113,,
33180,M-TIM,medium,Arabika Timor Leste,B04,1,purging,32,10458,2933,2920,9155,12125,2910,9378,15654,17570,14104,,
34181,M-TIM,medium,Arabika Timor Leste,B04,1,purging,33,10450,2933,2919,9158,12110,2909,9376,15643,17558,14096,,
35180,M-TIM,medium,Arabika Timor Leste,B04,1,purging,34,10441,2929,2923,9162,12095,2909,9374,15633,17546,14088,,
36180,M-TIM,medium,Arabika Timor Leste,B04,1,purging,35,10431,2927,2921,9166,12080,2909,9372,15623,17534,14078,,
37180,M-TIM,medium,Arabika Timor Leste,B04,1,purging,36,10421,2928,2920,9170,12064,2910,9370,15613,17521,14069,,
38180,M-TIM,medium,Arabika Timor Leste,B04,1,purging,37,10411,2931,2919,9173,12049,2907,9368,15602,17508,14061,,
39180,M-TIM,medium,Arabika Timor Leste,B04,1,purging,38,10400,2930,2919,9177,12035,2914,9366,15593,17495,14053,,
40180,M-TIM,medium,Arabika Timor Leste,B04,1,purging,39,10392,2929,2923,9180,12021,2909,9366,15583,17484,14047,,
41180,M-TIM,medium,Arabika Timor Leste,B04,1,purging,40,10384,2927,2922,9184,12007,2909,9365,15575,17472,14039,,
42180,M-TIM,medium,Arabika Timor Leste,B04,1,purging,41,10375,2926,2922,9188,11993,2909,9364,15565,17460,14031,,
43181,M-TIM,medium,Arabika Timor Leste,B04,1,purging,42,10366,2928,2917,9191,11979,2909,9362,15556,17448,14024,,
44180,M-TIM,medium,Arabika Timor Leste,B04,1,purging,43,10356,2926,2919,9195,11965,2907,9360,15547,17435,14015,,
45180,M-TIM,medium,Arabika Timor Leste,B04,1,purging,44,10344,2925,2919,9198,11951,2908,9358,15537,17423,14007,,
46180,M-TIM,medium,Arabika Timor Leste,B04,1,purging,45,10333,2928,2920,9202,11937,2909,9358,15526,17411,13998,,
47180,M-TIM,medium,Arabika Timor Leste,B04,1,purging,46,10322,2924,2922,9205,11923,2909,9357,15515,17399,13992,,
