timestamp,sample_id,roast_level,origin,batch_id,run_id,phase,sample_idx,adc_tgs822,adc_mq135,adc_mq9,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,temperature,humidity
2217,D-GAY,dark,Arabika Gayo Aceh,B04,1,collecting,1,20000,14968,14949,18292,20000,14958,19287,20000,20000,20000,,
3217,D-GAY,dark,Arabika Gayo Aceh,B04,1,collecting,2,20000,14969,14951,18307,20000,14959,19288,20000,20000,20000,,
4217,D-GAY,dark,Arabika Gayo Aceh,B04,1,collecting,3,20000,14968,14949,18322,20000,14958,19290,20000,20000,20000,,
5217,D-GAY,dark,Arabika Gayo Aceh,B04,1,collecting,4,20000,14968,14950,18338,20000,14953,19292,20000,20000,20000,,
6217,D-GAY,dark,Arabika Gayo Aceh,B04,1,collecting,5,20000,14970,14950,18353,20000,14957,19295,20000,20000,20000,,
7218,D-GAY,dark,Arabika Gayo Aceh,B04,1,collecting,6,20000,14968,14947,18368,20000,14957,19297,20000,20000,20000,,
8217,D-GAY,dark,Arabika Gayo Aceh,B04,1,collecting,7,20000,14971,14954,18383,20000,14955,19298,20000,20000,20000,,
9218,D-GAY,dark,Arabika Gayo Aceh,B04,1,collecting,8,20000,14967,14949,18398,20000,14957,19300,20000,20000,20000,,
10217,D-GAY,dark,Arabika Gayo Aceh,B04,1,collecting,9,20000,14967,14949,18413,20000,14955,19302,20000,20000,20000,,
11217,D-GAY,dark,Arabika Gayo Aceh,B04,1,collecting,10,20000,14966,14949,18428,20000,14955,19304,20000,20000,20000,,
12217,D-GAY,dark,Arabika Gayo Aceh,B04,1,collecting,11,20000,14965,14952,18443,20000,14956,19307,20000,20000,20000,,
13217,D-GAY,dark,Arabika Gayo Aceh,B04,1,collecting,12,20000,14969,14949,18459,20000,14958,19311,20000,20000,20000,,
14218,D-GAY,dark,Arabika Gayo Aceh,B04,1,collecting,13,20000,14971,14948,18474,20000,14952,19314,20000,20000,20000,,
15217,D-GAY,dark,Arabika Gayo Aceh,B04,1,collecting,14,20000,14967,14952,18489,20000,14958,19317,20000,20000,20000,,
16218,D-GAY,dark,Arabika Gayo Aceh,B04,1,collecting,15,20000,14968,14945,18502,20000,14957,19319,20000,20000,20000,,
17217,D-GAY,dark,Arabika Gayo Aceh,B04,1,collecting,16,20000,14970,14951,18516,20000,14954,19321,20000,20000,20000,,
18217,D-GAY,dark,Arabika Gayo Aceh,B04,1,collecting,17,20000,14970,14951,18530,20000,14953,19323,20000,20000,20000,,
19217,D-GAY,dark,Arabika Gayo Aceh,B04,1,collecting,18,20000,14964,14952,18544,20000,14957,19324,20000,20000,20000,,
