timestamp,sample_id,roast_level,origin,batch_id,run_id,phase,sample_idx,adc_tgs822,adc_mq135,adc_mq9,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,temperature,humidity
2217,D-GAY,dark,Arabika Gayo Aceh,B04,1,collecting,1,19691,5968,5949,9292,15857,5958,10287,20180,18873,19028,,
3217,D-GAY,dark,Arabika Gayo Aceh,B04,1,collecting,2,19687,5969,5951,9307,15827,5959,10288,20176,18860,19005,,
4217,D-GAY,dark,Arabika Gayo Aceh,B04,1,collecting,3,19683,5968,5949,9322,15799,5958,10290,20172,18848,18984,,
5217,D-GAY,dark,Arabika Gayo Aceh,B04,1,collecting,4,19680,5968,5950,9338,15772,5953,10292,20169,18837,18963,,
6217,D-GAY,dark,Arabika Gayo Aceh,B04,1,collecting,5,19678,5970,5950,9353,15744,5957,10295,20168,18827,18942,,
7218,D-GAY,dark,Arabika Gayo Aceh,B04,1,collecting,6,19676,5968,5947,9368,15717,5957,10297,20165,18817,18922,,
8217,D-GAY,dark,Arabika Gayo Aceh,B04,1,collecting,7,19672,5971,5954,9383,15690,5955,10298,20162,18807,18902,,
9218,D-GAY,dark,Arabika Gayo Aceh,B04,1,collecting,8,19667,5967,5949,9398,15664,5957,10300,20160,18797,18882,,
10217,D-GAY,dark,Arabika Gayo Aceh,B04,1,collecting,9,19663,5967,5949,9413,15637,5955,10302,20158,18787,18863,,
11217,D-GAY,dark,Arabika Gayo Aceh,B04,1,collecting,10,19659,5966,5949,9428,15613,5955,10304,20157,18778,18847,,
12217,D-GAY,dark,Arabika Gayo Aceh,B04,1,collecting,11,19654,5965,5952,9443,15591,5956,10307,20155,18771,18833,,
13217,D-GAY,dark,Arabika Gayo Aceh,B04,1,collecting,12,19651,5969,5949,9459,15569,5958,10311,20154,18766,18819,,
14218,D-GAY,dark,Arabika Gayo Aceh,B04,1,collecting,13,19646,5971,5948,9474,15548,5952,10314,20154,18760,18805,,
15217,D-GAY,dark,Arabika Gayo Aceh,B04,1,collecting,14,19642,5967,5952,9489,15526,5958,10317,20153,18753,18789,,
16218,D-GAY,dark,Arabika Gayo Aceh,B04,1,collecting,15,19637,5968,5945,9502,15502,5957,10319,20151,18745,18773,,
