timestamp,sample_id,roast_level,origin,batch_id,run_id,phase,sample_idx,adc_tgs822,adc_mq135,adc_mq9,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,temperature,humidity
2169,D-CAT,dark,Arabika Catuji Mekarwangi,B10,1,purging,1,11148,2794,2780,7920,9394,2779,9494,15348,14283,14287,,
3168,D-CAT,dark,Arabika Catuji Mekarwangi,B10,1,purging,2,11148,2793,2788,7921,9394,2779,9496,15346,14281,14286,,
4169,D-CAT,dark,Arabika Catuji Mekarwangi,B10,1,purging,3,11146,2793,2783,7922,9393,2781,9494,15343,14279,14285,,
5169,D-CAT,dark,Arabika Catuji Mekarwangi,B10,1,purging,4,11145,2790,2782,7922,9392,2782,9494,15341,14276,14285,,
6169,D-CAT,dark,Arabika Catuji Mekarwangi,B10,1,purging,5,11143,2791,2781,7923,9392,2780,9495,15339,14273,14286,,
7170,D-CAT,dark,Arabika Catuji Mekarwangi,B10,1,purging,6,11140,2796,2785,7923,9392,2778,9497,15336,14270,14286,,
8169,D-CAT,dark,Arabika Catuji Mekarwangi,B10,1,purging,7,11138,2791,2781,7924,9392,2779,9498,15335,14268,14287,,
9169,D-CAT,dark,Arabika Catuji Mekarwangi,B10,1,purging,8,11136,2792,2782,7925,9393,2780,9500,15333,14266,14286,,
10168,D-CAT,dark,Arabika Catuji Mekarwangi,B10,1,purging,9,11134,2795,2783,7926,9393,2782,9501,15330,14264,14285,,
11169,D-CAT,dark,Arabika Catuji Mekarwangi,B10,1,purging,10,11132,2790,2782,7927,9394,2779,9502,15328,14261,14285,,
12169,D-CAT,dark,Arabika Catuji Mekarwangi,B10,1,purging,11,11130,2796,2782,7928,9394,2782,9503,15325,14259,14283,,
13169,D-CAT,dark,Arabika Catuji Mekarwangi,B10,1,purging,12,11129,2791,2782,7929,9393,2779,9502,15322,14255,14282,,
14170,D-CAT,dark,Arabika Catuji Mekarwangi,B10,1,purging,13,11128,2791,2782,7930,9391,2780,9500,15319,14252,14280,,
15169,D-CAT,dark,Arabika Catuji Mekarwangi,B10,1,purging,14,11127,2791,2788,7930,9389,2781,9497,15316,14249,14279,,
16169,D-CAT,dark,Arabika Catuji Mekarwangi,B10,1,purging,15,11125,2794,2782,7931,9388,2780,9495,15313,14246,14277,,
17169,D-CAT,dark,Arabika Catuji Mekarwangi,B10,1,purging,16,11124,2794,2782,7932,9386,2782,9495,15311,14242,14276,,
18169,D-CAT,dark,Arabika Catuji Mekarwangi,B10,1,purging,17,11124,2795,2788,7933,9385,2778,9494,15308,14239,14276,,
19169,D-CAT,dark,Arabika Catuji Mekarwangi,B10,1,purging,18,11123,2795,2787,7934,9385,2778,9494,15306,14237,14275,,
20169,D-CAT,dark,Arabika Catuji Mekarwangi,B10,1,purging,19,11121,2795,2786,7934,9384,2782,9494,15305,14234,14275,,
21169,D-CAT,dark,Arabika Catuji Mekarwangi,B10,1,purging,20,11120,2794,2788,7935,9384,2780,9494,15302,14232,14275,,
22169,D-CAT,dark,Arabika Catuji Mekarwangi,B10,1,purging,21,11119,2794,2782,7936,9384,2778,9494,15301,14229,14276,,
23170,D-CAT,dark,Arabika Catuji Mekarwangi,B10,1,purging,22,11117,2794,2781,7936,9384,2781,9494,15299,14228,14275,,
24169,D-CAT,dark,Arabika Catuji Mekarwangi,B10,1,purging,23,11116,2794,2788,7937,9383,2780,9494,15296,14226,14274,,
25169,D-CAT,dark,Arabika Catuji Mekarwangi,B10,1,purging,24,11115,2798,2783,7937,9383,2777,9494,15294,14223,14273,,
26169,D-CAT,dark,Arabika Catuji Mekarwangi,B10,1,purging,25,11113,2791,2786,7938,9382,2782,9493,15291,14220,14272,,
27169,D-CAT,dark,Arabika Catuji Mekarwangi,B10,1,purging,26,11113,2796,2783,7938,9382,2782,9492,15289,14218,14271,,
28169,D-CAT,dark,Arabika Catuji Mekarwangi,B10,1,purging,27,11111,2794,2786,7939,9380,2781,9489,15287,14215,14270,,
29169,D-CAT,dark,Arabika Catuji Mekarwangi,B10,1,purging,28,11110,2791,2781,7939,9380,2780,9490,15285,14213,14270,,
30170,D-CAT,dark,Arabika Catuji Mekarwangi,B10,1,purging,29,11108,2795,2783,7940,9379,2782,9490,15283,14211,14270,,
31169,D-CAT,dark,Arabika Catuji Mekarwangi,B10,1,purging,30,11108,2792,2781,7940,9380,2782,9491,15281,14209,14269,,
32169,D-CAT,dark,Arabika Catuji Mekarwangi,B10,1,purging,31,11107,2795,2782,7940,9379,2778,9489,15279,14207,14269,,
33169,D-CAT,dark,Arabika Catuji Mekarwangi,B10,1,purging,32,11105,2791,2783,7941,9378,2778,9488,15278,14205,14268,,
