timestamp,sample_id,roast_level,origin,batch_id,run_id,phase,sample_idx,adc_tgs822,adc_mq135,adc_mq3,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,temperature,humidity
2177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,1,9827,2941,2934,6784,8601,2922,8328,12125,11297,13342,,
3176,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,2,9823,2941,2934,6783,8600,2926,8329,12123,11296,13342,,
4176,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,3,9820,2939,2936,6783,8600,2921,8329,12122,11295,13341,,
5176,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,4,9819,2940,2933,6783,8600,2922,8328,12121,11293,13341,,
6176,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,5,9819,2940,2935,6783,8601,2923,8330,12121,11293,13342,,
7177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,6,9820,2942,2933,6782,8602,2922,8331,12121,11293,13342,,
8176,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,7,9820,2942,2933,6782,8602,2922,8331,12120,11294,13341,,
9177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,8,9820,2941,2936,6782,8602,2921,8331,12119,11293,13340,,
10176,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,9,9821,2945,2934,6782,8602,2922,8329,12118,11293,13339,,
11177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,10,9821,2944,2935,6782,8601,2922,8328,12117,11293,13337,,
12177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,11,9822,2943,2937,6782,8600,2923,8326,12115,11293,13336,,
13177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,12,9824,2942,2935,6782,8599,2923,8324,12114,11292,13335,,
14177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,13,9828,2941,2936,6781,8597,2923,8321,12113,11291,13333,,
15177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,14,9831,2943,2934,6781,8596,2923,8320,12112,11291,13333,,
16177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,15,9833,2946,2933,6780,8593,2923,8318,12111,11291,13332,,
17177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,16,9833,2946,2935,6780,8592,2923,8316,12111,11290,13330,,
18178,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,17,9832,2944,2933,6780,8589,2923,8315,12109,11288,13329,,
19177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,18,9827,2946,2933,6779,8587,2922,8314,12107,11287,13328,,
20177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,19,9823,2946,2934,6779,8585,2922,8312,12105,11284,13326,,
21177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,20,9817,2941,2935,6779,8584,2926,8310,12103,11282,13325,,
22177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,21,9811,2946,2933,6778,8582,2924,8309,12100,11279,13323,,
23177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,22,9805,2947,2935,6778,8580,2922,8308,12098,11276,13321,,
24177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,23,9800,2948,2933,6778,8578,2924,8307,12095,11274,13320,,
25178,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,24,9794,2942,2933,6777,8576,2923,8306,12093,11271,13318,,
26177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,25,9789,2946,2934,6777,8575,2923,8305,12091,11268,13317,,
27177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,26,9785,2946,2934,6776,8573,2923,8305,12089,11265,13315,,
28177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,27,9781,2945,2933,6776,8572,2924,8305,12088,11262,13315,,
29177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,28,9778,2946,2933,6775,8571,2924,8304,12086,11259,13314,,
30177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,29,9775,2944,2934,6775,8570,2923,8303,12085,11257,13313,,
31177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,30,9773,2941,2935,6774,8570,2923,8303,12083,11254,13312,,
32177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,31,9770,2942,2935,6774,8569,2924,8303,12081,11252,13312,,
33177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,32,9769,2946,2939,6774,8570,2926,8303,12080,11250,13311,,
34178,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,33,9768,2946,2934,6773,8569,2923,8304,12078,11249,13310,,
35177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,34,9766,2942,2934,6772,8568,2924,8303,12077,11247,13309,,
36177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,35,9765,2946,2934,6772,8568,2924,8303,12076,11245,13308,,
37177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,36,9764,2944,2935,6772,8567,2922,8302,12074,11243,13307,,
38177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,37,9763,2942,2934,6771,8567,2922,8301,12072,11242,13306,,
39177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,38,9762,2946,2936,6771,8566,2923,8301,12071,11240,13305,,
40177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,39,9762,2946,2938,6771,8566,2922,8300,12070,11239,13305,,
41178,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,40,9761,2944,2936,6770,8565,2924,8300,12069,11237,13305,,
42177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,41,9761,2941,2934,6769,8566,2923,8300,12068,11236,13305,,
43177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,42,9760,2946,2935,6769,8567,2922,8300,12067,11236,13305,,
44177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,43,9760,2946,2935,6769,8567,2926,8301,12067,11235,13306,,
45177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,44,9761,2946,2937,6769,8568,2924,8303,12066,11235,13306,,
46177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,45,9762,2941,2934,6769,8570,2923,8304,12066,11235,13306,,
47177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,46,9763,2946,2938,6768,8571,2924,8306,12066,11234,13306,,
48177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,47,9764,2941,2938,6768,8571,2923,8306,12065,11234,13306,,
49177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,48,9765,2941,2933,6767,8572,2924,8306,12064,11234,13306,,
50178,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,49,9765,2946,2933,6767,8572,2922,8306,12064,11234,13307,,
51177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,50,9765,2944,2934,6767,8573,2923,8306,12063,11234,13307,,
52177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,51,9765,2945,2933,6766,8574,2927,8307,12063,11234,13307,,
53177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,52,9765,2944,2933,6766,8575,2924,8307,12063,11234,13307,,
54177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,53,9766,2946,2934,6765,8576,2923,8308,12062,11234,13307,,
55177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,54,9766,2941,2937,6766,8577,2923,8309,12062,11235,13308,,
56177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,55,9766,2943,2933,6765,8577,2924,8309,12062,11235,13308,,
57178,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,56,9767,2945,2937,6765,8578,2922,8309,12061,11235,13308,,
58177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,57,9767,2944,2934,6765,8579,2923,8309,12061,11235,13308,,
59177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,58,9768,2944,2935,6765,8580,2924,8309,12061,11235,13309,,
60177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,59,9768,2942,2932,6765,8580,2923,8309,12060,11236,13308,,
61177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,60,9768,2946,2934,6765,8581,2923,8309,12059,11236,13308,,
62177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,61,9769,2943,2936,6764,8581,2923,8309,12058,11236,13307,,
63177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,62,9769,2944,2935,6765,8580,2923,8307,12057,11236,13305,,
64177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,63,9769,2940,2933,6764,8579,2923,8305,12055,11236,13305,,
65177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,64,9770,2944,2935,6764,8578,2923,8305,12053,11236,13304,,
66178,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,65,9770,2941,2938,6764,8577,2923,8303,12052,11236,13303,,
67177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,66,9772,2944,2933,6764,8577,2923,8302,12052,11235,13303,,
68177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,67,9773,2941,2935,6764,8576,2927,8301,12051,11235,13303,,
69177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,68,9773,2946,2937,6764,8575,2923,8301,12050,11235,13303,,
70177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,69,9774,2941,2939,6763,8574,2923,8301,12050,11235,13302,,
71177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,70,9776,2946,2935,6763,8574,2923,8301,12049,11235,13303,,
72177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,71,9776,2944,2935,6763,8574,2922,8302,12049,11235,13303,,
73178,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,72,9777,2944,2934,6763,8574,2922,8301,12048,11235,13303,,
74177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,73,9777,2946,2934,6763,8575,2922,8302,12048,11235,13302,,
75177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,74,9778,2942,2934,6763,8575,2923,8302,12047,11235,13303,,
76177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,75,9777,2948,2935,6763,8574,2923,8301,12047,11235,13302,,
77177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,76,9777,2942,2934,6763,8574,2922,8301,12046,11234,13302,,
78177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,77,9777,2941,2934,6763,8574,2924,8300,12045,11234,13302,,
79177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,78,9776,2948,2935,6762,8573,2924,8300,12045,11234,13301,,
80177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,79,9774,2943,2935,6762,8573,2923,8300,12044,11233,13301,,
81177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,80,9772,2942,2939,6762,8572,2924,8299,12043,11232,13300,,
82178,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,81,9770,2942,2935,6762,8570,2923,8299,12042,11231,13299,,
83177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,82,9767,2945,2935,6762,8568,2923,8297,12040,11229,13298,,
84177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,83,9764,2942,2935,6762,8566,2923,8296,12039,11227,13296,,
85177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,84,9761,2944,2934,6762,8564,2923,8295,12038,11225,13296,,
86177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,85,9758,2941,2934,6762,8563,2923,8294,12037,11223,13295,,
87177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,86,9755,2946,2933,6762,8561,2923,8294,12036,11221,13294,,
88177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,87,9754,2946,2937,6762,8560,2923,8294,12035,11219,13294,,
89178,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,88,9752,2945,2933,6761,8559,2922,8294,12034,11218,13293,,
90177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,89,9751,2945,2938,6762,8558,2923,8293,12032,11216,13291,,
91177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,90,9751,2942,2936,6762,8557,2923,8292,12030,11214,13290,,
92177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,91,9751,2941,2936,6762,8556,2923,8290,12029,11213,13288,,
93177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,92,9752,2945,2933,6762,8554,2922,8289,12027,11212,13287,,
94177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,93,9753,2944,2938,6762,8553,2925,8288,12026,11211,13286,,
95177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,94,9754,2946,2936,6762,8552,2923,8287,12025,11210,13286,,
96177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,95,9756,2946,2935,6762,8552,2923,8287,12024,11209,13285,,
97177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,96,9757,2946,2934,6762,8551,2923,8286,12024,11209,13286,,
98178,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,97,9758,2942,2939,6762,8551,2922,8287,12024,11208,13285,,
99177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,98,9759,2941,2934,6761,8551,2922,8287,12022,11207,13284,,
100177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,99,9760,2943,2937,6762,8551,2922,8287,12023,11206,13285,,
101177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,100,9760,2948,2937,6761,8551,2922,8287,12022,11206,13286,,
102177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,101,9759,2942,2935,6761,8551,2923,8288,12023,11206,13287,,
103177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,102,9757,2941,2935,6762,8551,2923,8289,12022,11205,13287,,
104177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,103,9756,2944,2935,6761,8551,2923,8290,12022,11204,13286,,
105178,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,104,9755,2943,2937,6761,8552,2923,8291,12022,11203,13287,,
106177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,105,9754,2942,2935,6761,8552,2922,8291,12021,11203,13287,,
107177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,106,9754,2944,2939,6760,8552,2923,8292,12021,11202,13286,,
108177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,107,9753,2945,2935,6760,8551,2922,8292,12021,11201,13286,,
109177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,108,9752,2944,2936,6760,8551,2923,8291,12019,11200,13285,,
110177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,109,9750,2944,2937,6760,8551,2922,8291,12019,11199,13285,,
111177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,110,9749,2944,2935,6760,8550,2922,8292,12018,11198,13284,,
112177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,111,9746,2941,2935,6760,8550,2923,8291,12017,11197,13284,,
113177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,112,9743,2946,2935,6760,8548,2923,8291,12016,11196,13283,,
114178,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,113,9740,2947,2934,6760,8547,2922,8291,12015,11193,13281,,
115177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,114,9738,2946,2934,6760,8546,2923,8290,12013,11191,13281,,
116177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,115,9735,2942,2934,6760,8544,2924,8289,12012,11190,13279,,
117177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,116,9734,2942,2934,6760,8542,2923,8288,12011,11188,13279,,
118177,D-GAW,dark,Arabika Gayo Wine,B15,1,purging,117,9733,2946,2934,6760,8542,2923,8289,12010,11187,13278,,
