timestamp,sample_id,roast_level,origin,batch_id,run_id,phase,sample_idx,adc_tgs822,adc_mq135,adc_mq9,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,temperature,humidity
2177,D-GAY,dark,Arabika Gayo Aceh,B10,1,purging,1,9703,2786,2780,7721,8249,2780,8854,12365,11813,12889,,
3176,D-GAY,dark,Arabika Gayo Aceh,B10,1,purging,2,9704,2786,2779,7721,8249,2780,8854,12365,11814,12888,,
4176,D-GAY,dark,Arabika Gayo Aceh,B10,1,purging,3,9704,2789,2779,7721,8249,2777,8855,12365,11815,12889,,
5176,D-GAY,dark,Arabika Gayo Aceh,B10,1,purging,4,9704,2785,2780,7721,8250,2780,8855,12365,11816,12888,,
6176,D-GAY,dark,Arabika Gayo Aceh,B10,1,purging,5,9704,2788,2781,7720,8249,2780,8855,12365,11818,12887,,
7176,D-GAY,dark,Arabika Gayo Aceh,B10,1,purging,6,9705,2785,2780,7720,8249,2780,8855,12363,11819,12886,,
8176,D-GAY,dark,Arabika Gayo Aceh,B10,1,purging,7,9705,2785,2780,7719,8250,2777,8854,12362,11821,12885,,
9177,D-GAY,dark,Arabika Gayo Aceh,B10,1,purging,8,9707,2787,2779,7719,8250,2780,8853,12361,11823,12885,,
10176,D-GAY,dark,Arabika Gayo Aceh,B10,1,purging,9,9707,2787,2779,7719,8251,2780,8852,12361,11825,12884,,
11176,D-GAY,dark,Arabika Gayo Aceh,B10,1,purging,10,9708,2789,2780,7718,8251,2780,8851,12359,11827,12884,,
12176,D-GAY,dark,Arabika Gayo Aceh,B10,1,purging,11,9708,2786,2780,7718,8251,2781,8850,12359,11830,12885,,
13176,D-GAY,dark,Arabika Gayo Aceh,B10,1,purging,12,9708,2788,2782,7717,8252,2780,8851,12359,11832,12886,,
14176,D-GAY,dark,Arabika Gayo Aceh,B10,1,purging,13,9708,2789,2780,7717,8253,2781,8851,12361,11834,12887,,
15176,D-GAY,dark,Arabika Gayo Aceh,B10,1,purging,14,9708,2785,2784,7716,8253,2778,8853,12361,11836,12889,,
16177,D-GAY,dark,Arabika Gayo Aceh,B10,1,purging,15,9708,2786,2778,7717,8254,2777,8855,12363,11838,12891,,
17176,D-GAY,dark,Arabika Gayo Aceh,B10,1,purging,16,9708,2788,2783,7716,8256,2780,8858,12364,11840,12893,,
18177,D-GAY,dark,Arabika Gayo Aceh,B10,1,purging,17,9707,2790,2779,7716,8258,2780,8860,12365,11843,12894,,
19176,D-GAY,dark,Arabika Gayo Aceh,B10,1,purging,18,9707,2785,2781,7715,8261,2779,8862,12365,11846,12894,,
20176,D-GAY,dark,Arabika Gayo Aceh,B10,1,purging,19,9706,2791,2779,7715,8263,2779,8863,12365,11848,12894,,
21176,D-GAY,dark,Arabika Gayo Aceh,B10,1,purging,20,9706,2787,2779,7715,8264,2777,8862,12364,11852,12893,,
22176,D-GAY,dark,Arabika Gayo Aceh,B10,1,purging,21,9706,2786,2784,7715,8264,2780,8861,12362,11854,12893,,
23176,D-GAY,dark,Arabika Gayo Aceh,B10,1,purging,22,9705,2786,2782,7715,8265,2779,8861,12362,11857,12894,,
24176,D-GAY,dark,Arabika Gayo Aceh,B10,1,purging,23,9706,2789,2778,7714,8264,2780,8860,12362,11859,12894,,
25177,D-GAY,dark,Arabika Gayo Aceh,B10,1,purging,24,9706,2785,2779,7714,8265,2777,8860,12362,11862,12895,,
26176,D-GAY,dark,Arabika Gayo Aceh,B10,1,purging,25,9706,2786,2778,7714,8265,2780,8861,12362,11863,12895,,
27176,D-GAY,dark,Arabika Gayo Aceh,B10,1,purging,26,9706,2787,2778,7713,8265,2781,8860,12362,11865,12895,,
28176,D-GAY,dark,Arabika Gayo Aceh,B10,1,purging,27,9706,2786,2782,7713,8266,2780,8861,12361,11867,12895,,
29176,D-GAY,dark,Arabika Gayo Aceh,B10,1,purging,28,9707,2787,2783,7712,8267,2780,8861,12360,11869,12894,,
30176,D-GAY,dark,Arabika Gayo Aceh,B10,1,purging,29,9708,2789,2778,7712,8268,2780,8860,12359,11872,12893,,
31176,D-GAY,dark,Arabika Gayo Aceh,B10,1,purging,30,9710,2786,2782,7712,8269,2780,8859,12358,11876,12894,,
32177,D-GAY,dark,Arabika Gayo Aceh,B10,1,purging,31,9711,2786,2778,7712,8270,2781,8858,12358,11880,12895,,
33176,D-GAY,dark,Arabika Gayo Aceh,B10,1,purging,32,9712,2787,2779,7711,8271,2780,8859,12358,11884,12895,,
34177,D-GAY,dark,Arabika Gayo Aceh,B10,1,purging,33,9713,2789,2781,7711,8273,2781,8858,12357,11888,12894,,
35176,D-GAY,dark,Arabika Gayo Aceh,B10,1,purging,34,9714,2787,2782,7711,8274,2778,8857,12356,11892,12894,,
36176,D-GAY,dark,Arabika Gayo Aceh,B10,1,purging,35,9715,2786,2782,7711,8275,2780,8856,12355,11897,12893,,
37176,D-GAY,dark,Arabika Gayo Aceh,B10,1,purging,36,9717,2788,2781,7710,8276,2782,8855,12353,11902,12893,,
38176,D-GAY,dark,Arabika Gayo Aceh,B10,1,purging,37,9717,2788,2779,7710,8276,2780,8853,12353,11907,12894,,
39176,D-GAY,dark,Arabika Gayo Aceh,B10,1,purging,38,9718,2786,2779,7710,8279,2780,8854,12353,11912,12895,,
40176,D-GAY,dark,Arabika Gayo Aceh,B10,1,purging,39,9719,2786,2780,7710,8280,2781,8855,12354,11918,12897,,
41177,D-GAY,dark,Arabika Gayo Aceh,B10,1,purging,40,9720,2787,2780,7710,8283,2781,8856,12353,11924,12897,,
42176,D-GAY,dark,Arabika Gayo Aceh,B10,1,purging,41,9721,2785,2783,7710,8285,2780,8856,12352,11930,12897,,
43176,D-GAY,dark,Arabika Gayo Aceh,B10,1,purging,42,9723,2786,2780,7710,8286,2777,8856,12352,11936,12897,,
44176,D-GAY,dark,Arabika Gayo Aceh,B10,1,purging,43,9724,2785,2782,7709,8287,2778,8855,12352,11942,12898,,
45176,D-GAY,dark,Arabika Gayo Aceh,B10,1,purging,44,9725,2786,2780,7709,8288,2781,8854,12351,11947,12899,,
46176,D-GAY,dark,Arabika Gayo Aceh,B10,1,purging,45,9725,2789,2779,7708,8288,2778,8854,12351,11952,12900,,
47176,D-GAY,dark,Arabika Gayo Aceh,B10,1,purging,46,9726,2788,2779,7708,8288,2777,8854,12351,11956,12901,,
