timestamp,sample_id,roast_level,origin,batch_id,run_id,phase,sample_idx,adc_tgs822,adc_mq135,adc_mq9,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,temperature,humidity
2177,D-RAT,dark,Arabika Ratawali Aceh,B10,1,purging,1,11312,2835,2822,8088,8830,2816,8883,14901,12537,13910,,
3176,D-RAT,dark,Arabika Ratawali Aceh,B10,1,purging,2,11299,2830,2822,8087,8827,2819,8881,14889,12520,13903,,
4175,D-RAT,dark,Arabika Ratawali Aceh,B10,1,purging,3,11286,2833,2821,8087,8824,2816,8880,14879,12503,13897,,
5176,D-RAT,dark,Arabika Ratawali Aceh,B10,1,purging,4,11274,2832,2823,8086,8822,2814,8880,14870,12488,13893,,
6176,D-RAT,dark,Arabika Ratawali Aceh,B10,1,purging,5,11262,2835,2820,8086,8822,2819,8881,14861,12474,13890,,
7176,D-RAT,dark,Arabika Ratawali Aceh,B10,1,purging,6,11250,2831,2822,8086,8824,2815,8884,14853,12462,13887,,
8176,D-RAT,dark,Arabika Ratawali Aceh,B10,1,purging,7,11239,2833,2820,8085,8826,2819,8888,14845,12451,13884,,
9177,D-RAT,dark,Arabika Ratawali Aceh,B10,1,purging,8,11227,2831,2822,8085,8829,2818,8892,14838,12441,13881,,
10176,D-RAT,dark,Arabika Ratawali Aceh,B10,1,purging,9,11215,2833,2825,8085,8829,2819,8893,14830,12431,13876,,
11176,D-RAT,dark,Arabika Ratawali Aceh,B10,1,purging,10,11205,2829,2823,8084,8830,2820,8894,14822,12419,13875,,
12176,D-RAT,dark,Arabika Ratawali Aceh,B10,1,purging,11,11201,2832,2822,8083,8833,2819,8899,14818,12410,13877,,
13176,D-RAT,dark,Arabika Ratawali Aceh,B10,1,purging,12,11203,2831,2822,8083,8836,2818,8905,14813,12403,13875,,
14176,D-RAT,dark,Arabika Ratawali Aceh,B10,1,purging,13,11204,2834,2822,8082,8839,2814,8909,14808,12397,13872,,
15176,D-RAT,dark,Arabika Ratawali Aceh,B10,1,purging,14,11203,2833,2822,8081,8840,2818,8909,14801,12390,13867,,
16177,D-RAT,dark,Arabika Ratawali Aceh,B10,1,purging,15,11199,2835,2822,8081,8839,2820,8907,14793,12382,13861,,
17176,D-RAT,dark,Arabika Ratawali Aceh,B10,1,purging,16,11192,2830,2822,8080,8837,2822,8906,14785,12373,13856,,
18177,D-RAT,dark,Arabika Ratawali Aceh,B10,1,purging,17,11184,2832,2824,8080,8834,2813,8903,14776,12363,13851,,
