timestamp,sample_id,roast_level,origin,batch_id,run_id,phase,sample_idx,adc_tgs822,adc_mq135,adc_mq9,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,temperature,humidity
2170,D-TEM,dark,Arabika Temanggung Mukidi,B10,1,purging,1,10621,2816,2807,7871,9115,2782,9048,14385,13122,13875,,
3170,D-TEM,dark,Arabika Temanggung Mukidi,B10,1,purging,2,10613,2815,2809,7870,9113,2782,9047,14377,13112,13871,,
4169,D-TEM,dark,Arabika Temanggung Mukidi,B10,1,purging,3,10605,2815,2805,7870,9112,2784,9047,14369,13103,13867,,
5170,D-TEM,dark,Arabika Temanggung Mukidi,B10,1,purging,4,10598,2814,2805,7870,9111,2784,9047,14360,13094,13863,,
6170,D-TEM,dark,Arabika Temanggung Mukidi,B10,1,purging,5,10591,2815,2804,7870,9109,2785,9046,14351,13085,13858,,
7171,D-TEM,dark,Arabika Temanggung Mukidi,B10,1,purging,6,10583,2815,2805,7870,9109,2785,9045,14343,13077,13854,,
8170,D-TEM,dark,Arabika Temanggung Mukidi,B10,1,purging,7,10577,2818,2803,7870,9108,2782,9045,14335,13069,13850,,
9170,D-TEM,dark,Arabika Temanggung Mukidi,B10,1,purging,8,10570,2816,2805,7871,9107,2782,9046,14327,13061,13847,,
10170,D-TEM,dark,Arabika Temanggung Mukidi,B10,1,purging,9,10564,2814,2805,7870,9106,2782,9045,14320,13053,13843,,
11170,D-TEM,dark,Arabika Temanggung Mukidi,B10,1,purging,10,10558,2818,2804,7870,9104,2782,9045,14312,13045,13839,,
12170,D-TEM,dark,Arabika Temanggung Mukidi,B10,1,purging,11,10553,2813,2806,7870,9103,2783,9045,14305,13038,13836,,
13170,D-TEM,dark,Arabika Temanggung Mukidi,B10,1,purging,12,10547,2814,2805,7869,9103,2785,9046,14297,13031,13833,,
14171,D-TEM,dark,Arabika Temanggung Mukidi,B10,1,purging,13,10542,2813,2805,7869,9102,2785,9045,14289,13024,13829,,
15170,D-TEM,dark,Arabika Temanggung Mukidi,B10,1,purging,14,10536,2814,2805,7869,9102,2785,9045,14282,13017,13826,,
16171,D-TEM,dark,Arabika Temanggung Mukidi,B10,1,purging,15,10530,2815,2804,7869,9101,2785,9044,14275,13011,13823,,
17170,D-TEM,dark,Arabika Temanggung Mukidi,B10,1,purging,16,10526,2815,2806,7869,9100,2783,9045,14269,13004,13820,,
18170,D-TEM,dark,Arabika Temanggung Mukidi,B10,1,purging,17,10520,2816,2806,7869,9100,2783,9044,14262,12998,13817,,
19170,D-TEM,dark,Arabika Temanggung Mukidi,B10,1,purging,18,10517,2818,2804,7869,9100,2782,9045,14256,12992,13816,,
20170,D-TEM,dark,Arabika Temanggung Mukidi,B10,1,purging,19,10516,2814,2805,7869,9101,2784,9048,14250,12988,13815,,
21170,D-TEM,dark,Arabika Temanggung Mukidi,B10,1,purging,20,10515,2816,2805,7869,9103,2782,9049,14246,12985,13814,,
22170,D-TEM,dark,Arabika Temanggung Mukidi,B10,1,purging,21,10515,2815,2805,7869,9105,2784,9052,14241,12982,13813,,
23171,D-TEM,dark,Arabika Temanggung Mukidi,B10,1,purging,22,10514,2814,2802,7869,9106,2784,9055,14237,12979,13811,,
24170,D-TEM,dark,Arabika Temanggung Mukidi,B10,1,purging,23,10512,2815,2804,7869,9107,2786,9056,14231,12976,13809,,
