timestamp,sample_id,roast_level,origin,batch_id,run_id,phase,sample_idx,adc_tgs822,adc_mq135,adc_mq9,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,temperature,humidity
2173,D-BAR,dark,Arabika Jawa Barat,B10,1,purging,1,10942,2805,2792,7791,9545,2782,9174,15647,15132,14853,,
3172,D-BAR,dark,Arabika Jawa Barat,B10,1,purging,2,10920,2802,2793,7792,9527,2780,9170,15624,15084,14825,,
4173,D-BAR,dark,Arabika Jawa Barat,B10,1,purging,3,10900,2801,2794,7795,9509,2779,9166,15603,15039,14799,,
5173,D-BAR,dark,Arabika Jawa Barat,B10,1,purging,4,10880,2800,2793,7797,9492,2782,9162,15581,14995,14775,,
6173,D-BAR,dark,Arabika Jawa Barat,B10,1,purging,5,10861,2804,2793,7800,9476,2782,9158,15561,14953,14750,,
7173,D-BAR,dark,Arabika Jawa Barat,B10,1,purging,6,10843,2802,2795,7802,9461,2782,9155,15541,14913,14727,,
8173,D-BAR,dark,Arabika Jawa Barat,B10,1,purging,7,10825,2802,2792,7805,9447,2782,9152,15522,14873,14705,,
9174,D-BAR,dark,Arabika Jawa Barat,B10,1,purging,8,10810,2801,2795,7808,9434,2782,9150,15503,14836,14682,,
10173,D-BAR,dark,Arabika Jawa Barat,B10,1,purging,9,10794,2803,2793,7810,9421,2780,9147,15484,14799,14661,,
11173,D-BAR,dark,Arabika Jawa Barat,B10,1,purging,10,10778,2801,2791,7813,9409,2782,9145,15466,14764,14641,,
12173,D-BAR,dark,Arabika Jawa Barat,B10,1,purging,11,10762,2803,2793,7816,9397,2782,9143,15448,14731,14623,,
13173,D-BAR,dark,Arabika Jawa Barat,B10,1,purging,12,10748,2804,2793,7818,9386,2782,9143,15431,14698,14604,,
14173,D-BAR,dark,Arabika Jawa Barat,B10,1,purging,13,10733,2802,2796,7821,9377,2782,9142,15416,14667,14587,,
15173,D-BAR,dark,Arabika Jawa Barat,B10,1,purging,14,10719,2801,2794,7824,9368,2782,9142,15399,14638,14569,,
16174,D-BAR,dark,Arabika Jawa Barat,B10,1,purging,15,10705,2803,2792,7827,9359,2783,9142,15383,14609,14552,,
