timestamp,sample_id,roast_level,origin,batch_id,run_id,phase,sample_idx,adc_tgs822,adc_mq135,adc_mq9,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,temperature,humidity
2217,D-GAY,dark,Arabika Gayo Aceh,B04,1,collecting,1,16691,2968,2949,6292,12857,2958,7287,17180,15873,16028,,
3217,D-GAY,dark,Arabika Gayo Aceh,B04,1,collecting,2,16687,2969,2951,6307,12827,2959,7288,17176,15860,16005,,
4217,D-GAY,dark,Arabika Gayo Aceh,B04,1,collecting,3,16683,2968,2949,6322,12799,2958,7290,17172,15848,15984,,
5217,D-GAY,dark,Arabika Gayo Aceh,B04,1,collecting,4,16680,2968,2950,6338,12772,2953,7292,17169,15837,15963,,
6217,D-GAY,dark,Arabika Gayo Aceh,B04,1,collecting,5,16678,2970,2950,6353,12744,2957,7295,17168,15827,15942,,
7218,D-GAY,dark,Arabika Gayo Aceh,B04,1,collecting,6,16676,2968,2947,6368,12717,2957,7297,17165,15817,15922,,
8217,D-GAY,dark,Arabika Gayo Aceh,B04,1,collecting,7,16672,2971,2954,6383,12690,2955,7298,17162,15807,15902,,
9218,D-GAY,dark,Arabika Gayo Aceh,B04,1,collecting,8,16667,2967,2949,6398,12664,2957,7300,17160,15797,15882,,
10217,D-GAY,dark,Arabika Gayo Aceh,B04,1,collecting,9,16663,2967,2949,6413,12637,2955,7302,17158,15787,15863,,
11217,D-GAY,dark,Arabika Gayo Aceh,B04,1,collecting,10,16659,2966,2949,6428,12613,2955,7304,17157,15778,15847,,
12217,D-GAY,dark,Arabika Gayo Aceh,B04,1,collecting,11,16654,2965,2952,6443,12591,2956,7307,17155,15771,15833,,
13217,D-GAY,dark,Arabika Gayo Aceh,B04,1,collecting,12,16651,2969,2949,6459,12569,2958,7311,17154,15766,15819,,
