timestamp,sample_id,roast_level,origin,batch_id,run_id,phase,sample_idx,adc_tgs822,adc_mq135,adc_mq9,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,temperature,humidity
2181,D-MAN,dark,Arabika Manglayang Jawa Barat,B02,1,purging,1,14767,2924,2908,6366,12051,2887,8820,17786,17509,16835,,
3180,D-MAN,dark,Arabika Manglayang Jawa Barat,B02,1,purging,2,14693,2928,2911,6373,12009,2886,8802,17760,17426,16775,,
4180,D-MAN,dark,Arabika Manglayang Jawa Barat,B02,1,purging,3,14626,2929,2911,6381,11969,2887,8788,17736,17346,16717,,
5180,D-MAN,dark,Arabika Manglayang Jawa Barat,B02,1,purging,4,14567,2925,2908,6390,11930,2884,8773,17713,17271,16660,,
6180,D-MAN,dark,Arabika Manglayang Jawa Barat,B02,1,purging,5,14515,2926,2912,6399,11890,2884,8764,17691,17201,16606,,
7180,D-MAN,dark,Arabika Manglayang Jawa Barat,B02,1,purging,6,14470,2924,2908,6410,11851,2881,8753,17669,17136,16554,,
8180,D-MAN,dark,Arabika Manglayang Jawa Barat,B02,1,purging,7,14429,2923,2908,6421,11813,2885,8745,17649,17074,16504,,
9180,D-MAN,dark,Arabika Manglayang Jawa Barat,B02,1,purging,8,14392,2922,2909,6433,11776,2883,8735,17630,17016,16457,,
10180,D-MAN,dark,Arabika Manglayang Jawa Barat,B02,1,purging,9,14360,2923,2910,6446,11740,2887,8732,17611,16963,16412,,
11181,D-MAN,dark,Arabika Manglayang Jawa Barat,B02,1,purging,10,14330,2923,2908,6458,11704,2883,8725,17593,16913,16369,,
12180,D-MAN,dark,Arabika Manglayang Jawa Barat,B02,1,purging,11,14303,2925,2912,6471,11670,2881,8719,17577,16868,16327,,
13180,D-MAN,dark,Arabika Manglayang Jawa Barat,B02,1,purging,12,14276,2928,2909,6485,11636,2881,8716,17561,16825,16288,,
14180,D-MAN,dark,Arabika Manglayang Jawa Barat,B02,1,purging,13,14252,2923,2908,6498,11603,2881,8712,17546,16786,16250,,
15180,D-MAN,dark,Arabika Manglayang Jawa Barat,B02,1,purging,14,14230,2923,2908,6512,11571,2881,8708,17532,16751,16214,,
16180,D-MAN,dark,Arabika Manglayang Jawa Barat,B02,1,purging,15,14210,2925,2908,6526,11540,2883,8706,17517,16718,16179,,
17180,D-MAN,dark,Arabika Manglayang Jawa Barat,B02,1,purging,16,14192,2926,2908,6540,11511,2883,8708,17504,16688,16147,,
