timestamp,sample_id,roast_level,origin,batch_id,run_id,phase,sample_idx,adc_tgs822,adc_mq135,adc_mq9,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,temperature,humidity
2170,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,1,9582,2883,2876,7521,9452,2880,8961,14327,14733,14179,,
3170,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,2,9581,2883,2878,7526,9447,2882,8961,14318,14724,14172,,
4170,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,3,9580,2883,2873,7531,9442,2882,8960,14310,14716,14165,,
5170,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,4,9577,2883,2876,7536,9436,2882,8958,14301,14707,14159,,
6170,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,5,9575,2880,2875,7541,9431,2877,8958,14292,14698,14153,,
7171,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,6,9573,2880,2876,7546,9426,2882,8958,14284,14689,14147,,
8170,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,7,9571,2883,2876,7550,9421,2882,8957,14276,14680,14141,,
9170,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,8,9569,2883,2876,7556,9415,2882,8955,14267,14671,14134,,
10170,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,9,9567,2880,2876,7560,9411,2877,8955,14259,14663,14128,,
11170,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,10,9565,2880,2876,7565,9406,2880,8955,14251,14654,14122,,
12170,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,11,9562,2880,2878,7569,9401,2884,8954,14242,14645,14116,,
13170,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,12,9561,2880,2876,7574,9396,2882,8953,14234,14636,14110,,
14171,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,13,9559,2880,2876,7578,9391,2882,8952,14226,14627,14104,,
15170,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,14,9557,2880,2876,7583,9386,2882,8951,14218,14618,14098,,
16171,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,15,9555,2880,2876,7587,9382,2877,8951,14210,14610,14093,,
17170,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,16,9554,2880,2873,7592,9378,2880,8951,14203,14602,14087,,
18170,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,17,9553,2882,2873,7596,9374,2877,8951,14195,14594,14082,,
19170,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,18,9553,2880,2876,7600,9371,2877,8950,14188,14586,14076,,
20170,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,19,9553,2882,2873,7605,9367,2880,8950,14180,14577,14071,,
21170,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,20,9553,2882,2873,7609,9363,2879,8949,14173,14570,14065,,
22170,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,21,9552,2882,2875,7613,9358,2874,8948,14165,14561,14060,,
23171,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,22,9551,2882,2873,7617,9354,2877,8947,14158,14553,14054,,
24170,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,23,9550,2878,2873,7622,9350,2877,8947,14150,14544,14049,,
25170,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,24,9549,2882,2873,7626,9345,2877,8945,14144,14536,14044,,
26170,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,25,9547,2882,2878,7630,9341,2879,8944,14136,14528,14038,,
27170,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,26,9546,2882,2873,7633,9338,2879,8944,14129,14520,14035,,
28170,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,27,9545,2882,2878,7638,9336,2879,8945,14123,14513,14031,,
29170,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,28,9545,2880,2875,7641,9333,2875,8946,14117,14505,14028,,
30171,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,29,9546,2882,2878,7646,9331,2874,8947,14111,14498,14024,,
31170,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,30,9547,2882,2878,7650,9329,2879,8948,14105,14491,14019,,
32171,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,31,9548,2882,2875,7653,9327,2876,8948,14099,14484,14016,,
33170,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,32,9548,2882,2875,7657,9325,2879,8950,14093,14477,14016,,
34170,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,33,9549,2880,2875,7661,9324,2879,8954,14090,14471,14017,,
35170,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,34,9550,2880,2875,7664,9326,2877,8957,14086,14465,14016,,
36170,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,35,9552,2882,2875,7668,9328,2874,8961,14083,14461,14016,,
37170,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,36,9553,2882,2875,7672,9329,2875,8965,14079,14456,14011,,
38170,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,37,9555,2882,2875,7675,9328,2875,8966,14073,14451,14005,,
39171,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,38,9557,2880,2875,7679,9326,2874,8966,14065,14445,14000,,
40170,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,39,9560,2880,2875,7683,9325,2873,8966,14058,14439,13997,,
41170,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,40,9563,2880,2875,7687,9323,2874,8965,14052,14434,13993,,
42170,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,41,9565,2880,2875,7690,9321,2879,8964,14046,14427,13988,,
43170,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,42,9568,2880,2875,7694,9318,2873,8962,14038,14421,13982,,
44170,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,43,9570,2880,2875,7697,9315,2873,8960,14032,14414,13978,,
45170,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,44,9573,2880,2875,7701,9311,2873,8959,14026,14406,13973,,
46171,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,45,9577,2880,2875,7704,9308,2875,8957,14019,14399,13969,,
47170,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,46,9580,2878,2875,7707,9305,2874,8956,14014,14392,13966,,
48171,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,47,9583,2880,2875,7710,9302,2873,8955,14008,14384,13962,,
49170,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,48,9586,2880,2877,7713,9298,2873,8954,14002,14377,13957,,
50170,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,49,9588,2880,2877,7717,9295,2875,8953,13996,14369,13954,,
51170,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,50,9590,2880,2877,7720,9292,2872,8951,13991,14362,13950,,
52170,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,51,9592,2880,2875,7723,9289,2874,8950,13985,14354,13947,,
53170,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,52,9592,2880,2877,7727,9286,2875,8950,13979,14346,13943,,
54170,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,53,9594,2880,2873,7730,9284,2874,8950,13974,14339,13938,,
55171,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,54,9596,2880,2873,7733,9281,2871,8949,13968,14331,13934,,
56170,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,55,9598,2878,2877,7736,9278,2873,8947,13962,14324,13931,,
57170,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,56,9600,2878,2877,7739,9276,2871,8946,13958,14317,13929,,
58170,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,57,9602,2882,2877,7742,9275,2872,8948,13953,14310,13931,,
59170,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,58,9603,2882,2875,7745,9276,2873,8953,13952,14304,13936,,
60170,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,59,9604,2882,2875,7748,9279,2872,8960,13953,14300,13937,,
61170,D-RAT,dark,Arabika Ratawali Aceh,B04,1,purging,60,9604,2880,2875,7751,9281,2873,8964,13951,14295,13931,,
62174,D-RAT,dark,Arabika Ratawali Aceh,B04,1,collecting,1,9604,2880,2875,7754,9281,2873,8965,13945,14289,13934,,
63170,D-RAT,dark,Arabika Ratawali Aceh,B04,1,collecting,2,9605,2882,2875,7757,9283,2875,8970,13945,14284,13935,,
