label,phase,cycle,sample_idx,timestamp,adc_tgs822,adc_mq135,adc_mq9,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,source_file
dark,collecting,1,1,2229,14706,2983,2969,10102,12999,2992,9214,14269,15669,11707,D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\dark_20260810_163245.csv
dark,collecting,1,2,3229,14736,2985,2970,10102,12983,2992,9152,14267,15624,11733,D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\dark_20260810_163245.csv
dark,collecting,1,3,4230,14675,2985,2967,10100,12962,2992,9088,14226,15553,11732,D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\dark_20260810_163245.csv
dark,collecting,1,4,5229,14551,2985,2971,10099,12942,2987,9033,14165,15473,11692,D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\dark_20260810_163245.csv
dark,collecting,1,5,6230,14414,2982,2966,10098,12917,2988,8989,14098,15390,11668,D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\dark_20260810_163245.csv
dark,collecting,1,6,7229,14342,2981,2967,10099,12896,2992,8981,14064,15326,11658,D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\dark_20260810_163245.csv
dark,collecting,1,7,8229,14260,2981,2969,10102,12874,2990,8968,14027,15276,11618,D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\dark_20260810_163245.csv
dark,collecting,1,8,9229,14124,2983,2968,10102,12847,2990,8931,13978,15217,11549,D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\dark_20260810_163245.csv
dark,collecting,1,9,10229,14001,2983,2968,10103,12816,2990,8899,13933,15152,11553,D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\dark_20260810_163245.csv
dark,collecting,1,10,11230,14133,2986,2968,10106,12803,2989,8957,13969,15135,11806,D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\dark_20260810_163245.csv
dark,collecting,1,11,12229,14832,2984,2968,10121,12847,2992,9231,14237,15284,12284,D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\dark_20260810_163245.csv
dark,collecting,1,12,13230,15624,2983,2968,10143,12931,2989,9521,14613,15558,12636,D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\dark_20260810_163245.csv
dark,collecting,1,13,14229,15997,2982,2971,10159,12976,2990,9590,14835,15749,12661,D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\dark_20260810_163245.csv
dark,collecting,1,14,15229,16073,2985,2967,10161,12968,2990,9513,14886,15774,12623,D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\dark_20260810_163245.csv
dark,collecting,1,15,16229,16002,2986,2970,10156,12931,2990,9383,14822,15693,12561,D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\dark_20260810_163245.csv
dark,collecting,1,16,17229,15843,2982,2967,10149,12880,2992,9251,14701,15561,12459,D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\dark_20260810_163245.csv
dark,collecting,1,17,18229,15628,2983,2970,10140,12823,2990,9130,14559,15410,12327,D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\dark_20260810_163245.csv
dark,collecting,1,18,19229,15373,2986,2967,10134,12765,2987,9022,14412,15259,12181,D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\dark_20260810_163245.csv
dark,collecting,1,19,20230,15091,2983,2964,10128,12708,2990,8930,14268,15114,12037,D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\dark_20260810_163245.csv
dark,collecting,1,20,21229,14791,2981,2970,10124,12654,2989,8854,14134,14981,11894,D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\dark_20260810_163245.csv
dark,collecting,1,21,22230,14480,2984,2971,10121,12603,2989,8789,14014,14862,11770,D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\dark_20260810_163245.csv
dark,collecting,1,22,23229,14291,2983,2971,10120,12567,2989,8780,13955,14778,11800,D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\dark_20260810_163245.csv
