label,phase,cycle,sample_idx,timestamp,adc_tgs822,adc_mq135,adc_mq9,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,label_code,sample,sample_code,source_file
dark,collecting,1,1,2222,17964,2998,2981,8046,14148,2980,6551,18545,17202,15146,D,Arabika Ratawali Aceh,D-RAT,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\dark_20260813_132219.csv
dark,collecting,1,2,3221,17948,2998,2981,8065,14116,2978,6552,18537,17186,15122,D,Arabika Ratawali Aceh,D-RAT,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\dark_20260813_132219.csv
dark,collecting,1,3,4221,17934,3001,2981,8084,14084,2979,6554,18528,17170,15098,D,Arabika Ratawali Aceh,D-RAT,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\dark_20260813_132219.csv
dark,collecting,1,4,5221,17919,2998,2981,8104,14051,2978,6555,18519,17154,15076,D,Arabika Ratawali Aceh,D-RAT,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\dark_20260813_132219.csv
dark,collecting,1,5,6221,17905,2998,2978,8123,14020,2979,6557,18511,17137,15055,D,Arabika Ratawali Aceh,D-RAT,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\dark_20260813_132219.csv
dark,collecting,1,6,7221,17892,2998,2978,8141,13988,2979,6558,18504,17121,15033,D,Arabika Ratawali Aceh,D-RAT,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\dark_20260813_132219.csv
dark,collecting,1,7,8221,17880,2997,2981,8160,13957,2981,6558,18496,17105,15012,D,Arabika Ratawali Aceh,D-RAT,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\dark_20260813_132219.csv
dark,collecting,1,8,9222,17873,2998,2981,8179,13926,2979,6560,18490,17090,14994,D,Arabika Ratawali Aceh,D-RAT,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\dark_20260813_132219.csv
dark,collecting,1,9,10221,17866,3001,2981,8197,13896,2978,6561,18485,17076,14978,D,Arabika Ratawali Aceh,D-RAT,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\dark_20260813_132219.csv
dark,collecting,1,10,11222,17857,2998,2978,8215,13866,2979,6565,18480,17062,14963,D,Arabika Ratawali Aceh,D-RAT,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\dark_20260813_132219.csv
dark,collecting,1,11,12221,17847,2995,2978,8233,13838,2981,6565,18475,17048,14946,D,Arabika Ratawali Aceh,D-RAT,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\dark_20260813_132219.csv
dark,collecting,1,12,13221,17835,3000,2979,8250,13810,2979,6568,18470,17032,14930,D,Arabika Ratawali Aceh,D-RAT,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\dark_20260813_132219.csv
