timestamp,sample_id,roast_level,origin,batch_id,run_id,phase,sample_idx,adc_tgs822,adc_mq135,adc_mq3,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,temperature,humidity
2183,L-GAY,light,Arabika Gayo Aceh,B20,1,purging,1,9438,2880,2878,9352,7961,2884,8274,10976,10530,12615,,
3182,L-GAY,light,Arabika Gayo Aceh,B20,1,purging,2,9438,2882,2875,9351,7958,2882,8272,10974,10527,12613,,
4183,L-GAY,light,Arabika Gayo Aceh,B20,1,purging,3,9439,2882,2878,9351,7955,2884,8270,10973,10525,12613,,
5182,L-GAY,light,Arabika Gayo Aceh,B20,1,purging,4,9440,2882,2875,9350,7953,2884,8269,10971,10523,12611,,
6182,L-GAY,light,Arabika Gayo Aceh,B20,1,purging,5,9440,2880,2875,9350,7951,2884,8268,10970,10521,12610,,
7182,L-GAY,light,Arabika Gayo Aceh,B20,1,purging,6,9441,2882,2873,9349,7950,2884,8267,10969,10519,12610,,
8182,L-GAY,light,Arabika Gayo Aceh,B20,1,purging,7,9442,2882,2875,9348,7949,2884,8267,10968,10518,12609,,
9182,L-GAY,light,Arabika Gayo Aceh,B20,1,purging,8,9442,2882,2878,9347,7947,2884,8267,10968,10517,12608,,
10182,L-GAY,light,Arabika Gayo Aceh,B20,1,purging,9,9444,2880,2875,9347,7946,2880,8267,10967,10516,12609,,
11183,L-GAY,light,Arabika Gayo Aceh,B20,1,purging,10,9444,2882,2878,9346,7945,2882,8266,10966,10514,12608,,
12182,L-GAY,light,Arabika Gayo Aceh,B20,1,purging,11,9444,2882,2873,9345,7943,2884,8266,10965,10514,12608,,
13182,L-GAY,light,Arabika Gayo Aceh,B20,1,purging,12,9445,2882,2875,9344,7942,2882,8265,10964,10512,12606,,
14182,L-GAY,light,Arabika Gayo Aceh,B20,1,purging,13,9445,2882,2878,9344,7941,2880,8265,10963,10511,12605,,
15182,L-GAY,light,Arabika Gayo Aceh,B20,1,purging,14,9445,2882,2877,9343,7940,2882,8264,10962,10510,12605,,
16182,L-GAY,light,Arabika Gayo Aceh,B20,1,purging,15,9446,2882,2875,9342,7939,2882,8263,10962,10509,12605,,
17182,L-GAY,light,Arabika Gayo Aceh,B20,1,purging,16,9445,2882,2875,9342,7938,2882,8264,10961,10507,12605,,
18183,L-GAY,light,Arabika Gayo Aceh,B20,1,purging,17,9446,2882,2875,9341,7937,2882,8264,10960,10506,12604,,
19182,L-GAY,light,Arabika Gayo Aceh,B20,1,purging,18,9446,2882,2878,9341,7937,2882,8264,10960,10505,12604,,
20183,L-GAY,light,Arabika Gayo Aceh,B20,1,purging,19,9446,2882,2875,9340,7936,2882,8264,10959,10505,12604,,
21182,L-GAY,light,Arabika Gayo Aceh,B20,1,purging,20,9446,2882,2875,9339,7935,2884,8264,10959,10504,12604,,
22182,L-GAY,light,Arabika Gayo Aceh,B20,1,purging,21,9445,2882,2878,9339,7935,2882,8265,10958,10504,12604,,
23182,L-GAY,light,Arabika Gayo Aceh,B20,1,purging,22,9445,2882,2878,9338,7934,2882,8264,10958,10503,12605,,
24182,L-GAY,light,Arabika Gayo Aceh,B20,1,purging,23,9446,2880,2875,9337,7934,2882,8265,10958,10503,12605,,
25182,L-GAY,light,Arabika Gayo Aceh,B20,1,purging,24,9445,2880,2878,9337,7934,2882,8266,10957,10502,12606,,
26182,L-GAY,light,Arabika Gayo Aceh,B20,1,purging,25,9445,2882,2875,9336,7935,2884,8267,10957,10503,12605,,
27183,L-GAY,light,Arabika Gayo Aceh,B20,1,purging,26,9445,2880,2875,9335,7935,2882,8267,10956,10503,12603,,
28182,L-GAY,light,Arabika Gayo Aceh,B20,1,purging,27,9445,2882,2877,9334,7933,2884,8265,10954,10502,12601,,
29182,L-GAY,light,Arabika Gayo Aceh,B20,1,purging,28,9446,2882,2877,9334,7932,2882,8263,10952,10501,12598,,
30182,L-GAY,light,Arabika Gayo Aceh,B20,1,purging,29,9446,2882,2875,9333,7929,2882,8260,10951,10500,12596,,
31182,L-GAY,light,Arabika Gayo Aceh,B20,1,purging,30,9447,2882,2875,9333,7926,2882,8258,10948,10498,12594,,
32182,L-GAY,light,Arabika Gayo Aceh,B20,1,purging,31,9447,2882,2877,9332,7924,2884,8255,10946,10496,12593,,
33182,L-GAY,light,Arabika Gayo Aceh,B20,1,purging,32,9448,2882,2875,9331,7922,2886,8255,10945,10494,12592,,
34183,L-GAY,light,Arabika Gayo Aceh,B20,1,purging,33,9448,2882,2878,9330,7920,2884,8253,10944,10493,12591,,
35182,L-GAY,light,Arabika Gayo Aceh,B20,1,purging,34,9449,2882,2875,9329,7918,2884,8252,10943,10491,12590,,
36183,L-GAY,light,Arabika Gayo Aceh,B20,1,purging,35,9449,2882,2875,9328,7917,2884,8251,10942,10489,12589,,
37182,L-GAY,light,Arabika Gayo Aceh,B20,1,purging,36,9450,2882,2875,9328,7915,2884,8250,10941,10488,12587,,
38182,L-GAY,light,Arabika Gayo Aceh,B20,1,purging,37,9450,2882,2875,9327,7913,2882,8249,10940,10486,12587,,
39182,L-GAY,light,Arabika Gayo Aceh,B20,1,purging,38,9449,2882,2873,9327,7911,2882,8248,10938,10484,12585,,
40182,L-GAY,light,Arabika Gayo Aceh,B20,1,purging,39,9450,2880,2877,9326,7909,2884,8246,10937,10482,12582,,
41182,L-GAY,light,Arabika Gayo Aceh,B20,1,purging,40,9450,2882,2875,9325,7907,2882,8245,10935,10480,12581,,
42182,L-GAY,light,Arabika Gayo Aceh,B20,1,purging,41,9450,2882,2875,9325,7904,2884,8244,10934,10478,12580,,
43183,L-GAY,light,Arabika Gayo Aceh,B20,1,purging,42,9451,2880,2877,9324,7903,2884,8243,10932,10476,12579,,
44182,L-GAY,light,Arabika Gayo Aceh,B20,1,purging,43,9451,2880,2877,9323,7901,2882,8242,10932,10475,12579,,
45182,L-GAY,light,Arabika Gayo Aceh,B20,1,purging,44,9451,2882,2877,9322,7899,2882,8242,10931,10473,12580,,
46182,L-GAY,light,Arabika Gayo Aceh,B20,1,purging,45,9452,2880,2875,9322,7899,2884,8242,10931,10473,12580,,
47182,L-GAY,light,Arabika Gayo Aceh,B20,1,purging,46,9452,2880,2875,9321,7898,2884,8243,10930,10472,12580,,
