timestamp,sample_id,roast_level,origin,batch_id,run_id,phase,sample_idx,adc_tgs822,adc_mq135,adc_mq3,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,temperature,humidity
2186,D-RAT,dark,Arabika Ratawali Aceh,B20,1,purging,1,9072,2856,2847,7570,7261,2871,8178,10734,9866,12010,,
3186,D-RAT,dark,Arabika Ratawali Aceh,B20,1,purging,2,9071,2856,2852,7570,7261,2870,8178,10731,9863,12009,,
4187,D-RAT,dark,Arabika Ratawali Aceh,B20,1,purging,3,9069,2858,2847,7569,7261,2868,8178,10728,9860,12009,,
5186,D-RAT,dark,Arabika Ratawali Aceh,B20,1,purging,4,9069,2859,2848,7568,7260,2867,8179,10725,9857,12009,,
6187,D-RAT,dark,Arabika Ratawali Aceh,B20,1,purging,5,9067,2855,2847,7568,7261,2870,8181,10723,9855,12011,,
7186,D-RAT,dark,Arabika Ratawali Aceh,B20,1,purging,6,9067,2857,2850,7568,7262,2867,8183,10723,9853,12016,,
8186,D-RAT,dark,Arabika Ratawali Aceh,B20,1,purging,7,9065,2860,2847,7568,7263,2867,8187,10722,9852,12018,,
9186,D-RAT,dark,Arabika Ratawali Aceh,B20,1,purging,8,9064,2854,2850,7567,7265,2868,8191,10721,9850,12017,,
10186,D-RAT,dark,Arabika Ratawali Aceh,B20,1,purging,9,9062,2857,2853,7567,7266,2871,8193,10719,9849,12017,,
11186,D-RAT,dark,Arabika Ratawali Aceh,B20,1,purging,10,9062,2857,2848,7566,7268,2869,8194,10718,9847,12016,,
12186,D-RAT,dark,Arabika Ratawali Aceh,B20,1,purging,11,9061,2854,2849,7566,7268,2869,8194,10715,9845,12016,,
13187,D-RAT,dark,Arabika Ratawali Aceh,B20,1,purging,12,9060,2858,2850,7565,7269,2869,8194,10713,9844,12015,,
14186,D-RAT,dark,Arabika Ratawali Aceh,B20,1,purging,13,9059,2854,2853,7565,7269,2869,8194,10710,9842,12014,,
15186,D-RAT,dark,Arabika Ratawali Aceh,B20,1,purging,14,9057,2856,2852,7565,7269,2869,8193,10708,9840,12012,,
16186,D-RAT,dark,Arabika Ratawali Aceh,B20,1,purging,15,9055,2859,2854,7564,7269,2869,8193,10704,9838,12012,,
17186,D-RAT,dark,Arabika Ratawali Aceh,B20,1,purging,16,9053,2854,2851,7564,7269,2869,8193,10702,9836,12012,,
18186,D-RAT,dark,Arabika Ratawali Aceh,B20,1,purging,17,9051,2856,2848,7563,7269,2868,8193,10699,9834,12012,,
19186,D-RAT,dark,Arabika Ratawali Aceh,B20,1,purging,18,9049,2856,2850,7563,7270,2871,8194,10697,9833,12012,,
20187,D-RAT,dark,Arabika Ratawali Aceh,B20,1,purging,19,9047,2858,2851,7563,7270,2871,8195,10695,9832,12014,,
21186,D-RAT,dark,Arabika Ratawali Aceh,B20,1,purging,20,9046,2857,2848,7562,7271,2871,8196,10694,9831,12014,,
22187,D-RAT,dark,Arabika Ratawali Aceh,B20,1,purging,21,9043,2856,2853,7562,7272,2869,8197,10692,9829,12015,,
23186,D-RAT,dark,Arabika Ratawali Aceh,B20,1,purging,22,9042,2854,2853,7562,7273,2869,8198,10690,9829,12015,,
24186,D-RAT,dark,Arabika Ratawali Aceh,B20,1,purging,23,9041,2857,2848,7562,7274,2869,8199,10688,9828,12016,,
25186,D-RAT,dark,Arabika Ratawali Aceh,B20,1,purging,24,9040,2856,2850,7561,7275,2871,8201,10688,9827,12015,,
