timestamp,sample_id,roast_level,origin,batch_id,run_id,phase,sample_idx,adc_tgs822,adc_mq135,adc_mq3,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,temperature,humidity
2186,M-CAT,medium,Arabika Catuji Mekarwangi,B22,1,purging,1,11890,2882,2875,7777,9232,2881,8727,14227,13511,14352,,
3186,M-CAT,medium,Arabika Catuji Mekarwangi,B22,1,purging,2,11887,2884,2877,7777,9233,2886,8728,14225,13510,14352,,
4187,M-CAT,medium,Arabika Catuji Mekarwangi,B22,1,purging,3,11884,2884,2873,7778,9233,2881,8728,14223,13508,14352,,
5186,M-CAT,medium,Arabika Catuji Mekarwangi,B22,1,purging,4,11882,2884,2877,7778,9233,2886,8729,14221,13507,14351,,
6187,M-CAT,medium,Arabika Catuji Mekarwangi,B22,1,purging,5,11880,2886,2877,7779,9234,2881,8729,14219,13505,14351,,
7186,M-CAT,medium,Arabika Catuji Mekarwangi,B22,1,purging,6,11880,2886,2877,7780,9234,2881,8730,14218,13505,14351,,
8186,M-CAT,medium,Arabika Catuji Mekarwangi,B22,1,purging,7,11878,2884,2877,7780,9234,2881,8729,14217,13504,14351,,
9186,M-CAT,medium,Arabika Catuji Mekarwangi,B22,1,purging,8,11877,2884,2875,7781,9235,2881,8730,14216,13503,14351,,
10186,M-CAT,medium,Arabika Catuji Mekarwangi,B22,1,purging,9,11876,2886,2873,7781,9235,2881,8729,14214,13503,14350,,
11186,M-CAT,medium,Arabika Catuji Mekarwangi,B22,1,purging,10,11875,2882,2873,7782,9234,2886,8729,14213,13502,14350,,
12186,M-CAT,medium,Arabika Catuji Mekarwangi,B22,1,purging,11,11874,2884,2875,7782,9234,2883,8730,14211,13501,14350,,
13187,M-CAT,medium,Arabika Catuji Mekarwangi,B22,1,purging,12,11873,2882,2873,7783,9235,2883,8730,14210,13500,14349,,
14186,M-CAT,medium,Arabika Catuji Mekarwangi,B22,1,purging,13,11872,2884,2873,7783,9235,2881,8730,14209,13498,14350,,
15186,M-CAT,medium,Arabika Catuji Mekarwangi,B22,1,purging,14,11871,2886,2877,7783,9234,2883,8730,14207,13497,14349,,
16186,M-CAT,medium,Arabika Catuji Mekarwangi,B22,1,purging,15,11869,2886,2875,7784,9234,2881,8730,14206,13496,14349,,
