source_file,label,cycle,n_samples,mean_adc_mq135,max_adc_mq135,mean_adc_mq136,max_adc_mq136,mean_adc_mq137,max_adc_mq137,mean_adc_mq138,max_adc_mq138,mean_adc_mq2,max_adc_mq2,mean_adc_mq3,max_adc_mq3,mean_adc_tgs822,max_adc_tgs822,mean_adc_tgs2620,max_adc_tgs2620
D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\dark_20260810_163245.csv,dark,1,180,2982.4333333333334,2988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15450.177777777777,16225.0,12013.81111111111,12999.0
D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\dark_20260810_163245.csv,dark,2,180,2973.938888888889,2979.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14646.261111111111,14807.0,10936.477777777778,11142.0
D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\dark_20260810_163245.csv,dark,3,181,2965.3370165745855,2969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13523.779005524862,14311.0,10567.718232044199,10783.0
D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\dark_20260810_163245.csv,dark,4,180,2963.6444444444446,2968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13290.733333333334,14494.0,10262.738888888889,10577.0
D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\dark_20260810_163245.csv,dark,5,180,2967.9944444444445,2971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13152.255555555555,13886.0,9963.433333333332,10103.0
D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\dark_20260810_163245.csv,dark,6,180,2973.383333333333,2976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13557.638888888889,14432.0,9864.072222222223,9981.0
D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\dark_20260810_163245.csv,dark,7,180,2964.2944444444443,2968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11804.194444444445,12986.0,9772.327777777778,9903.0
D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\dark_20260810_163245.csv,dark,8,180,2960.488888888889,2964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12256.144444444444,12744.0,9971.333333333334,10066.0
D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\dark_20260810_163245.csv,dark,9,181,2958.016574585635,2965.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12914.209944751381,13390.0,10167.265193370165,10287.0
D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\dark_20260810_163245.csv,dark,10,181,2963.3977900552486,2966.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11792.895027624309,12165.0,9733.67955801105,9825.0
D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\light_20260810_160508.csv,light,1,180,2980.5444444444443,2983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1887.588888888889,1890.0,2000.8444444444444,2004.0
D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\light_20260810_160508.csv,light,2,181,2980.817679558011,2986.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1890.2596685082874,1892.0,2003.0220994475137,2005.0
D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\light_20260810_160508.csv,light,3,33,2981.909090909091,2986.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1891.7878787878788,1893.0,2004.7272727272727,2007.0
