source_file,label,cycle,n_collecting,n_purging,mean_adc_tgs822,max_adc_tgs822,sum_adc_tgs822,mean_adc_mq135,max_adc_mq135,sum_adc_mq135,mean_adc_mq9,max_adc_mq9,sum_adc_mq9,mean_adc_tgs2611,max_adc_tgs2611,sum_adc_tgs2611,mean_adc_tgs2620,max_adc_tgs2620,sum_adc_tgs2620,mean_adc_tgs2600,max_adc_tgs2600,sum_adc_tgs2600,mean_adc_tgs2602,max_adc_tgs2602,sum_adc_tgs2602,mean_adc_mq8,max_adc_mq8,sum_adc_mq8,mean_adc_tgs813,max_adc_tgs813,sum_adc_tgs813,mean_adc_tgs816,max_adc_tgs816,sum_adc_tgs816,ratio_to_mq135_adc_tgs822,ratio_to_mq135_adc_mq9,ratio_to_mq135_adc_tgs2611,ratio_to_mq135_adc_tgs2620,ratio_to_mq135_adc_tgs2600,ratio_to_mq135_adc_tgs2602,ratio_to_mq135_adc_mq8,ratio_to_mq135_adc_tgs813,ratio_to_mq135_adc_tgs816,ratio_to_tgs822_adc_mq135,ratio_to_tgs822_adc_mq9,ratio_to_tgs822_adc_tgs2611,ratio_to_tgs822_adc_tgs2620,ratio_to_tgs822_adc_tgs2600,ratio_to_tgs822_adc_tgs2602,ratio_to_tgs822_adc_mq8,ratio_to_tgs822_adc_tgs813,ratio_to_tgs822_adc_tgs816,onset_adc_tgs822_slope,onset_adc_tgs822_delta,onset_adc_tgs822_rise_drop,decay_adc_tgs822_slope,decay_adc_tgs822_delta,decay_adc_tgs822_rise_drop,onset_adc_mq135_slope,onset_adc_mq135_delta,onset_adc_mq135_rise_drop,decay_adc_mq135_slope,decay_adc_mq135_delta,decay_adc_mq135_rise_drop,onset_adc_mq9_slope,onset_adc_mq9_delta,onset_adc_mq9_rise_drop,decay_adc_mq9_slope,decay_adc_mq9_delta,decay_adc_mq9_rise_drop,onset_adc_tgs2611_slope,onset_adc_tgs2611_delta,onset_adc_tgs2611_rise_drop,decay_adc_tgs2611_slope,decay_adc_tgs2611_delta,decay_adc_tgs2611_rise_drop,onset_adc_tgs2620_slope,onset_adc_tgs2620_delta,onset_adc_tgs2620_rise_drop,decay_adc_tgs2620_slope,decay_adc_tgs2620_delta,decay_adc_tgs2620_rise_drop,onset_adc_tgs2600_slope,onset_adc_tgs2600_delta,onset_adc_tgs2600_rise_drop,decay_adc_tgs2600_slope,decay_adc_tgs2600_delta,decay_adc_tgs2600_rise_drop,onset_adc_tgs2602_slope,onset_adc_tgs2602_delta,onset_adc_tgs2602_rise_drop,decay_adc_tgs2602_slope,decay_adc_tgs2602_delta,decay_adc_tgs2602_rise_drop,onset_adc_mq8_slope,onset_adc_mq8_delta,onset_adc_mq8_rise_drop,decay_adc_mq8_slope,decay_adc_mq8_delta,decay_adc_mq8_rise_drop,onset_adc_tgs813_slope,onset_adc_tgs813_delta,onset_adc_tgs813_rise_drop,decay_adc_tgs813_slope,decay_adc_tgs813_delta,decay_adc_tgs813_rise_drop,onset_adc_tgs816_slope,onset_adc_tgs816_delta,onset_adc_tgs816_rise_drop,decay_adc_tgs816_slope,decay_adc_tgs816_delta,decay_adc_tgs816_rise_drop
D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\dark_20260810_163245.csv,dark,1.0,180,61,15450.177777777777,16225.0,2781032.0,2982.4333333333334,2988.0,536838.0,2967.5055555555555,2971.0,534151.0,10165.705555555556,10190.0,1829827.0,12013.81111111111,12999.0,2162486.0,2987.483333333333,2992.0,537747.0,9054.344444444445,9590.0,1629782.0,14505.133333333333,14961.0,2610924.0,14058.33888888889,15774.0,2530501.0,12666.344444444445,13060.0,2279942.0,5.430053547523427,0.9943105756358769,3.4103078982597057,4.350401606425703,1.001338688085676,3.2095046854083,5.007028112449799,5.279116465863454,4.3708165997322626,0.1841602465331279,0.18311248073959938,0.6280431432973805,0.801171032357473,0.18440677966101696,0.5910631741140215,0.922095531587057,0.9722033898305085,0.8049306625577812,67.97293233082706,85.0,-292.0,-10.978195488721806,-189.0,-37.0,-0.012781954887218047,-2.0,-1.0,-0.022556390977443608,0.0,1.0,-0.04285714285714286,1.0,-3.0,0.012030075187969926,-1.0,2.0,2.8646616541353382,22.0,-4.0,-0.37819548872180453,-7.0,-4.0,-10.625563909774437,-345.0,-82.0,-2.889473684210526,-55.0,-22.0,-0.07593984962406015,-3.0,-4.0,-0.0736842105263158,-2.0,0.0,4.065413533834587,-360.0,-225.0,0.7390977443609024,13.0,-12.0,23.627819548872182,-135.0,-171.0,-5.230075187969925,-91.0,-23.0,-10.73233082706767,-688.0,-279.0,-10.610526315789475,-192.0,-49.0,42.75263157894737,187.0,-39.0,-2.542857142857143,-48.0,-25.0
D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\dark_20260810_163245.csv,dark,2.0,180,61,14646.261111111111,14807.0,2636327.0,2973.938888888889,2979.0,535309.0,2958.6111111111113,2965.0,532550.0,10137.95,10169.0,1824831.0,10936.477777777778,11142.0,1968566.0,2968.6277777777777,2977.0,534353.0,8969.016666666666,9006.0,1614423.0,13911.488888888889,14074.0,2504068.0,11971.183333333332,12276.0,2154813.0,12568.194444444445,12635.0,2262275.0,4.970459885867741,0.9953004363880497,3.4135615978516283,3.7401812688821754,0.9993286337697214,3.0231621349446125,4.724404162470628,4.120845921450151,4.241356159785163,0.2011886270007429,0.20024312825015195,0.6867697710542311,0.7524819342203012,0.20105355575065847,0.6082258391301412,0.9504963868440602,0.829067333018167,0.8533126224083204,-4.483458646616542,-79.0,-15.0,462.6503759398496,-2930.0,8.0,0.07443609022556391,3.0,4.0,-1.132330827067669,-10.0,-3.0,-0.07969924812030076,-4.0,-1.0,-0.015037593984962405,-2.0,-3.0,0.2210526315789474,5.0,2.0,-420.724060150376,-3911.0,-5.0,-3.1090225563909772,-57.0,-10.0,624.7992481203008,-5903.0,-1.0,-0.06390977443609022,-3.0,-4.0,-0.7278195488721806,-11.0,1.0,-0.5045112781954888,-9.0,-1.0,-503.15488721804513,-7309.0,3.0,-3.371428571428572,-61.0,-11.0,360.46842105263147,-3028.0,3.0,-6.3691729323308275,-117.0,-21.0,539.5037593984963,-8920.0,6.0,-1.5142857142857142,-26.0,-4.0,434.9759398496242,700.0,-4.0
D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\dark_20260810_163245.csv,dark,3.0,181,61,13523.779005524862,14311.0,2447804.0,2965.3370165745855,2969.0,536726.0,2952.8453038674033,2956.0,534465.0,9903.038674033149,9946.0,1792450.0,10567.718232044199,10783.0,1912757.0,2957.806629834254,2962.0,535363.0,8852.745856353591,9003.0,1602347.0,13126.038674033149,13476.0,2375813.0,11364.53591160221,11753.0,2056981.0,12190.436464088398,12527.0,2206469.0,4.82014146177164,0.9956214213539912,3.3499494779387,3.6318625799932636,0.9976423038059953,3.0323341192320648,4.538901987201077,3.958571909733917,4.2192657460424385,0.2074627908601775,0.20655439871427572,0.6949898679337573,0.7534763468660471,0.20697365662776884,0.6290964991964223,0.9416532737055412,0.8212563762141011,0.8753406470547132,295.112030075188,4273.0,123.0,2.2315789473684213,-30.0,-21.0,0.4112781954887218,7.0,3.0,-0.014285714285714287,2.0,4.0,0.031578947368421054,2.0,4.0,0.07593984962406015,1.0,0.0,3.6308270676691734,66.0,13.0,0.18646616541353384,3.0,0.0,29.71654135338346,399.0,-22.0,-0.24586466165413537,-13.0,-4.0,0.039097744360902256,4.0,0.0,-0.12706766917293236,1.0,4.0,38.50225563909775,536.0,27.0,0.5142857142857143,-2.0,2.0,111.95488721804512,1584.0,-26.0,0.2706766917293233,-28.0,-15.0,100.33458646616542,1403.0,-96.0,1.4759398496240603,4.0,-14.0,99.25864661654137,1408.0,-56.0,0.9030075187969926,-27.0,-7.0
D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\dark_20260810_163245.csv,dark,4.0,180,61,13290.733333333334,14494.0,2392332.0,2963.6444444444446,2968.0,533456.0,2951.7722222222224,2956.0,531319.0,9956.622222222222,9968.0,1792192.0,10262.738888888889,10577.0,1847293.0,2953.5833333333335,2959.0,531645.0,8772.172222222222,9087.0,1578991.0,12776.08888888889,13399.0,2299696.0,11140.783333333333,11806.0,2005341.0,12050.288888888888,12597.0,2169052.0,4.883423180592992,0.9959568733153639,3.358490566037736,3.563679245283019,0.996967654986523,3.0616576819407006,4.514487870619946,3.9777628032345014,4.244272237196766,0.2047743894025114,0.20394646060438804,0.6877328549744722,0.7297502414792327,0.20415344280391887,0.6269490823789154,0.9244514971712433,0.8145439492203671,0.8691182558299986,274.309022556391,4590.0,1219.0,-140.57218045112785,-2357.0,-271.0,0.5383458646616542,8.0,4.0,-0.0481203007518797,1.0,1.0,0.059398496240601506,0.0,-1.0,-0.05789473684210526,-1.0,1.0,0.3255639097744361,6.0,3.0,-0.6165413533834586,-11.0,-2.0,35.10601503759399,552.0,84.0,-18.606766917293236,-314.0,-41.0,-0.05864661654135339,-2.0,1.0,-0.05037593984962406,2.0,3.0,30.49323308270677,513.0,177.0,-15.82481203007519,-274.0,-65.0,133.61578947368423,2109.0,299.0,-61.11353383458647,-1042.0,-142.0,134.5857142857143,2064.0,149.0,-55.051127819548874,-920.0,-72.0,125.04586466165415,2035.0,402.0,-54.71278195488722,-948.0,-151.0
D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\dark_20260810_163245.csv,dark,5.0,180,61,13152.255555555555,13886.0,2367406.0,2967.9944444444445,2971.0,534239.0,2955.1666666666665,2959.0,531930.0,9906.777777777777,9917.0,1783220.0,9963.433333333332,10103.0,1793418.0,2960.261111111111,2965.0,532847.0,8582.833333333334,8778.0,1544910.0,12425.85,12661.0,2236653.0,10961.344444444445,11234.0,1973042.0,11889.083333333334,12120.0,2140035.0,4.673847189498486,0.995960955907102,3.337933355772467,3.4005385392123864,0.997980477953551,2.9545607539548975,4.261528105015146,3.781218444968024,4.079434533826994,0.21395650295261415,0.21309232320322627,0.7141725478899611,0.7275673340054731,0.2135244130779202,0.6321474866772289,0.9117816505833213,0.8090162753852801,0.8728215468817514,258.1744360902256,3954.0,394.0,-141.07142857142858,-2368.0,-266.0,0.6285714285714287,11.0,1.0,-0.181203007518797,0.0,2.0,0.0406015037593985,2.0,-2.0,-0.06917293233082708,-4.0,-2.0,0.18947368421052635,2.0,0.0,-0.3315789473684211,-6.0,-1.0,31.75563909774436,473.0,31.0,-17.957894736842107,-305.0,-41.0,0.05488721804511279,1.0,0.0,0.03609022556390978,0.0,-1.0,25.795488721804514,392.0,54.0,-14.694736842105264,-254.0,-58.0,123.44060150375941,1831.0,81.0,-62.87744360902256,-1071.0,-138.0,116.66090225563912,1722.0,38.0,-56.1390977443609,-947.0,-83.0,106.9218045112782,1639.0,136.0,-53.73458646616542,-927.0,-141.0
D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\dark_20260810_163245.csv,dark,6.0,180,61,13557.638888888889,14432.0,2440375.0,2973.383333333333,2976.0,535209.0,2958.4777777777776,2962.0,532526.0,9848.522222222222,9874.0,1772734.0,9864.072222222223,9981.0,1775533.0,2965.1666666666665,2968.0,533730.0,8512.022222222222,8784.0,1532164.0,12592.488888888889,12889.0,2266648.0,11134.216666666667,11429.0,2004159.0,12180.294444444444,12475.0,2192453.0,4.849462365591398,0.9952956989247311,3.3178763440860215,3.3538306451612905,0.9973118279569892,2.9516129032258065,4.330981182795699,3.8403897849462365,4.191868279569892,0.20620842572062084,0.20523835920177383,0.6841740576496674,0.6915881374722838,0.2056541019955654,0.6086474501108647,0.8930848115299335,0.791920731707317,0.8643985587583148,281.63007518797,4564.0,-27.0,-150.81278195488724,-2553.0,-302.0,0.5022556390977443,5.0,2.0,-0.29849624060150376,-5.0,-2.0,0.006766917293233083,0.0,1.0,-0.031578947368421054,2.0,2.0,0.05037593984962406,0.0,-1.0,-0.07669172932330828,-2.0,-1.0,34.984962406015036,604.0,-6.0,-16.049624060150375,-269.0,-38.0,0.0962406015037594,3.0,5.0,0.06240601503759399,4.0,-1.0,38.82706766917293,567.0,0.0,-12.871428571428572,-223.0,-63.0,131.02330827067672,2249.0,-37.0,-67.88796992481203,-1162.0,-166.0,96.40075187969926,1870.0,-31.0,-54.954887218045116,-923.0,-80.0,107.20225563909776,1814.0,-19.0,-55.12406015037594,-962.0,-164.0
D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\dark_20260810_163245.csv,dark,7.0,180,61,11804.194444444445,12986.0,2124755.0,2964.2944444444443,2968.0,533573.0,2954.6055555555554,2959.0,531829.0,9843.055555555555,9851.0,1771750.0,9772.327777777778,9903.0,1759019.0,2959.8777777777777,2965.0,532778.0,8509.68888888889,8643.0,1531744.0,11397.394444444444,11921.0,2051531.0,10422.961111111112,10858.0,1876133.0,11453.394444444444,11891.0,2061611.0,4.37533692722372,0.996967654986523,3.3190700808625335,3.336590296495957,0.998989218328841,2.9120619946091644,4.0165094339622645,3.658355795148248,4.006401617250674,0.2285538271985215,0.22786077314030495,0.7585861697212383,0.7625904820576005,0.22832280917911596,0.6655629139072847,0.9179886031110427,0.8361312182350223,0.9156784229169875,129.91954887218046,2064.0,60.0,-107.34962406015038,-1777.0,-207.0,0.045112781954887216,-2.0,-2.0,-0.13007518796992482,0.0,0.0,-0.007518796992481203,0.0,-2.0,0.0481203007518797,0.0,1.0,0.24586466165413537,5.0,1.0,-0.25263157894736843,-5.0,-1.0,13.047368421052633,201.0,0.0,-10.230075187969925,-164.0,-14.0,-0.09924812030075189,-2.0,0.0,-0.06165413533834587,-2.0,-1.0,11.824812030075188,200.0,11.0,-8.066917293233084,-132.0,-29.0,45.08646616541353,703.0,-22.0,-41.97293233082707,-699.0,-75.0,39.89473684210526,594.0,-29.0,-34.03533834586466,-557.0,-25.0,37.21278195488722,603.0,5.0,-31.493984962406014,-540.0,-75.0
D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\dark_20260810_163245.csv,dark,8.0,180,61,12256.144444444444,12744.0,2206106.0,2960.488888888889,2964.0,532888.0,2951.0,2954.0,531180.0,9868.216666666667,9883.0,1776279.0,9971.333333333334,10066.0,1794840.0,2951.961111111111,2957.0,531353.0,8698.261111111111,8803.0,1565687.0,11533.05,11820.0,2075949.0,10922.327777777778,11251.0,1966019.0,11925.93888888889,12254.0,2146669.0,4.299595141700405,0.9966261808367072,3.3343454790823213,3.3960863697705803,0.997638326585695,2.9699730094466936,3.9878542510121457,3.795883940620783,4.134278002699055,0.23258003766478344,0.2317953546767106,0.7755021971123666,0.7898618957940992,0.23203075957313246,0.6907564344005022,0.9274952919020716,0.8828468298807282,0.9615505335844319,164.38721804511277,2581.0,651.0,-118.87293233082707,-2012.0,-265.0,0.29849624060150376,4.0,-1.0,-0.14285714285714285,-2.0,2.0,-0.13007518796992482,-3.0,1.0,0.01729323308270677,2.0,2.0,0.24436090225563908,5.0,1.0,0.2766917293233083,5.0,1.0,19.29624060150376,291.0,47.0,-12.18872180451128,-207.0,-23.0,-0.039097744360902256,-3.0,0.0,-0.10225563909774438,0.0,-1.0,12.448120300751881,214.0,89.0,-10.415789473684212,-181.0,-43.0,72.77969924812031,1095.0,165.0,-49.79849624060151,-855.0,-120.0,71.45187969924812,1035.0,66.0,-38.29323308270677,-646.0,-50.0,58.330827067669176,916.0,187.0,-38.25263157894737,-667.0,-98.0
D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\dark_20260810_163245.csv,dark,9.0,181,61,12914.209944751381,13390.0,2337472.0,2958.016574585635,2965.0,535401.0,2946.596685082873,2952.0,533334.0,9909.32044198895,9921.0,1793587.0,10167.265193370165,10287.0,1840275.0,2948.276243093923,2953.0,533638.0,8831.734806629835,8919.0,1598544.0,11981.906077348067,12343.0,2168725.0,11673.198895027625,12073.0,2112849.0,12522.093922651933,12876.0,2266499.0,4.51602023608769,0.9956155143338955,3.3460370994940978,3.469477234401349,0.9959527824620573,3.0080944350758854,4.162900505902193,4.071838111298482,4.342664418212479,0.22143390589992532,0.22046303211351756,0.7409260642270351,0.7682598954443615,0.220537714712472,0.6660941000746826,0.9218073188946976,0.9016430171769978,0.9616131441374159,196.32481203007518,3095.0,321.0,-110.206015037594,-1964.0,-434.0,0.2721804511278196,8.0,5.0,-0.002255639097744361,2.0,-1.0,-0.09924812030075189,-3.0,-5.0,0.0481203007518797,4.0,-3.0,0.20902255639097744,4.0,1.0,-0.4571428571428572,-11.0,-5.0,22.67593984962406,355.0,22.0,-14.322556390977445,-266.0,-66.0,-0.05037593984962406,0.0,6.0,-0.0368421052631579,2.0,3.0,19.86766917293233,313.0,47.0,-9.955639097744362,-186.0,-57.0,83.206015037594,1308.0,71.0,-49.40676691729323,-901.0,-206.0,70.83609022556392,1115.0,22.0,-49.03609022556391,-892.0,-190.0,65.6609022556391,1055.0,80.0,-40.46165413533835,-741.0,-165.0
D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\dark_20260810_163245.csv,dark,10.0,181,61,11792.895027624309,12165.0,2134514.0,2963.3977900552486,2966.0,536375.0,2953.414364640884,2957.0,534568.0,9842.149171270717,9887.0,1781429.0,9733.67955801105,9825.0,1761796.0,2956.502762430939,2961.0,535127.0,8497.690607734807,8659.0,1538082.0,11028.779005524862,11247.0,1996209.0,10647.624309392266,10835.0,1927220.0,11683.093922651933,11857.0,2114640.0,4.101483479433581,0.9969656102494943,3.3334457181389077,3.3125421443020904,0.9983142279163857,2.9194200944032365,3.791975724881996,3.653068105192178,3.99763991908294,0.24381422112618167,0.24307439375256884,0.8127414714344431,0.8076448828606658,0.243403205918619,0.7117961364570489,0.924537607891492,0.8906699547883272,0.974681463214139,121.23383458646617,2075.0,647.0,-78.52932330827069,-1342.0,-211.0,0.29097744360902256,3.0,0.0,-0.07443609022556391,0.0,0.0,-0.02105263157894737,0.0,3.0,0.10451127819548872,4.0,4.0,-0.49774436090225566,-9.0,0.0,-0.32180451127819554,-6.0,-1.0,13.269172932330829,219.0,50.0,-9.7203007518797,-171.0,-24.0,-0.07969924812030076,-3.0,2.0,0.03609022556390978,0.0,1.0,8.62857142857143,176.0,102.0,-7.9676691729323315,-145.0,-35.0,47.54812030075188,792.0,176.0,-33.63609022556391,-585.0,-90.0,44.86541353383459,689.0,53.0,-26.459398496240603,-455.0,-45.0,36.8421052631579,632.0,199.0,-24.71278195488722,-439.0,-73.0
