timestamp,sample_id,roast_level,origin,batch_id,run_id,phase,sample_idx,adc_tgs822,adc_mq135,adc_mq9,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,temperature,humidity
2177,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,1,11171,2789,2777,7965,9348,2780,9431,15819,14210,14441,,
3176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,2,11158,2790,2779,7967,9345,2780,9430,15808,14197,14434,,
4176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,3,11146,2789,2779,7967,9342,2783,9428,15796,14182,14426,,
5176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,4,11133,2786,2779,7968,9339,2782,9426,15785,14168,14418,,
6176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,5,11122,2788,2779,7969,9334,2782,9424,15774,14154,14411,,
7176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,6,11110,2790,2778,7969,9331,2781,9420,15763,14140,14403,,
8176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,7,11099,2789,2778,7970,9326,2782,9417,15752,14126,14396,,
9177,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,8,11088,2791,2778,7971,9323,2780,9416,15742,14113,14389,,
10176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,9,11078,2791,2778,7972,9320,2780,9413,15732,14099,14382,,
11176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,10,11067,2785,2780,7972,9316,2780,9411,15722,14087,14375,,
12176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,11,11056,2788,2778,7972,9312,2782,9410,15713,14074,14369,,
13176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,12,11047,2789,2778,7973,9309,2780,9407,15703,14062,14363,,
14176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,13,11037,2791,2778,7973,9306,2781,9405,15694,14051,14357,,
15176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,14,11028,2786,2779,7973,9303,2782,9403,15685,14038,14352,,
16177,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,15,11018,2791,2778,7973,9300,2779,9401,15676,14027,14346,,
17176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,16,11009,2788,2779,7973,9297,2780,9399,15668,14015,14340,,
18177,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,17,11000,2787,2781,7973,9294,2782,9398,15658,14004,14334,,
19176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,18,10990,2791,2779,7973,9291,2777,9396,15649,13994,14329,,
20176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,19,10981,2788,2778,7973,9289,2780,9395,15641,13983,14324,,
21176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,20,10973,2791,2778,7972,9287,2780,9395,15633,13972,14319,,
22176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,21,10965,2791,2778,7972,9286,2780,9396,15625,13963,14314,,
23176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,22,10957,2789,2775,7972,9284,2780,9397,15618,13954,14310,,
24176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,23,10949,2788,2778,7972,9281,2780,9398,15610,13944,14305,,
25177,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,24,10944,2786,2779,7972,9279,2780,9397,15601,13934,14300,,
26176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,25,10938,2787,2778,7972,9276,2782,9395,15593,13925,14293,,
27176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,26,10932,2786,2779,7972,9272,2780,9392,15584,13914,14285,,
28176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,27,10927,2789,2778,7972,9266,2780,9386,15575,13903,14278,,
29176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,28,10921,2785,2778,7971,9261,2782,9381,15566,13892,14271,,
30176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,29,10916,2787,2782,7971,9255,2780,9376,15557,13880,14266,,
31176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,30,10911,2789,2782,7971,9250,2781,9371,15549,13869,14260,,
32177,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,31,10905,2788,2779,7971,9245,2780,9369,15540,13859,14254,,
33176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,32,10900,2788,2779,7970,9241,2780,9365,15533,13848,14248,,
34177,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,33,10896,2786,2780,7970,9237,2778,9361,15525,13837,14242,,
35176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,34,10891,2786,2780,7970,9234,2782,9360,15518,13828,14238,,
36176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,35,10886,2788,2778,7969,9231,2781,9360,15512,13819,14233,,
37176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,36,10882,2789,2778,7969,9228,2780,9358,15505,13809,14229,,
38176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,37,10878,2791,2775,7969,9226,2780,9358,15498,13800,14226,,
39176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,38,10874,2786,2778,7969,9224,2783,9358,15492,13792,14222,,
40176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,39,10869,2789,2778,7969,9223,2780,9359,15486,13785,14218,,
41177,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,40,10865,2788,2778,7969,9222,2782,9359,15480,13777,14215,,
42176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,41,10860,2787,2778,7970,9220,2780,9361,15473,13769,14211,,
43176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,42,10855,2791,2778,7970,9219,2781,9361,15467,13761,14208,,
44176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,43,10850,2788,2778,7971,9220,2780,9363,15462,13755,14206,,
45176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,44,10845,2791,2779,7971,9220,2780,9367,15457,13748,14204,,
46176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,45,10841,2787,2781,7972,9221,2780,9370,15451,13743,14201,,
47176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,46,10836,2791,2777,7973,9220,2779,9371,15445,13737,14197,,
48177,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,47,10832,2788,2779,7974,9219,2780,9369,15439,13729,14194,,
49176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,48,10828,2790,2779,7974,9218,2782,9370,15433,13723,14192,,
50177,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,49,10824,2788,2778,7975,9218,2781,9374,15429,13717,14190,,
51176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,50,10820,2786,2779,7977,9218,2780,9374,15422,13711,14185,,
52176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,51,10816,2786,2778,7977,9216,2780,9372,15415,13705,14180,,
53176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,52,10812,2791,2778,7978,9213,2780,9369,15408,13698,14176,,
54176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,53,10808,2788,2781,7978,9210,2780,9364,15402,13690,14172,,
55176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,54,10804,2790,2782,7979,9207,2781,9359,15395,13682,14168,,
56176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,55,10800,2788,2778,7979,9204,2782,9357,15390,13674,14163,,
57177,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,56,10796,2788,2781,7979,9200,2780,9354,15383,13668,14159,,
58176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,57,10793,2786,2776,7979,9198,2780,9351,15377,13661,14156,,
59176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,58,10790,2786,2778,7979,9195,2779,9350,15372,13653,14153,,
60176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,59,10786,2788,2779,7978,9193,2780,9349,15367,13647,14150,,
61176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,60,10783,2787,2782,7978,9192,2780,9349,15362,13640,14147,,
62176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,61,10780,2789,2778,7978,9190,2778,9348,15357,13633,14144,,
63176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,62,10777,2787,2778,7978,9188,2780,9348,15351,13627,14141,,
64177,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,63,10774,2788,2778,7978,9187,2780,9347,15346,13620,14138,,
65176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,64,10771,2788,2782,7978,9185,2782,9346,15341,13614,14135,,
66177,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,65,10767,2789,2778,7978,9184,2782,9345,15336,13607,14132,,
67176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,66,10765,2785,2779,7979,9182,2781,9345,15331,13602,14130,,
68176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,67,10761,2787,2782,7979,9181,2780,9345,15326,13596,14127,,
69176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,68,10759,2786,2782,7978,9180,2780,9345,15322,13590,14124,,
70176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,69,10757,2786,2780,7979,9178,2780,9344,15316,13584,14121,,
71176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,70,10754,2788,2778,7979,9177,2781,9342,15311,13578,14118,,
72176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,71,10752,2785,2781,7978,9174,2780,9341,15306,13572,14116,,
73177,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,72,10750,2785,2779,7978,9173,2780,9341,15302,13567,14114,,
74176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,73,10747,2786,2778,7979,9171,2780,9340,15297,13560,14110,,
75176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,74,10743,2785,2778,7979,9169,2780,9338,15291,13554,14106,,
76176,L-CAT,light,Arabika Catuji Mekarwangi,B10,1,purging,75,10740,2789,2778,7979,9166,2777,9336,15287,13547,14103,,
