timestamp,sample_id,roast_level,origin,batch_id,run_id,phase,sample_idx,adc_tgs822,adc_mq135,adc_mq3,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,temperature,humidity
2186,L-RAT,light,Arabika Ratawali Aceh,B12,1,purging,1,7912,2881,2877,8763,8837,2896,8004,10240,12991,13279,,
3186,L-RAT,light,Arabika Ratawali Aceh,B12,1,purging,2,7915,2881,2874,8766,8833,2892,8002,10236,12984,13276,,
4187,L-RAT,light,Arabika Ratawali Aceh,B12,1,purging,3,7917,2881,2879,8770,8830,2891,8000,10234,12980,13273,,
5186,L-RAT,light,Arabika Ratawali Aceh,B12,1,purging,4,7919,2881,2879,8774,8826,2891,7998,10231,12975,13269,,
6187,L-RAT,light,Arabika Ratawali Aceh,B12,1,purging,5,7921,2879,2877,8778,8824,2891,7997,10229,12970,13267,,
7186,L-RAT,light,Arabika Ratawali Aceh,B12,1,purging,6,7924,2879,2876,8781,8823,2898,7997,10228,12967,13268,,
8186,L-RAT,light,Arabika Ratawali Aceh,B12,1,purging,7,7926,2879,2879,8785,8824,2896,7998,10228,12966,13268,,
9186,L-RAT,light,Arabika Ratawali Aceh,B12,1,purging,8,7927,2881,2879,8789,8823,2891,7998,10227,12965,13268,,
10186,L-RAT,light,Arabika Ratawali Aceh,B12,1,purging,9,7930,2879,2879,8793,8829,2891,8001,10227,12966,13274,,
11186,L-RAT,light,Arabika Ratawali Aceh,B12,1,purging,10,7933,2879,2879,8798,8837,2896,8005,10229,12976,13278,,
12186,L-RAT,light,Arabika Ratawali Aceh,B12,1,purging,11,7935,2879,2874,8801,8842,2896,8010,10231,12982,13284,,
13187,L-RAT,light,Arabika Ratawali Aceh,B12,1,purging,12,7937,2879,2879,8806,8853,2896,8015,10233,12995,13290,,
14186,L-RAT,light,Arabika Ratawali Aceh,B12,1,purging,13,7939,2879,2877,8810,8858,2896,8019,10236,13003,13291,,
15186,L-RAT,light,Arabika Ratawali Aceh,B12,1,purging,14,7940,2877,2879,8812,8857,2891,8021,10235,13004,13289,,
16186,L-RAT,light,Arabika Ratawali Aceh,B12,1,purging,15,7941,2879,2877,8815,8852,2891,8021,10234,13000,13285,,
17186,L-RAT,light,Arabika Ratawali Aceh,B12,1,purging,16,7942,2879,2879,8817,8849,2896,8020,10232,12993,13285,,
18186,L-RAT,light,Arabika Ratawali Aceh,B12,1,purging,17,7943,2879,2879,8820,8848,2896,8021,10232,12990,13286,,
19186,L-RAT,light,Arabika Ratawali Aceh,B12,1,purging,18,7944,2879,2876,8823,8846,2895,8022,10233,12987,13285,,
20187,L-RAT,light,Arabika Ratawali Aceh,B12,1,purging,19,7944,2879,2879,8825,8844,2894,8023,10232,12982,13282,,
21186,L-RAT,light,Arabika Ratawali Aceh,B12,1,purging,20,7945,2879,2879,8828,8841,2894,8023,10231,12976,13280,,
22187,L-RAT,light,Arabika Ratawali Aceh,B12,1,purging,21,7946,2879,2879,8830,8837,2891,8022,10229,12969,13277,,
23186,L-RAT,light,Arabika Ratawali Aceh,B12,1,purging,22,7947,2877,2876,8833,8834,2894,8022,10228,12961,13275,,
24186,L-RAT,light,Arabika Ratawali Aceh,B12,1,purging,23,7948,2879,2879,8835,8831,2893,8022,10227,12954,13273,,
25186,L-RAT,light,Arabika Ratawali Aceh,B12,1,purging,24,7949,2879,2876,8838,8828,2896,8021,10226,12948,13270,,
26186,L-RAT,light,Arabika Ratawali Aceh,B12,1,purging,25,7950,2879,2879,8840,8825,2889,8022,10225,12942,13268,,
27186,L-RAT,light,Arabika Ratawali Aceh,B12,1,purging,26,7951,2879,2879,8843,8822,2894,8022,10223,12934,13265,,
28186,L-RAT,light,Arabika Ratawali Aceh,B12,1,purging,27,7952,2883,2879,8846,8819,2894,8022,10222,12928,13263,,
29187,L-RAT,light,Arabika Ratawali Aceh,B12,1,purging,28,7953,2879,2879,8848,8816,2894,8022,10221,12922,13261,,
