timestamp,sample_id,roast_level,origin,batch_id,run_id,phase,sample_idx,adc_tgs822,adc_mq135,adc_mq9,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,temperature,humidity
2166,L-TEM,light,Arabika Temanggung,B10,1,purging,1,10968,2817,2805,7795,9408,2788,9305,15712,13804,14546,,
3166,L-TEM,light,Arabika Temanggung,B10,1,purging,2,10942,2818,2807,7796,9408,2788,9307,15693,13781,14536,,
4166,L-TEM,light,Arabika Temanggung,B10,1,purging,3,10918,2819,2807,7797,9408,2785,9308,15675,13759,14526,,
5167,L-TEM,light,Arabika Temanggung,B10,1,purging,4,10894,2819,2807,7798,9408,2788,9309,15656,13738,14516,,
6166,L-TEM,light,Arabika Temanggung,B10,1,purging,5,10872,2817,2805,7798,9407,2788,9310,15637,13717,14506,,
7166,L-TEM,light,Arabika Temanggung,B10,1,purging,6,10851,2817,2806,7799,9406,2788,9310,15620,13696,14497,,
8166,L-TEM,light,Arabika Temanggung,B10,1,purging,7,10831,2818,2807,7800,9405,2788,9310,15602,13676,14487,,
9166,L-TEM,light,Arabika Temanggung,B10,1,purging,8,10812,2817,2807,7801,9403,2787,9310,15584,13657,14478,,
10166,L-TEM,light,Arabika Temanggung,B10,1,purging,9,10794,2815,2806,7801,9401,2788,9309,15567,13637,14468,,
11166,L-TEM,light,Arabika Temanggung,B10,1,purging,10,10777,2819,2806,7802,9398,2787,9307,15550,13618,14458,,
12166,L-TEM,light,Arabika Temanggung,B10,1,purging,11,10761,2817,2809,7803,9396,2786,9306,15533,13599,14448,,
13166,L-TEM,light,Arabika Temanggung,B10,1,purging,12,10747,2818,2806,7804,9392,2788,9304,15516,13581,14438,,
14167,L-TEM,light,Arabika Temanggung,B10,1,purging,13,10732,2818,2810,7805,9388,2787,9301,15500,13562,14429,,
15166,L-TEM,light,Arabika Temanggung,B10,1,purging,14,10718,2816,2807,7805,9385,2788,9300,15484,13544,14420,,
16166,L-TEM,light,Arabika Temanggung,B10,1,purging,15,10704,2817,2807,7806,9382,2788,9298,15468,13526,14412,,
17166,L-TEM,light,Arabika Temanggung,B10,1,purging,16,10691,2816,2805,7807,9378,2788,9296,15453,13509,14404,,
18166,L-TEM,light,Arabika Temanggung,B10,1,purging,17,10679,2815,2807,7807,9376,2788,9294,15438,13492,14395,,
19166,L-TEM,light,Arabika Temanggung,B10,1,purging,18,10667,2819,2805,7808,9374,2788,9292,15424,13476,14388,,
20166,L-TEM,light,Arabika Temanggung,B10,1,purging,19,10656,2816,2806,7809,9373,2785,9291,15410,13461,14380,,
21167,L-TEM,light,Arabika Temanggung,B10,1,purging,20,10645,2817,2808,7810,9371,2787,9290,15396,13445,14373,,
22166,L-TEM,light,Arabika Temanggung,B10,1,purging,21,10634,2817,2806,7810,9369,2786,9289,15383,13431,14366,,
23166,L-TEM,light,Arabika Temanggung,B10,1,purging,22,10624,2816,2808,7811,9369,2788,9290,15370,13418,14360,,
24166,L-TEM,light,Arabika Temanggung,B10,1,purging,23,10615,2817,2807,7812,9368,2788,9291,15358,13405,14353,,
25166,L-TEM,light,Arabika Temanggung,B10,1,purging,24,10606,2816,2807,7813,9367,2788,9291,15345,13392,14347,,
26166,L-TEM,light,Arabika Temanggung,B10,1,purging,25,10597,2816,2808,7814,9367,2787,9292,15332,13380,14341,,
27166,L-TEM,light,Arabika Temanggung,B10,1,purging,26,10587,2816,2805,7815,9366,2788,9291,15320,13369,14335,,
28166,L-TEM,light,Arabika Temanggung,B10,1,purging,27,10579,2815,2807,7815,9365,2787,9291,15308,13357,14329,,
29166,L-TEM,light,Arabika Temanggung,B10,1,purging,28,10570,2816,2808,7816,9364,2788,9289,15296,13345,14322,,
30167,L-TEM,light,Arabika Temanggung,B10,1,purging,29,10563,2816,2808,7817,9364,2788,9289,15283,13333,14316,,
31166,L-TEM,light,Arabika Temanggung,B10,1,purging,30,10555,2815,2807,7817,9363,2790,9288,15272,13323,14311,,
32166,L-TEM,light,Arabika Temanggung,B10,1,purging,31,10547,2816,2807,7818,9362,2787,9289,15261,13312,14307,,
33166,L-TEM,light,Arabika Temanggung,B10,1,purging,32,10539,2816,2805,7819,9362,2787,9289,15251,13302,14303,,
