timestamp,sample_id,roast_level,origin,batch_id,run_id,phase,sample_idx,adc_tgs822,adc_mq135,adc_mq3,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,temperature,humidity
2180,L-GAW,light,Arabika Gayo Wine,B22,1,purging,1,8970,2884,2879,8288,9170,2881,9398,12373,12189,13938,,
3179,L-GAW,light,Arabika Gayo Wine,B22,1,purging,2,8970,2882,2877,8288,9169,2883,9399,12371,12189,13938,,
4179,L-GAW,light,Arabika Gayo Wine,B22,1,purging,3,8971,2881,2877,8289,9169,2881,9399,12370,12189,13937,,
5179,L-GAW,light,Arabika Gayo Wine,B22,1,purging,4,8970,2882,2877,8290,9169,2883,9398,12369,12189,13937,,
6179,L-GAW,light,Arabika Gayo Wine,B22,1,purging,5,8969,2882,2877,8290,9169,2881,9397,12368,12190,13937,,
7179,L-GAW,light,Arabika Gayo Wine,B22,1,purging,6,8968,2882,2877,8291,9169,2883,9397,12367,12190,13937,,
8179,L-GAW,light,Arabika Gayo Wine,B22,1,purging,7,8968,2882,2877,8292,9168,2883,9396,12365,12190,13937,,
9179,L-GAW,light,Arabika Gayo Wine,B22,1,purging,8,8967,2881,2879,8292,9168,2881,9397,12364,12190,13937,,
10179,L-GAW,light,Arabika Gayo Wine,B22,1,purging,9,8967,2882,2877,8293,9168,2883,9398,12363,12190,13937,,
11181,L-GAW,light,Arabika Gayo Wine,B22,1,purging,10,8967,2881,2877,8293,9168,2881,9398,12362,12190,13937,,
12180,L-GAW,light,Arabika Gayo Wine,B22,1,purging,11,8967,2884,2877,8294,9168,2883,9398,12361,12190,13936,,
13180,L-GAW,light,Arabika Gayo Wine,B22,1,purging,12,8967,2881,2877,8295,9167,2881,9398,12360,12190,13936,,
14180,L-GAW,light,Arabika Gayo Wine,B22,1,purging,13,8967,2882,2877,8296,9168,2881,9398,12358,12190,13936,,
15180,L-GAW,light,Arabika Gayo Wine,B22,1,purging,14,8966,2882,2877,8296,9168,2881,9399,12357,12190,13936,,
16180,L-GAW,light,Arabika Gayo Wine,B22,1,purging,15,8966,2881,2879,8296,9168,2883,9398,12356,12191,13935,,
17180,L-GAW,light,Arabika Gayo Wine,B22,1,purging,16,8965,2882,2877,8297,9168,2883,9399,12354,12191,13935,,
18181,L-GAW,light,Arabika Gayo Wine,B22,1,purging,17,8965,2881,2877,8297,9168,2883,9398,12353,12191,13935,,
19180,L-GAW,light,Arabika Gayo Wine,B22,1,purging,18,8965,2882,2875,8298,9168,2883,9399,12352,12191,13934,,
20180,L-GAW,light,Arabika Gayo Wine,B22,1,purging,19,8965,2884,2877,8298,9169,2883,9399,12350,12191,13934,,
21180,L-GAW,light,Arabika Gayo Wine,B22,1,purging,20,8964,2881,2879,8299,9169,2883,9399,12349,12192,13934,,
22180,L-GAW,light,Arabika Gayo Wine,B22,1,purging,21,8965,2881,2879,8300,9170,2883,9400,12347,12192,13934,,
23180,L-GAW,light,Arabika Gayo Wine,B22,1,purging,22,8965,2884,2875,8301,9170,2883,9399,12346,12192,13933,,
24180,L-GAW,light,Arabika Gayo Wine,B22,1,purging,23,8965,2881,2875,8301,9171,2881,9399,12345,12193,13934,,
25180,L-GAW,light,Arabika Gayo Wine,B22,1,purging,24,8965,2882,2877,8302,9171,2883,9399,12343,12193,13934,,
26180,L-GAW,light,Arabika Gayo Wine,B22,1,purging,25,8965,2884,2879,8302,9171,2883,9399,12342,12194,13934,,
27181,L-GAW,light,Arabika Gayo Wine,B22,1,purging,26,8966,2882,2879,8303,9172,2883,9399,12341,12194,13933,,
28180,L-GAW,light,Arabika Gayo Wine,B22,1,purging,27,8966,2881,2875,8303,9172,2883,9399,12339,12194,13934,,
29180,L-GAW,light,Arabika Gayo Wine,B22,1,purging,28,8967,2881,2875,8303,9173,2883,9399,12339,12195,13933,,
30180,L-GAW,light,Arabika Gayo Wine,B22,1,purging,29,8967,2884,2879,8303,9173,2881,9400,12337,12195,13933,,
31180,L-GAW,light,Arabika Gayo Wine,B22,1,purging,30,8968,2884,2879,8304,9174,2883,9401,12337,12195,13933,,
32180,L-GAW,light,Arabika Gayo Wine,B22,1,purging,31,8968,2881,2875,8305,9174,2883,9401,12335,12195,13932,,
33180,L-GAW,light,Arabika Gayo Wine,B22,1,purging,32,8968,2881,2877,8305,9175,2883,9401,12333,12196,13932,,
34181,L-GAW,light,Arabika Gayo Wine,B22,1,purging,33,8967,2881,2875,8306,9176,2883,9401,12332,12196,13932,,
35180,L-GAW,light,Arabika Gayo Wine,B22,1,purging,34,8966,2884,2879,8306,9176,2883,9401,12331,12196,13932,,
36180,L-GAW,light,Arabika Gayo Wine,B22,1,purging,35,8966,2884,2875,8307,9176,2883,9400,12329,12197,13932,,
37180,L-GAW,light,Arabika Gayo Wine,B22,1,purging,36,8965,2881,2877,8308,9176,2881,9401,12328,12197,13932,,
38180,L-GAW,light,Arabika Gayo Wine,B22,1,purging,37,8963,2884,2879,8308,9177,2883,9401,12326,12198,13932,,
39180,L-GAW,light,Arabika Gayo Wine,B22,1,purging,38,8963,2884,2879,8308,9177,2883,9402,12325,12198,13932,,
40180,L-GAW,light,Arabika Gayo Wine,B22,1,purging,39,8962,2884,2877,8309,9177,2881,9402,12324,12198,13932,,
41180,L-GAW,light,Arabika Gayo Wine,B22,1,purging,40,8961,2884,2879,8310,9177,2883,9402,12323,12198,13932,,
42180,L-GAW,light,Arabika Gayo Wine,B22,1,purging,41,8960,2884,2875,8310,9178,2883,9402,12321,12199,13932,,
43181,L-GAW,light,Arabika Gayo Wine,B22,1,purging,42,8959,2884,2877,8311,9178,2883,9402,12320,12199,13931,,
44180,L-GAW,light,Arabika Gayo Wine,B22,1,purging,43,8959,2884,2877,8311,9178,2883,9402,12318,12199,13931,,
45180,L-GAW,light,Arabika Gayo Wine,B22,1,purging,44,8958,2884,2879,8311,9178,2883,9401,12317,12199,13930,,
46180,L-GAW,light,Arabika Gayo Wine,B22,1,purging,45,8958,2884,2877,8312,9179,2881,9401,12315,12200,13930,,
47180,L-GAW,light,Arabika Gayo Wine,B22,1,purging,46,8957,2884,2879,8312,9178,2883,9400,12313,12200,13930,,
48180,L-GAW,light,Arabika Gayo Wine,B22,1,purging,47,8957,2884,2879,8312,9178,2883,9400,12312,12200,13930,,
49180,L-GAW,light,Arabika Gayo Wine,B22,1,purging,48,8958,2884,2875,8313,9178,2883,9400,12311,12200,13930,,
50181,L-GAW,light,Arabika Gayo Wine,B22,1,purging,49,8959,2884,2879,8313,9179,2883,9401,12310,12200,13929,,
51180,L-GAW,light,Arabika Gayo Wine,B22,1,purging,50,8959,2884,2879,8312,9179,2883,9401,12309,12200,13929,,
52180,L-GAW,light,Arabika Gayo Wine,B22,1,purging,51,8960,2884,2877,8313,9179,2881,9401,12308,12200,13930,,
53180,L-GAW,light,Arabika Gayo Wine,B22,1,purging,52,8961,2884,2877,8313,9179,2883,9402,12307,12201,13930,,
54180,L-GAW,light,Arabika Gayo Wine,B22,1,purging,53,8962,2884,2879,8313,9180,2881,9401,12305,12201,13930,,
55180,L-GAW,light,Arabika Gayo Wine,B22,1,purging,54,8963,2884,2879,8314,9180,2881,9402,12305,12202,13930,,
56180,L-GAW,light,Arabika Gayo Wine,B22,1,purging,55,8965,2881,2877,8314,9181,2883,9402,12304,12202,13930,,
57180,L-GAW,light,Arabika Gayo Wine,B22,1,purging,56,8966,2884,2877,8314,9181,2883,9403,12303,12203,13930,,
58180,L-GAW,light,Arabika Gayo Wine,B22,1,purging,57,8968,2884,2877,8314,9181,2881,9403,12302,12203,13929,,
59181,L-GAW,light,Arabika Gayo Wine,B22,1,purging,58,8969,2884,2877,8314,9181,2883,9402,12301,12203,13930,,
60180,L-GAW,light,Arabika Gayo Wine,B22,1,purging,59,8971,2881,2879,8314,9182,2883,9403,12299,12204,13930,,
61180,L-GAW,light,Arabika Gayo Wine,B22,1,purging,60,8972,2881,2876,8315,9182,2883,9403,12298,12204,13930,,
62180,L-GAW,light,Arabika Gayo Wine,B22,1,purging,61,8974,2884,2877,8315,9182,2883,9403,12298,12205,13930,,
63180,L-GAW,light,Arabika Gayo Wine,B22,1,purging,62,8975,2884,2877,8315,9184,2883,9403,12296,12205,13930,,
64180,L-GAW,light,Arabika Gayo Wine,B22,1,purging,63,8975,2884,2879,8315,9184,2881,9403,12295,12206,13930,,
65180,L-GAW,light,Arabika Gayo Wine,B22,1,purging,64,8977,2884,2877,8315,9184,2881,9403,12294,12206,13929,,
66181,L-GAW,light,Arabika Gayo Wine,B22,1,purging,65,8977,2883,2877,8316,9184,2881,9403,12293,12206,13929,,
67180,L-GAW,light,Arabika Gayo Wine,B22,1,purging,66,8977,2884,2877,8316,9185,2883,9403,12292,12207,13930,,
68180,L-GAW,light,Arabika Gayo Wine,B22,1,purging,67,8978,2884,2879,8316,9185,2883,9402,12291,12208,13930,,
69180,L-GAW,light,Arabika Gayo Wine,B22,1,purging,68,8978,2884,2877,8316,9185,2883,9402,12290,12208,13930,,
70180,L-GAW,light,Arabika Gayo Wine,B22,1,purging,69,8979,2881,2879,8316,9187,2881,9402,12289,12208,13930,,
71180,L-GAW,light,Arabika Gayo Wine,B22,1,purging,70,8979,2884,2879,8317,9186,2881,9403,12288,12209,13930,,
72180,L-GAW,light,Arabika Gayo Wine,B22,1,purging,71,8978,2884,2879,8317,9187,2883,9403,12287,12209,13930,,
73180,L-GAW,light,Arabika Gayo Wine,B22,1,purging,72,8978,2881,2877,8317,9186,2883,9403,12286,12210,13930,,
74180,L-GAW,light,Arabika Gayo Wine,B22,1,purging,73,8977,2884,2877,8318,9187,2883,9403,12285,12210,13930,,
