timestamp,sample_id,roast_level,origin,batch_id,run_id,phase,sample_idx,adc_tgs822,adc_mq135,adc_mq9,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,temperature,humidity
2183,L-GAY,light,Arabika Gayo Aceh,B03,1,purging,1,9010,2972,2963,7882,11092,2946,8046,15417,16497,13468,,
3183,L-GAY,light,Arabika Gayo Aceh,B03,1,purging,2,8987,2972,2965,7888,11061,2946,8046,15402,16479,13446,,
4184,L-GAY,light,Arabika Gayo Aceh,B03,1,purging,3,8963,2972,2967,7894,11031,2951,8045,15386,16461,13425,,
5183,L-GAY,light,Arabika Gayo Aceh,B03,1,purging,4,8941,2970,2967,7899,11000,2946,8044,15372,16442,13405,,
6183,L-GAY,light,Arabika Gayo Aceh,B03,1,purging,5,8918,2972,2965,7905,10971,2947,8044,15358,16424,13385,,
7183,L-GAY,light,Arabika Gayo Aceh,B03,1,purging,6,8896,2970,2967,7910,10942,2945,8044,15344,16406,13366,,
8183,L-GAY,light,Arabika Gayo Aceh,B03,1,purging,7,8874,2969,2963,7916,10913,2945,8044,15330,16388,13347,,
9183,L-GAY,light,Arabika Gayo Aceh,B03,1,purging,8,8853,2968,2963,7921,10885,2946,8043,15317,16371,13327,,
10183,L-GAY,light,Arabika Gayo Aceh,B03,1,purging,9,8831,2969,2961,7927,10857,2946,8043,15303,16354,13309,,
11184,L-GAY,light,Arabika Gayo Aceh,B03,1,purging,10,8810,2970,2965,7932,10829,2945,8044,15289,16336,13291,,
12183,L-GAY,light,Arabika Gayo Aceh,B03,1,purging,11,8789,2967,2962,7937,10801,2945,8043,15276,16319,13272,,
13184,L-GAY,light,Arabika Gayo Aceh,B03,1,purging,12,8769,2968,2963,7942,10774,2947,8044,15263,16302,13255,,
14183,L-GAY,light,Arabika Gayo Aceh,B03,1,purging,13,8751,2967,2961,7947,10746,2945,8044,15250,16285,13235,,
15183,L-GAY,light,Arabika Gayo Aceh,B03,1,purging,14,8733,2967,2964,7952,10718,2946,8043,15236,16268,13216,,
16183,L-GAY,light,Arabika Gayo Aceh,B03,1,purging,15,8716,2970,2963,7958,10690,2945,8043,15223,16251,13200,,
17183,L-GAY,light,Arabika Gayo Aceh,B03,1,purging,16,8703,2969,2963,7963,10664,2945,8044,15211,16235,13186,,
