timestamp,sample_id,roast_level,origin,batch_id,run_id,phase,sample_idx,adc_tgs822,adc_mq135,adc_mq9,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,temperature,humidity
2177,L-MAN,light,Arabika Manglayang Jawa Barat,B10,1,purging,1,10531,2795,2786,7756,9315,2780,9303,14937,14414,14051,,
3176,L-MAN,light,Arabika Manglayang Jawa Barat,B10,1,purging,2,10517,2794,2786,7756,9307,2782,9299,14922,14399,14040,,
4176,L-MAN,light,Arabika Manglayang Jawa Barat,B10,1,purging,3,10503,2799,2786,7756,9299,2782,9294,14906,14384,14028,,
5176,L-MAN,light,Arabika Manglayang Jawa Barat,B10,1,purging,4,10489,2794,2787,7757,9290,2779,9289,14891,14368,14018,,
6176,L-MAN,light,Arabika Manglayang Jawa Barat,B10,1,purging,5,10476,2791,2786,7757,9283,2781,9285,14877,14353,14009,,
7176,L-MAN,light,Arabika Manglayang Jawa Barat,B10,1,purging,6,10463,2794,2786,7757,9276,2782,9283,14863,14339,14001,,
8176,L-MAN,light,Arabika Manglayang Jawa Barat,B10,1,purging,7,10451,2794,2785,7758,9270,2779,9282,14849,14325,13993,,
9177,L-MAN,light,Arabika Manglayang Jawa Barat,B10,1,purging,8,10439,2791,2786,7758,9264,2781,9280,14836,14311,13985,,
10176,L-MAN,light,Arabika Manglayang Jawa Barat,B10,1,purging,9,10427,2793,2785,7758,9258,2779,9279,14823,14297,13976,,
11176,L-MAN,light,Arabika Manglayang Jawa Barat,B10,1,purging,10,10415,2799,2786,7758,9252,2782,9278,14810,14284,13969,,
12176,L-MAN,light,Arabika Manglayang Jawa Barat,B10,1,purging,11,10404,2794,2786,7758,9248,2782,9278,14798,14271,13961,,
13176,L-MAN,light,Arabika Manglayang Jawa Barat,B10,1,purging,12,10393,2796,2788,7759,9243,2777,9278,14786,14259,13953,,
14176,L-MAN,light,Arabika Manglayang Jawa Barat,B10,1,purging,13,10382,2794,2790,7760,9238,2779,9275,14772,14247,13943,,
15176,L-MAN,light,Arabika Manglayang Jawa Barat,B10,1,purging,14,10371,2796,2788,7761,9231,2782,9271,14758,14234,13932,,
16177,L-MAN,light,Arabika Manglayang Jawa Barat,B10,1,purging,15,10361,2789,2786,7761,9223,2780,9266,14743,14222,13923,,
17176,L-MAN,light,Arabika Manglayang Jawa Barat,B10,1,purging,16,10352,2793,2785,7761,9216,2780,9260,14730,14208,13913,,
18177,L-MAN,light,Arabika Manglayang Jawa Barat,B10,1,purging,17,10343,2796,2785,7762,9208,2780,9255,14717,14195,13906,,
19176,L-MAN,light,Arabika Manglayang Jawa Barat,B10,1,purging,18,10333,2793,2786,7762,9201,2782,9253,14705,14181,13899,,
20176,L-MAN,light,Arabika Manglayang Jawa Barat,B10,1,purging,19,10324,2794,2786,7763,9195,2782,9249,14693,14168,13891,,
21176,L-MAN,light,Arabika Manglayang Jawa Barat,B10,1,purging,20,10314,2793,2787,7763,9189,2780,9247,14681,14155,13883,,
22176,L-MAN,light,Arabika Manglayang Jawa Barat,B10,1,purging,21,10306,2795,2785,7763,9182,2780,9244,14669,14143,13876,,
23176,L-MAN,light,Arabika Manglayang Jawa Barat,B10,1,purging,22,10297,2798,2788,7764,9177,2780,9242,14658,14131,13869,,
24176,L-MAN,light,Arabika Manglayang Jawa Barat,B10,1,purging,23,10288,2799,2787,7764,9171,2779,9240,14647,14118,13863,,
25177,L-MAN,light,Arabika Manglayang Jawa Barat,B10,1,purging,24,10279,2799,2786,7764,9167,2780,9240,14637,14107,13856,,
26176,L-MAN,light,Arabika Manglayang Jawa Barat,B10,1,purging,25,10271,2794,2786,7764,9161,2780,9238,14625,14095,13848,,
27176,L-MAN,light,Arabika Manglayang Jawa Barat,B10,1,purging,26,10263,2791,2787,7765,9155,2779,9235,14613,14083,13840,,
28176,L-MAN,light,Arabika Manglayang Jawa Barat,B10,1,purging,27,10256,2795,2785,7765,9149,2782,9231,14601,14070,13832,,
29176,L-MAN,light,Arabika Manglayang Jawa Barat,B10,1,purging,28,10250,2797,2786,7765,9143,2782,9229,14590,14058,13825,,
30176,L-MAN,light,Arabika Manglayang Jawa Barat,B10,1,purging,29,10243,2794,2783,7765,9138,2780,9227,14579,14047,13820,,
31176,L-MAN,light,Arabika Manglayang Jawa Barat,B10,1,purging,30,10236,2794,2783,7765,9133,2779,9227,14569,14035,13815,,
32177,L-MAN,light,Arabika Manglayang Jawa Barat,B10,1,purging,31,10229,2795,2786,7766,9129,2782,9225,14559,14024,13809,,
33176,L-MAN,light,Arabika Manglayang Jawa Barat,B10,1,purging,32,10221,2799,2786,7766,9124,2780,9223,14549,14014,13802,,
34177,L-MAN,light,Arabika Manglayang Jawa Barat,B10,1,purging,33,10214,2792,2786,7766,9120,2782,9221,14539,14003,13796,,
35176,L-MAN,light,Arabika Manglayang Jawa Barat,B10,1,purging,34,10207,2792,2786,7767,9116,2780,9218,14529,13992,13790,,
