timestamp,sample_id,roast_level,origin,batch_id,run_id,phase,sample_idx,adc_tgs822,adc_mq135,adc_mq9,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,temperature,humidity
2173,L-MER,light,Arabika Merapi,B02,1,purging,1,16455,2795,2779,8952,13228,2783,11535,19091,18431,17954,,
3172,L-MER,light,Arabika Merapi,B02,1,purging,2,16443,2794,2777,8958,13213,2784,11529,19083,18417,17944,,
4173,L-MER,light,Arabika Merapi,B02,1,purging,3,16430,2793,2777,8963,13198,2785,11521,19075,18405,17934,,
5173,L-MER,light,Arabika Merapi,B02,1,purging,4,16416,2796,2776,8969,13184,2784,11504,19067,18391,17924,,
6173,L-MER,light,Arabika Merapi,B02,1,purging,5,16402,2792,2779,8974,13172,2783,11501,19060,18378,17914,,
7174,L-MER,light,Arabika Merapi,B02,1,purging,6,16389,2796,2776,8979,13162,2780,11499,19053,18366,17906,,
8173,L-MER,light,Arabika Merapi,B02,1,purging,7,16378,2792,2778,8985,13153,2781,11492,19047,18354,17898,,
9174,L-MER,light,Arabika Merapi,B02,1,purging,8,16367,2792,2776,8990,13145,2783,11481,19042,18345,17891,,
10173,L-MER,light,Arabika Merapi,B02,1,purging,9,16359,2795,2778,8995,13141,2781,11480,19040,18337,17887,,
11173,L-MER,light,Arabika Merapi,B02,1,purging,10,16354,2795,2778,8999,13140,2784,11481,19038,18332,17883,,
12173,L-MER,light,Arabika Merapi,B02,1,purging,11,16352,2794,2776,9004,13138,2784,11492,19037,18328,17879,,
13173,L-MER,light,Arabika Merapi,B02,1,purging,12,16350,2795,2775,9008,13135,2781,11493,19036,18325,17874,,
14173,L-MER,light,Arabika Merapi,B02,1,purging,13,16345,2795,2778,9013,13129,2781,11487,19033,18320,17869,,
15173,L-MER,light,Arabika Merapi,B02,1,purging,14,16340,2794,2778,9017,13124,2781,11484,19030,18314,17863,,
16174,L-MER,light,Arabika Merapi,B02,1,purging,15,16333,2793,2776,9022,13117,2780,11478,19026,18306,17857,,
17173,L-MER,light,Arabika Merapi,B02,1,purging,16,16326,2792,2776,9026,13111,2781,11465,19022,18299,17851,,
18173,L-MER,light,Arabika Merapi,B02,1,purging,17,16319,2796,2776,9031,13107,2781,11472,19019,18292,17847,,
19173,L-MER,light,Arabika Merapi,B02,1,purging,18,16314,2795,2775,9035,13106,2783,11474,19017,18287,17845,,
