timestamp,sample_id,roast_level,origin,batch_id,run_id,phase,sample_idx,adc_tgs822,adc_mq135,adc_mq3,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,temperature,humidity
2180,L-TEM,light,Arabika Temanggung,B15,1,purging,1,8889,2904,2897,8467,8126,2921,8264,11291,10012,13029,,
3179,L-TEM,light,Arabika Temanggung,B15,1,purging,2,8891,2906,2900,8468,8127,2922,8264,11290,10010,13031,,
4179,L-TEM,light,Arabika Temanggung,B15,1,purging,3,8891,2904,2900,8468,8128,2918,8265,11290,10009,13033,,
5179,L-TEM,light,Arabika Temanggung,B15,1,purging,4,8891,2904,2900,8468,8129,2919,8267,11290,10008,13035,,
6179,L-TEM,light,Arabika Temanggung,B15,1,purging,5,8890,2903,2898,8468,8130,2920,8268,11290,10008,13036,,
7179,L-TEM,light,Arabika Temanggung,B15,1,purging,6,8889,2906,2897,8468,8132,2919,8270,11289,10007,13037,,
8179,L-TEM,light,Arabika Temanggung,B15,1,purging,7,8889,2902,2898,8469,8133,2920,8271,11289,10006,13038,,
9180,L-TEM,light,Arabika Temanggung,B15,1,purging,8,8889,2904,2900,8469,8134,2918,8272,11288,10005,13039,,
10179,L-TEM,light,Arabika Temanggung,B15,1,purging,9,8889,2904,2898,8470,8135,2921,8273,11288,10004,13038,,
11180,L-TEM,light,Arabika Temanggung,B15,1,purging,10,8889,2904,2898,8470,8136,2918,8273,11286,10003,13038,,
12179,L-TEM,light,Arabika Temanggung,B15,1,purging,11,8891,2907,2900,8470,8137,2921,8274,11285,10002,13039,,
13179,L-TEM,light,Arabika Temanggung,B15,1,purging,12,8892,2906,2898,8471,8138,2918,8274,11285,10001,13039,,
14179,L-TEM,light,Arabika Temanggung,B15,1,purging,13,8893,2907,2898,8471,8138,2918,8274,11284,10001,13040,,
15179,L-TEM,light,Arabika Temanggung,B15,1,purging,14,8895,2906,2897,8472,8140,2919,8275,11284,10001,13040,,
16179,L-TEM,light,Arabika Temanggung,B15,1,purging,15,8896,2904,2896,8472,8141,2918,8275,11283,10001,13040,,
17179,L-TEM,light,Arabika Temanggung,B15,1,purging,16,8898,2903,2897,8472,8142,2918,8274,11282,10001,13039,,
18180,L-TEM,light,Arabika Temanggung,B15,1,purging,17,8901,2904,2896,8473,8142,2918,8273,11281,10000,13039,,
19179,L-TEM,light,Arabika Temanggung,B15,1,purging,18,8902,2905,2902,8473,8142,2919,8273,11279,10000,13038,,
20179,L-TEM,light,Arabika Temanggung,B15,1,purging,19,8904,2906,2897,8473,8142,2918,8272,11278,9999,13037,,
21179,L-TEM,light,Arabika Temanggung,B15,1,purging,20,8906,2906,2900,8474,8142,2918,8271,11276,9999,13035,,
22179,L-TEM,light,Arabika Temanggung,B15,1,purging,21,8910,2904,2896,8474,8142,2918,8269,11274,9998,13034,,
23179,L-TEM,light,Arabika Temanggung,B15,1,purging,22,8914,2902,2898,8474,8142,2918,8267,11273,9998,13033,,
24179,L-TEM,light,Arabika Temanggung,B15,1,purging,23,8918,2904,2897,8475,8142,2916,8266,11271,9998,13032,,
25180,L-TEM,light,Arabika Temanggung,B15,1,purging,24,8921,2900,2899,8475,8142,2921,8264,11270,9998,13032,,
26179,L-TEM,light,Arabika Temanggung,B15,1,purging,25,8924,2900,2896,8476,8142,2920,8263,11269,9998,13032,,
27180,L-TEM,light,Arabika Temanggung,B15,1,purging,26,8926,2904,2897,8476,8141,2917,8262,11268,9997,13032,,
28179,L-TEM,light,Arabika Temanggung,B15,1,purging,27,8927,2900,2897,8476,8141,2918,8262,11267,9997,13033,,
29179,L-TEM,light,Arabika Temanggung,B15,1,purging,28,8927,2902,2900,8477,8141,2921,8262,11267,9996,13037,,
30179,L-TEM,light,Arabika Temanggung,B15,1,purging,29,8924,2900,2895,8477,8142,2917,8264,11269,9995,13040,,
31179,L-TEM,light,Arabika Temanggung,B15,1,purging,30,8921,2902,2896,8477,8143,2917,8268,11269,9994,13042,,
32179,L-TEM,light,Arabika Temanggung,B15,1,purging,31,8918,2902,2896,8477,8144,2917,8270,11269,9992,13042,,
33179,L-TEM,light,Arabika Temanggung,B15,1,purging,32,8915,2900,2895,8478,8145,2918,8272,11269,9991,13044,,
34180,L-TEM,light,Arabika Temanggung,B15,1,purging,33,8912,2900,2895,8478,8146,2919,8274,11269,9989,13046,,
35179,L-TEM,light,Arabika Temanggung,B15,1,purging,34,8910,2901,2895,8479,8147,2920,8276,11269,9988,13047,,
36179,L-TEM,light,Arabika Temanggung,B15,1,purging,35,8908,2900,2897,8479,8148,2918,8277,11268,9987,13047,,
37179,L-TEM,light,Arabika Temanggung,B15,1,purging,36,8906,2900,2898,8480,8150,2917,8279,11268,9986,13050,,
38179,L-TEM,light,Arabika Temanggung,B15,1,purging,37,8902,2902,2897,8480,8151,2917,8281,11268,9985,13053,,
39179,L-TEM,light,Arabika Temanggung,B15,1,purging,38,8899,2902,2895,8480,8152,2917,8284,11269,9984,13056,,
40179,L-TEM,light,Arabika Temanggung,B15,1,purging,39,8896,2904,2893,8481,8154,2920,8287,11270,9983,13057,,
41180,L-TEM,light,Arabika Temanggung,B15,1,purging,40,8892,2902,2895,8481,8156,2918,8290,11269,9981,13059,,
