label,phase,cycle,sample_idx,timestamp,adc_tgs822,adc_mq135,adc_mq9,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,source_file
light,collecting,1,1,2201,1873,2978,2987,1997,1995,2979,1841,1991,2008,2010,D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\light_20260810_160508.csv
light,collecting,1,2,3202,1880,2981,2984,1999,1996,2976,1853,1993,2008,2011,D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\light_20260810_160508.csv
light,collecting,1,3,4201,1883,2981,2982,2001,1996,2976,1858,1994,2009,2012,D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\light_20260810_160508.csv
light,collecting,1,4,5201,1885,2979,2985,2001,1997,2982,1861,1995,2009,2013,D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\light_20260810_160508.csv
light,collecting,1,5,6201,1885,2981,2982,2002,1997,2982,1862,1995,2009,2013,D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\light_20260810_160508.csv
light,collecting,1,6,7201,1885,2981,2987,2002,1998,2979,1863,1995,2010,2013,D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\light_20260810_160508.csv
light,collecting,1,7,8202,1886,2981,2985,2002,1998,2977,1864,1995,2010,2013,D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\light_20260810_160508.csv
light,collecting,1,8,9201,1886,2982,2984,2002,2000,2979,1865,1994,2011,2012,D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\light_20260810_160508.csv
light,collecting,1,9,10202,1886,2981,2984,2002,2000,2979,1866,1994,2011,2012,D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\light_20260810_160508.csv
light,collecting,1,10,11201,1887,2981,2989,2001,2001,2981,1866,1994,2012,2012,D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\light_20260810_160508.csv
light,collecting,1,11,12201,1887,2981,2985,2000,2000,2979,1866,1994,2012,2012,D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\light_20260810_160508.csv
light,collecting,1,12,13201,1887,2978,2985,2001,2001,2976,1865,1994,2012,2012,D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\light_20260810_160508.csv
light,collecting,1,13,14201,1888,2981,2987,2001,2000,2979,1865,1995,2011,2013,D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\light_20260810_160508.csv
light,collecting,1,14,15201,1887,2978,2985,2001,2000,2979,1864,1996,2010,2013,D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\light_20260810_160508.csv
light,collecting,1,15,16201,1887,2979,2985,2001,1999,2976,1863,1996,2010,2013,D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\light_20260810_160508.csv
light,collecting,1,16,17202,1887,2981,2984,2002,1999,2976,1863,1996,2010,2014,D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\light_20260810_160508.csv
light,collecting,1,17,18201,1886,2981,2982,2003,1998,2980,1863,1996,2010,2014,D:\ENOSE\smart-coffee-v2-hardware\smart-coffee-v2-hardware\scripts\..\data\light_20260810_160508.csv
