label,phase,cycle,sample_idx,timestamp,adc_tgs822,adc_mq135,adc_mq9,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,label_code,sample,sample_code,source_file
light,collecting,1,1,2200,1948,2931,2935,1954,1942,2925,1950,1935,1922,1926,L,Arabika Gayo Aceh,L-GAY,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\light_20260813_115343.csv
light,collecting,1,2,3201,1950,2929,2930,1956,1944,2925,1953,1937,1926,1928,L,Arabika Gayo Aceh,L-GAY,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\light_20260813_115343.csv
light,collecting,1,3,4200,1950,2931,2936,1957,1945,2926,1954,1938,1927,1930,L,Arabika Gayo Aceh,L-GAY,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\light_20260813_115343.csv
light,collecting,1,4,5200,1951,2927,2931,1957,1946,2923,1954,1940,1928,1932,L,Arabika Gayo Aceh,L-GAY,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\light_20260813_115343.csv
light,collecting,1,5,6200,1950,2928,2935,1957,1947,2925,1955,1940,1928,1932,L,Arabika Gayo Aceh,L-GAY,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\light_20260813_115343.csv
light,collecting,1,6,7200,1951,2931,2933,1958,1946,2925,1955,1941,1929,1932,L,Arabika Gayo Aceh,L-GAY,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\light_20260813_115343.csv
light,collecting,1,7,8201,1951,2931,2936,1958,1947,2923,1954,1941,1929,1933,L,Arabika Gayo Aceh,L-GAY,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\light_20260813_115343.csv
light,collecting,1,8,9200,1952,2931,2935,1958,1947,2925,1955,1941,1929,1933,L,Arabika Gayo Aceh,L-GAY,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\light_20260813_115343.csv
light,collecting,1,9,10201,1951,2928,2933,1958,1947,2924,1954,1941,1930,1933,L,Arabika Gayo Aceh,L-GAY,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\light_20260813_115343.csv
light,collecting,1,10,11200,1951,2931,2935,1959,1947,2923,1954,1941,1929,1933,L,Arabika Gayo Aceh,L-GAY,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\light_20260813_115343.csv
light,collecting,1,11,12200,1951,2932,2934,1958,1947,2926,1955,1941,1929,1933,L,Arabika Gayo Aceh,L-GAY,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\light_20260813_115343.csv
light,collecting,1,12,13200,1952,2929,2935,1958,1947,2925,1955,1941,1930,1933,L,Arabika Gayo Aceh,L-GAY,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\light_20260813_115343.csv
light,collecting,1,13,14200,1951,2931,2937,1958,1947,2925,1955,1941,1930,1933,L,Arabika Gayo Aceh,L-GAY,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\light_20260813_115343.csv
light,collecting,1,14,15200,1952,2931,2935,1958,1947,2924,1955,1942,1929,1933,L,Arabika Gayo Aceh,L-GAY,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\light_20260813_115343.csv
light,collecting,1,15,16200,1952,2928,2935,1958,1947,2926,1955,1942,1930,1933,L,Arabika Gayo Aceh,L-GAY,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\light_20260813_115343.csv
light,collecting,1,16,17201,1952,2931,2935,1958,1947,2922,1955,1941,1930,1934,L,Arabika Gayo Aceh,L-GAY,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\light_20260813_115343.csv
light,collecting,1,17,18200,1952,2931,2935,1958,1948,2925,1955,1941,1930,1933,L,Arabika Gayo Aceh,L-GAY,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\light_20260813_115343.csv
light,collecting,1,18,19201,1952,2932,2937,1958,1948,2924,1955,1942,1930,1934,L,Arabika Gayo Aceh,L-GAY,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\light_20260813_115343.csv
light,collecting,1,19,20200,1952,2933,2933,1958,1947,2925,1,516,31,46,L,Arabika Gayo Aceh,L-GAY,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\light_20260813_115343.csv
light,collecting,1,20,21200,2790,2928,2934,506,543,2922,9,1802,72,249,L,Arabika Gayo Aceh,L-GAY,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\light_20260813_115343.csv
light,collecting,1,21,22200,9358,2937,2934,4215,4300,2921,3,4564,176,1417,L,Arabika Gayo Aceh,L-GAY,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\light_20260813_115343.csv
light,collecting,1,22,23200,11524,2942,2931,12870,9964,2921,60,8825,612,5052,L,Arabika Gayo Aceh,L-GAY,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\light_20260813_115343.csv
light,collecting,1,23,24201,11670,2946,2935,18132,13936,2925,353,14079,1789,10414,L,Arabika Gayo Aceh,L-GAY,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\light_20260813_115343.csv
light,collecting,1,24,25200,13651,2946,2933,19299,15702,2928,1428,17394,4198,14131,L,Arabika Gayo Aceh,L-GAY,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\light_20260813_115343.csv
light,collecting,1,25,26201,15742,2949,2936,19453,16455,2933,3985,18722,8085,15959,L,Arabika Gayo Aceh,L-GAY,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\light_20260813_115343.csv
light,collecting,1,26,27200,16927,2951,2936,19024,16702,2937,7415,19092,12262,16662,L,Arabika Gayo Aceh,L-GAY,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\light_20260813_115343.csv
light,collecting,1,27,28200,17520,2955,2936,17841,16723,2938,10137,19054,15387,16894,L,Arabika Gayo Aceh,L-GAY,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\light_20260813_115343.csv
light,collecting,1,28,29200,17807,2952,2933,15578,16647,2941,11732,18931,17148,16920,L,Arabika Gayo Aceh,L-GAY,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\light_20260813_115343.csv
light,collecting,1,29,30200,17934,2952,2933,13047,16535,2944,12495,18822,17982,16851,L,Arabika Gayo Aceh,L-GAY,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\light_20260813_115343.csv
