timestamp,sample_id,roast_level,origin,batch_id,run_id,phase,sample_idx,adc_tgs822,adc_mq135,adc_mq3,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,temperature,humidity
2165,M-GAW,medium,Arabika Gayo Wine,B20,1,purging,1,9202,2911,2903,9216,8701,2885,9032,12742,11643,13412,,
3165,M-GAW,medium,Arabika Gayo Wine,B20,1,purging,2,9202,2915,2904,9215,8698,2885,9030,12740,11639,13410,,
4165,M-GAW,medium,Arabika Gayo Wine,B20,1,purging,3,9204,2916,2906,9215,8695,2885,9028,12738,11636,13408,,
5166,M-GAW,medium,Arabika Gayo Wine,B20,1,purging,4,9204,2912,2905,9215,8693,2887,9026,12736,11632,13406,,
6165,M-GAW,medium,Arabika Gayo Wine,B20,1,purging,5,9206,2914,2907,9214,8690,2885,9024,12734,11629,13405,,
7165,M-GAW,medium,Arabika Gayo Wine,B20,1,purging,6,9207,2910,2903,9213,8689,2885,9022,12733,11625,13403,,
8165,M-GAW,medium,Arabika Gayo Wine,B20,1,purging,7,9207,2910,2907,9213,8687,2885,9020,12732,11622,13402,,
9165,M-GAW,medium,Arabika Gayo Wine,B20,1,purging,8,9209,2916,2905,9212,8685,2885,9019,12731,11618,13401,,
10165,M-GAW,medium,Arabika Gayo Wine,B20,1,purging,9,9209,2912,2906,9211,8683,2885,9018,12730,11615,13400,,
11166,M-GAW,medium,Arabika Gayo Wine,B20,1,purging,10,9210,2912,2908,9211,8682,2887,9017,12728,11611,13399,,
12166,M-GAW,medium,Arabika Gayo Wine,B20,1,purging,11,9211,2912,2906,9211,8680,2885,9016,12727,11609,13399,,
13166,M-GAW,medium,Arabika Gayo Wine,B20,1,purging,12,9211,2912,2908,9210,8679,2885,9016,12727,11606,13399,,
14167,M-GAW,medium,Arabika Gayo Wine,B20,1,purging,13,9211,2915,2908,9209,8679,2885,9016,12726,11604,13398,,
15166,M-GAW,medium,Arabika Gayo Wine,B20,1,purging,14,9212,2912,2905,9208,8678,2885,9015,12724,11601,13397,,
16166,M-GAW,medium,Arabika Gayo Wine,B20,1,purging,15,9212,2912,2908,9208,8677,2885,9015,12723,11598,13396,,
17166,M-GAW,medium,Arabika Gayo Wine,B20,1,purging,16,9212,2914,2909,9207,8675,2885,9014,12722,11596,13395,,
18166,M-GAW,medium,Arabika Gayo Wine,B20,1,purging,17,9213,2912,2904,9206,8675,2885,9014,12721,11593,13395,,
19166,M-GAW,medium,Arabika Gayo Wine,B20,1,purging,18,9213,2913,2906,9205,8674,2885,9014,12720,11591,13395,,
