timestamp,sample_id,roast_level,origin,batch_id,run_id,phase,sample_idx,adc_tgs822,adc_mq135,adc_mq3,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,temperature,humidity
2180,M-MUK,medium,Temanggung,B16,1,purging,1,9739,2950,2943,6341,10996,2943,8853,15008,16841,16271,,
3179,M-MUK,medium,Temanggung,B16,1,purging,2,9672,2951,2947,6330,10926,2943,8833,14947,16710,16214,,
4179,M-MUK,medium,Temanggung,B16,1,purging,3,9610,2953,2941,6322,10860,2946,8819,14889,16583,16159,,
5179,M-MUK,medium,Temanggung,B16,1,purging,4,9551,2947,2946,6316,10797,2942,8808,14833,16461,16106,,
6179,M-MUK,medium,Temanggung,B16,1,purging,5,9497,2950,2947,6312,10739,2941,8800,14780,16343,16055,,
7179,M-MUK,medium,Temanggung,B16,1,purging,6,9447,2950,2940,6311,10683,2942,8795,14729,16231,16006,,
8179,M-MUK,medium,Temanggung,B16,1,purging,7,9399,2950,2946,6310,10630,2939,8791,14681,16125,15959,,
9179,M-MUK,medium,Temanggung,B16,1,purging,8,9354,2951,2941,6312,10581,2945,8791,14635,16024,15914,,
10179,M-MUK,medium,Temanggung,B16,1,purging,9,9313,2950,2943,6315,10533,2940,8790,14591,15929,15869,,
11181,M-MUK,medium,Temanggung,B16,1,purging,10,9273,2948,2943,6320,10488,2940,8791,14548,15840,15826,,
12180,M-MUK,medium,Temanggung,B16,1,purging,11,9236,2948,2941,6325,10445,2943,8792,14506,15756,15785,,
13180,M-MUK,medium,Temanggung,B16,1,purging,12,9200,2947,2946,6332,10403,2943,8794,14467,15677,15744,,
14180,M-MUK,medium,Temanggung,B16,1,purging,13,9167,2944,2941,6340,10363,2941,8796,14428,15603,15705,,
15180,M-MUK,medium,Temanggung,B16,1,purging,14,9135,2946,2945,6348,10324,2939,8799,14391,15533,15666,,
16180,M-MUK,medium,Temanggung,B16,1,purging,15,9105,2948,2941,6358,10287,2939,8802,14355,15468,15629,,
17180,M-MUK,medium,Temanggung,B16,1,purging,16,9076,2948,2941,6368,10251,2941,8806,14320,15407,15592,,
18181,M-MUK,medium,Temanggung,B16,1,purging,17,9050,2948,2941,6380,10217,2937,8810,14287,15350,15557,,
19180,M-MUK,medium,Temanggung,B16,1,purging,18,9023,2948,2944,6391,10183,2939,8814,14254,15296,15523,,
20180,M-MUK,medium,Temanggung,B16,1,purging,19,8999,2944,2942,6403,10151,2937,8818,14223,15246,15490,,
21180,M-MUK,medium,Temanggung,B16,1,purging,20,8975,2948,2945,6415,10121,2936,8822,14193,15199,15458,,
22180,M-MUK,medium,Temanggung,B16,1,purging,21,8952,2947,2941,6428,10090,2939,8827,14163,15155,15427,,
23180,M-MUK,medium,Temanggung,B16,1,purging,22,8930,2948,2941,6441,10061,2937,8832,14135,15114,15397,,
24180,M-MUK,medium,Temanggung,B16,1,purging,23,8909,2949,2942,6455,10032,2940,8836,14108,15075,15367,,
25180,M-MUK,medium,Temanggung,B16,1,purging,24,8889,2949,2942,6469,10004,2939,8841,14081,15038,15339,,
26180,M-MUK,medium,Temanggung,B16,1,purging,25,8870,2944,2943,6483,9978,2936,8846,14055,15004,15311,,
27181,M-MUK,medium,Temanggung,B16,1,purging,26,8851,2950,2941,6498,9951,2934,8850,14030,14972,15284,,
28180,M-MUK,medium,Temanggung,B16,1,purging,27,8832,2945,2944,6512,9926,2935,8855,14006,14942,15258,,
29180,M-MUK,medium,Temanggung,B16,1,purging,28,8815,2947,2941,6527,9902,2935,8860,13982,14913,15233,,
30180,M-MUK,medium,Temanggung,B16,1,purging,29,8798,2945,2942,6542,9878,2937,8865,13959,14886,15209,,
31180,M-MUK,medium,Temanggung,B16,1,purging,30,8781,2948,2942,6557,9854,2938,8870,13937,14860,15185,,
32180,M-MUK,medium,Temanggung,B16,1,purging,31,8765,2946,2944,6573,9831,2935,8875,13915,14836,15161,,
33180,M-MUK,medium,Temanggung,B16,1,purging,32,8750,2944,2940,6587,9810,2932,8880,13894,14814,15139,,
34181,M-MUK,medium,Temanggung,B16,1,purging,33,8735,2945,2940,6603,9788,2933,8886,13873,14792,15117,,
35180,M-MUK,medium,Temanggung,B16,1,purging,34,8722,2943,2940,6618,9767,2933,8891,13852,14772,15095,,
36180,M-MUK,medium,Temanggung,B16,1,purging,35,8707,2942,2942,6634,9746,2933,8895,13833,14753,15074,,
37180,M-MUK,medium,Temanggung,B16,1,purging,36,8695,2942,2940,6649,9726,2934,8901,13814,14735,15054,,
38180,M-MUK,medium,Temanggung,B16,1,purging,37,8681,2947,2940,6664,9707,2935,8906,13795,14718,15035,,
39180,M-MUK,medium,Temanggung,B16,1,purging,38,8670,2943,2939,6680,9688,2934,8910,13777,14702,15015,,
40180,M-MUK,medium,Temanggung,B16,1,purging,39,8658,2942,2938,6695,9669,2931,8915,13759,14686,14996,,
41180,M-MUK,medium,Temanggung,B16,1,purging,40,8645,2946,2942,6710,9650,2927,8920,13742,14672,14979,,
42180,M-MUK,medium,Temanggung,B16,1,purging,41,8634,2947,2942,6726,9633,2928,8925,13725,14657,14961,,
43181,M-MUK,medium,Temanggung,B16,1,purging,42,8623,2944,2938,6741,9616,2931,8930,13708,14644,14944,,
44180,M-MUK,medium,Temanggung,B16,1,purging,43,8611,2946,2942,6757,9599,2927,8935,13692,14632,14928,,
45180,M-MUK,medium,Temanggung,B16,1,purging,44,8601,2947,2940,6772,9582,2931,8940,13676,14620,14911,,
46180,M-MUK,medium,Temanggung,B16,1,purging,45,8590,2942,2942,6787,9566,2930,8944,13661,14608,14895,,
47180,M-MUK,medium,Temanggung,B16,1,purging,46,8580,2946,2942,6802,9549,2930,8949,13646,14597,14880,,
48180,M-MUK,medium,Temanggung,B16,1,purging,47,8570,2947,2940,6818,9533,2929,8954,13631,14587,14865,,
49180,M-MUK,medium,Temanggung,B16,1,purging,48,8559,2944,2940,6832,9518,2930,8958,13617,14577,14850,,
50181,M-MUK,medium,Temanggung,B16,1,purging,49,8549,2947,2941,6848,9503,2930,8963,13602,14568,14836,,
51180,M-MUK,medium,Temanggung,B16,1,purging,50,8539,2942,2942,6862,9488,2929,8967,13588,14558,14821,,
52180,M-MUK,medium,Temanggung,B16,1,purging,51,8529,2942,2942,6877,9473,2930,8972,13574,14549,14808,,
53180,M-MUK,medium,Temanggung,B16,1,purging,52,8520,2946,2941,6891,9459,2932,8976,13561,14541,14795,,
54180,M-MUK,medium,Temanggung,B16,1,purging,53,8510,2944,2941,6906,9445,2929,8981,13548,14532,14781,,
55180,M-MUK,medium,Temanggung,B16,1,purging,54,8502,2944,2942,6920,9431,2929,8986,13535,14524,14769,,
56180,M-MUK,medium,Temanggung,B16,1,purging,55,8493,2943,2939,6934,9418,2928,8990,13522,14516,14757,,
57180,M-MUK,medium,Temanggung,B16,1,purging,56,8484,2947,2941,6948,9404,2931,8993,13510,14509,14745,,
58180,M-MUK,medium,Temanggung,B16,1,purging,57,8476,2946,2937,6962,9392,2929,8998,13498,14501,14732,,
59181,M-MUK,medium,Temanggung,B16,1,purging,58,8468,2942,2941,6976,9379,2931,9003,13486,14495,14721,,
60180,M-MUK,medium,Temanggung,B16,1,purging,59,8460,2944,2941,6990,9366,2927,9007,13474,14488,14709,,
61180,M-MUK,medium,Temanggung,B16,1,purging,60,8452,2942,2941,7004,9354,2930,9011,13462,14481,14698,,
62180,M-MUK,medium,Temanggung,B16,1,purging,61,8445,2946,2940,7017,9341,2931,9014,13450,14475,14687,,
63180,M-MUK,medium,Temanggung,B16,1,purging,62,8438,2942,2938,7030,9330,2931,9018,13439,14469,14676,,
64180,M-MUK,medium,Temanggung,B16,1,purging,63,8431,2942,2937,7043,9317,2927,9022,13427,14462,14664,,
65180,M-MUK,medium,Temanggung,B16,1,purging,64,8425,2941,2937,7057,9306,2928,9024,13416,14456,14654,,
66181,M-MUK,medium,Temanggung,B16,1,purging,65,8419,2946,2939,7070,9294,2928,9027,13404,14450,14643,,
67180,M-MUK,medium,Temanggung,B16,1,purging,66,8413,2940,2935,7083,9283,2928,9030,13394,14445,14633,,
68180,M-MUK,medium,Temanggung,B16,1,purging,67,8408,2944,2935,7096,9272,2928,9033,13383,14439,14623,,
69180,M-MUK,medium,Temanggung,B16,1,purging,68,8403,2944,2935,7108,9260,2926,9036,13373,14433,14613,,
70180,M-MUK,medium,Temanggung,B16,1,purging,69,8398,2941,2935,7121,9249,2925,9040,13362,14428,14604,,
71180,M-MUK,medium,Temanggung,B16,1,purging,70,8393,2942,2935,7133,9238,2927,9043,13353,14423,14595,,
72180,M-MUK,medium,Temanggung,B16,1,purging,71,8387,2943,2935,7145,9227,2925,9046,13342,14417,14586,,
73180,M-MUK,medium,Temanggung,B16,1,purging,72,8383,2944,2935,7158,9216,2926,9049,13333,14412,14576,,
74180,M-MUK,medium,Temanggung,B16,1,purging,73,8377,2944,2937,7169,9207,2926,9051,13323,14406,14567,,
75181,M-MUK,medium,Temanggung,B16,1,purging,74,8372,2940,2934,7182,9196,2924,9055,13313,14401,14559,,
76180,M-MUK,medium,Temanggung,B16,1,purging,75,8368,2941,2938,7194,9187,2928,9057,13304,14396,14550,,
77180,M-MUK,medium,Temanggung,B16,1,purging,76,8364,2940,2937,7205,9177,2926,9060,13294,14392,14541,,
78180,M-MUK,medium,Temanggung,B16,1,purging,77,8360,2941,2936,7217,9167,2926,9063,13285,14387,14534,,
