timestamp,sample_id,roast_level,origin,batch_id,run_id,phase,sample_idx,adc_tgs822,adc_mq135,adc_mq3,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,temperature,humidity
2176,M-TEM,medium,Arabika Temanggung,B22,1,purging,1,8717,2911,2900,7783,9054,2885,9085,11442,13953,13749,,
3175,M-TEM,medium,Arabika Temanggung,B22,1,purging,2,8717,2909,2905,7783,9054,2885,9086,11442,13953,13750,,
4175,M-TEM,medium,Arabika Temanggung,B22,1,purging,3,8717,2910,2902,7784,9055,2885,9086,11441,13953,13751,,
5175,M-TEM,medium,Arabika Temanggung,B22,1,purging,4,8717,2908,2903,7784,9056,2887,9088,11441,13954,13752,,
6175,M-TEM,medium,Arabika Temanggung,B22,1,purging,5,8717,2910,2903,7784,9058,2887,9089,11441,13955,13753,,
7175,M-TEM,medium,Arabika Temanggung,B22,1,purging,6,8718,2911,2902,7785,9058,2885,9091,11441,13956,13754,,
8175,M-TEM,medium,Arabika Temanggung,B22,1,purging,7,8718,2908,2905,7786,9059,2887,9093,11441,13957,13756,,
9176,M-TEM,medium,Arabika Temanggung,B22,1,purging,8,8719,2907,2903,7786,9061,2885,9094,11441,13959,13757,,
10176,M-TEM,medium,Arabika Temanggung,B22,1,purging,9,8719,2911,2903,7787,9063,2884,9095,11441,13960,13758,,
11176,M-TEM,medium,Arabika Temanggung,B22,1,purging,10,8719,2908,2907,7787,9065,2885,9096,11441,13961,13759,,
12176,M-TEM,medium,Arabika Temanggung,B22,1,purging,11,8720,2907,2902,7788,9066,2887,9097,11441,13962,13760,,
13176,M-TEM,medium,Arabika Temanggung,B22,1,purging,12,8720,2909,2903,7788,9066,2887,9097,11441,13963,13759,,
14176,M-TEM,medium,Arabika Temanggung,B22,1,purging,13,8720,2913,2905,7789,9066,2887,9097,11440,13964,13760,,
15176,M-TEM,medium,Arabika Temanggung,B22,1,purging,14,8720,2911,2904,7789,9066,2885,9097,11439,13964,13760,,
16177,M-TEM,medium,Arabika Temanggung,B22,1,purging,15,8721,2907,2902,7789,9066,2885,9097,11439,13964,13760,,
17176,M-TEM,medium,Arabika Temanggung,B22,1,purging,16,8721,2910,2902,7790,9067,2887,9097,11438,13964,13760,,
18177,M-TEM,medium,Arabika Temanggung,B22,1,purging,17,8722,2908,2902,7790,9067,2887,9097,11437,13965,13760,,
19176,M-TEM,medium,Arabika Temanggung,B22,1,purging,18,8722,2908,2902,7791,9067,2885,9096,11436,13965,13759,,
20176,M-TEM,medium,Arabika Temanggung,B22,1,purging,19,8722,2907,2900,7791,9067,2887,9096,11435,13965,13758,,
21176,M-TEM,medium,Arabika Temanggung,B22,1,purging,20,8722,2910,2905,7792,9067,2885,9094,11434,13965,13758,,
22176,M-TEM,medium,Arabika Temanggung,B22,1,purging,21,8722,2906,2904,7793,9067,2887,9094,11433,13965,13758,,
23176,M-TEM,medium,Arabika Temanggung,B22,1,purging,22,8722,2907,2904,7793,9066,2882,9092,11432,13965,13757,,
24176,M-TEM,medium,Arabika Temanggung,B22,1,purging,23,8723,2908,2900,7793,9065,2887,9092,11430,13965,13757,,
25177,M-TEM,medium,Arabika Temanggung,B22,1,purging,24,8725,2908,2904,7794,9064,2887,9092,11430,13965,13757,,
26176,M-TEM,medium,Arabika Temanggung,B22,1,purging,25,8726,2910,2906,7795,9064,2885,9092,11429,13965,13756,,
27176,M-TEM,medium,Arabika Temanggung,B22,1,purging,26,8728,2908,2900,7795,9063,2885,9092,11429,13964,13757,,
28176,M-TEM,medium,Arabika Temanggung,B22,1,purging,27,8729,2907,2903,7796,9063,2887,9091,11428,13965,13756,,
29176,M-TEM,medium,Arabika Temanggung,B22,1,purging,28,8730,2905,2903,7797,9062,2887,9090,11427,13964,13756,,
30176,M-TEM,medium,Arabika Temanggung,B22,1,purging,29,8730,2906,2901,7798,9062,2887,9090,11427,13964,13756,,
31176,M-TEM,medium,Arabika Temanggung,B22,1,purging,30,8730,2905,2905,7798,9062,2887,9089,11426,13964,13756,,
32177,M-TEM,medium,Arabika Temanggung,B22,1,purging,31,8729,2906,2904,7798,9060,2887,9090,11425,13963,13756,,
33176,M-TEM,medium,Arabika Temanggung,B22,1,purging,32,8729,2909,2904,7798,9059,2887,9090,11424,13962,13756,,
34177,M-TEM,medium,Arabika Temanggung,B22,1,purging,33,8727,2905,2900,7799,9059,2887,9089,11423,13961,13756,,
35176,M-TEM,medium,Arabika Temanggung,B22,1,purging,34,8727,2905,2901,7800,9059,2887,9089,11423,13961,13756,,
36176,M-TEM,medium,Arabika Temanggung,B22,1,purging,35,8726,2905,2902,7801,9060,2882,9088,11422,13961,13756,,
37176,M-TEM,medium,Arabika Temanggung,B22,1,purging,36,8726,2905,2901,7801,9059,2887,9089,11422,13961,13756,,
38176,M-TEM,medium,Arabika Temanggung,B22,1,purging,37,8725,2909,2901,7802,9060,2885,9089,11421,13961,13757,,
39176,M-TEM,medium,Arabika Temanggung,B22,1,purging,38,8725,2907,2904,7803,9060,2884,9090,11420,13961,13757,,
40176,M-TEM,medium,Arabika Temanggung,B22,1,purging,39,8725,2905,2900,7804,9061,2887,9091,11420,13962,13758,,
41177,M-TEM,medium,Arabika Temanggung,B22,1,purging,40,8726,2903,2900,7805,9062,2887,9092,11420,13962,13759,,
42176,M-TEM,medium,Arabika Temanggung,B22,1,purging,41,8727,2905,2902,7805,9063,2887,9093,11420,13963,13759,,
43176,M-TEM,medium,Arabika Temanggung,B22,1,purging,42,8728,2908,2900,7806,9063,2887,9093,11419,13963,13759,,
44176,M-TEM,medium,Arabika Temanggung,B22,1,purging,43,8728,2905,2903,7807,9064,2884,9095,11419,13963,13759,,
45176,M-TEM,medium,Arabika Temanggung,B22,1,purging,44,8728,2909,2898,7807,9063,2884,9094,11418,13963,13759,,
46176,M-TEM,medium,Arabika Temanggung,B22,1,purging,45,8729,2909,2899,7807,9063,2884,9094,11418,13963,13759,,
47176,M-TEM,medium,Arabika Temanggung,B22,1,purging,46,8729,2905,2900,7808,9063,2887,9093,11417,13963,13759,,
48177,M-TEM,medium,Arabika Temanggung,B22,1,purging,47,8729,2905,2902,7808,9062,2887,9094,11416,13963,13759,,
49176,M-TEM,medium,Arabika Temanggung,B22,1,purging,48,8728,2906,2902,7809,9062,2887,9094,11416,13963,13759,,
50177,M-TEM,medium,Arabika Temanggung,B22,1,purging,49,8728,2905,2900,7810,9061,2884,9094,11415,13962,13759,,
51176,M-TEM,medium,Arabika Temanggung,B22,1,purging,50,8728,2905,2900,7810,9059,2884,9093,11414,13961,13758,,
52176,M-TEM,medium,Arabika Temanggung,B22,1,purging,51,8728,2908,2900,7810,9059,2887,9094,11413,13960,13758,,
53176,M-TEM,medium,Arabika Temanggung,B22,1,purging,52,8727,2904,2899,7810,9059,2887,9094,11412,13960,13757,,
54176,M-TEM,medium,Arabika Temanggung,B22,1,purging,53,8727,2907,2903,7810,9060,2884,9093,11411,13959,13757,,
55176,M-TEM,medium,Arabika Temanggung,B22,1,purging,54,8727,2907,2901,7811,9060,2884,9092,11411,13959,13757,,
56176,M-TEM,medium,Arabika Temanggung,B22,1,purging,55,8726,2909,2901,7811,9059,2887,9093,11409,13958,13757,,
