timestamp,sample_id,roast_level,origin,batch_id,run_id,phase,sample_idx,adc_tgs822,adc_mq135,adc_mq9,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,temperature,humidity
2169,M-CAT,medium,Arabiki Catuji Mekarwangi,B10,1,purging,1,9963,2785,2782,8083,9419,2779,9456,14512,13668,14060,,
3168,M-CAT,medium,Arabiki Catuji Mekarwangi,B10,1,purging,2,9955,2788,2781,8083,9419,2781,9457,14506,13661,14058,,
4168,M-CAT,medium,Arabiki Catuji Mekarwangi,B10,1,purging,3,9947,2786,2781,8084,9419,2781,9457,14500,13653,14056,,
5169,M-CAT,medium,Arabiki Catuji Mekarwangi,B10,1,purging,4,9940,2791,2780,8085,9418,2782,9457,14495,13647,14054,,
6169,M-CAT,medium,Arabiki Catuji Mekarwangi,B10,1,purging,5,9933,2786,2778,8086,9419,2781,9458,14489,13641,14051,,
7170,M-CAT,medium,Arabiki Catuji Mekarwangi,B10,1,purging,6,9927,2783,2779,8086,9419,2780,9459,14483,13635,14050,,
8169,M-CAT,medium,Arabiki Catuji Mekarwangi,B10,1,purging,7,9921,2786,2779,8087,9420,2781,9462,14478,13629,14048,,
9169,M-CAT,medium,Arabiki Catuji Mekarwangi,B10,1,purging,8,9916,2788,2780,8088,9422,2780,9463,14472,13626,14047,,
10169,M-CAT,medium,Arabiki Catuji Mekarwangi,B10,1,purging,9,9911,2785,2779,8089,9422,2781,9464,14467,13622,14045,,
11169,M-CAT,medium,Arabiki Catuji Mekarwangi,B10,1,purging,10,9907,2789,2778,8089,9422,2779,9464,14462,13618,14043,,
12169,M-CAT,medium,Arabiki Catuji Mekarwangi,B10,1,purging,11,9902,2788,2778,8090,9422,2778,9465,14457,13613,14042,,
13169,M-CAT,medium,Arabiki Catuji Mekarwangi,B10,1,purging,12,9896,2789,2778,8090,9422,2781,9466,14452,13608,14041,,
14170,M-CAT,medium,Arabiki Catuji Mekarwangi,B10,1,purging,13,9891,2788,2782,8091,9421,2782,9466,14447,13604,14039,,
15169,M-CAT,medium,Arabiki Catuji Mekarwangi,B10,1,purging,14,9886,2789,2782,8092,9420,2778,9465,14442,13599,14037,,
16169,M-CAT,medium,Arabiki Catuji Mekarwangi,B10,1,purging,15,9880,2785,2778,8091,9421,2782,9465,14437,13594,14035,,
17169,M-CAT,medium,Arabiki Catuji Mekarwangi,B10,1,purging,16,9875,2788,2778,8092,9420,2782,9465,14431,13590,14031,,
18169,M-CAT,medium,Arabiki Catuji Mekarwangi,B10,1,purging,17,9871,2788,2779,8093,9418,2782,9465,14424,13584,14028,,
19169,M-CAT,medium,Arabiki Catuji Mekarwangi,B10,1,purging,18,9867,2786,2779,8094,9416,2779,9464,14419,13579,14025,,
20169,M-CAT,medium,Arabiki Catuji Mekarwangi,B10,1,purging,19,9864,2788,2782,8094,9414,2781,9461,14412,13574,14020,,
21169,M-CAT,medium,Arabiki Catuji Mekarwangi,B10,1,purging,20,9862,2783,2779,8095,9412,2778,9458,14406,13569,14017,,
22169,M-CAT,medium,Arabiki Catuji Mekarwangi,B10,1,purging,21,9859,2786,2781,8095,9409,2782,9455,14400,13563,14014,,
23170,M-CAT,medium,Arabiki Catuji Mekarwangi,B10,1,purging,22,9857,2788,2778,8096,9406,2780,9453,14395,13558,14011,,
