timestamp,sample_id,roast_level,origin,batch_id,run_id,phase,sample_idx,adc_tgs822,adc_mq135,adc_mq3,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,temperature,humidity
2177,M-MAN,medium,Arabika Manglayang Jawa Barat,B13,1,purging,1,10132,2882,2875,7256,8576,2881,8082,11991,11450,12935,,
3176,M-MAN,medium,Arabika Manglayang Jawa Barat,B13,1,purging,2,10129,2884,2877,7256,8575,2884,8082,11990,11448,12934,,
4176,M-MAN,medium,Arabika Manglayang Jawa Barat,B13,1,purging,3,10127,2880,2875,7256,8574,2881,8081,11988,11446,12933,,
5176,M-MAN,medium,Arabika Manglayang Jawa Barat,B13,1,purging,4,10125,2884,2877,7256,8574,2879,8081,11987,11445,12934,,
6176,M-MAN,medium,Arabika Manglayang Jawa Barat,B13,1,purging,5,10122,2882,2877,7256,8573,2881,8082,11986,11444,12935,,
7176,M-MAN,medium,Arabika Manglayang Jawa Barat,B13,1,purging,6,10120,2880,2875,7256,8573,2879,8083,11985,11443,12936,,
8176,M-MAN,medium,Arabika Manglayang Jawa Barat,B13,1,purging,7,10119,2882,2877,7255,8574,2879,8084,11985,11443,12937,,
9177,M-MAN,medium,Arabika Manglayang Jawa Barat,B13,1,purging,8,10117,2884,2877,7256,8575,2881,8086,11985,11443,12936,,
10176,M-MAN,medium,Arabika Manglayang Jawa Barat,B13,1,purging,9,10116,2880,2875,7256,8575,2879,8087,11984,11442,12935,,
11176,M-MAN,medium,Arabika Manglayang Jawa Barat,B13,1,purging,10,10115,2880,2875,7255,8575,2879,8086,11983,11442,12934,,
12176,M-MAN,medium,Arabika Manglayang Jawa Barat,B13,1,purging,11,10114,2880,2877,7255,8575,2877,8086,11982,11441,12934,,
13176,M-MAN,medium,Arabika Manglayang Jawa Barat,B13,1,purging,12,10114,2882,2875,7255,8575,2879,8085,11980,11440,12932,,
14176,M-MAN,medium,Arabika Manglayang Jawa Barat,B13,1,purging,13,10113,2880,2875,7255,8574,2879,8085,11979,11439,12931,,
15176,M-MAN,medium,Arabika Manglayang Jawa Barat,B13,1,purging,14,10112,2880,2877,7255,8573,2884,8084,11978,11438,12929,,
16177,M-MAN,medium,Arabika Manglayang Jawa Barat,B13,1,purging,15,10111,2880,2877,7255,8572,2881,8083,11976,11437,12929,,
17176,M-MAN,medium,Arabika Manglayang Jawa Barat,B13,1,purging,16,10110,2882,2877,7255,8571,2877,8082,11975,11436,12928,,
18177,M-MAN,medium,Arabika Manglayang Jawa Barat,B13,1,purging,17,10110,2880,2877,7255,8570,2884,8081,11974,11435,12926,,
19176,M-MAN,medium,Arabika Manglayang Jawa Barat,B13,1,purging,18,10109,2882,2877,7255,8569,2881,8080,11972,11434,12925,,
