timestamp,sample_id,roast_level,origin,batch_id,run_id,phase,sample_idx,adc_tgs822,adc_mq135,adc_mq3,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,temperature,humidity
2172,M-CAT,medium,Arabika Catuji Mekarwangi,B20,1,purging,1,8679,2915,2911,7439,8327,2889,8762,12189,11359,13074,,
3172,M-CAT,medium,Arabika Catuji Mekarwangi,B20,1,purging,2,8680,2921,2908,7439,8325,2891,8761,12187,11357,13072,,
4172,M-CAT,medium,Arabika Catuji Mekarwangi,B20,1,purging,3,8681,2916,2909,7439,8323,2889,8760,12185,11355,13072,,
5172,M-CAT,medium,Arabika Catuji Mekarwangi,B20,1,purging,4,8682,2920,2909,7440,8322,2891,8760,12185,11354,13071,,
6172,M-CAT,medium,Arabika Catuji Mekarwangi,B20,1,purging,5,8682,2916,2914,7439,8321,2891,8760,12184,11351,13071,,
7173,M-CAT,medium,Arabika Catuji Mekarwangi,B20,1,purging,6,8683,2916,2909,7439,8320,2890,8760,12182,11350,13069,,
8173,M-CAT,medium,Arabika Catuji Mekarwangi,B20,1,purging,7,8684,2916,2912,7439,8319,2891,8759,12181,11348,13067,,
9172,M-CAT,medium,Arabika Catuji Mekarwangi,B20,1,purging,8,8685,2914,2909,7439,8317,2889,8758,12178,11346,13066,,
10172,M-CAT,medium,Arabika Catuji Mekarwangi,B20,1,purging,9,8686,2918,2909,7438,8315,2895,8757,12177,11345,13064,,
11173,M-CAT,medium,Arabika Catuji Mekarwangi,B20,1,purging,10,8687,2919,2910,7438,8314,2891,8756,12175,11342,13063,,
12173,M-CAT,medium,Arabika Catuji Mekarwangi,B20,1,purging,11,8687,2916,2914,7439,8313,2891,8754,12173,11341,13062,,
13173,M-CAT,medium,Arabika Catuji Mekarwangi,B20,1,purging,12,8687,2916,2914,7438,8311,2893,8752,12172,11339,13060,,
14173,M-CAT,medium,Arabika Catuji Mekarwangi,B20,1,purging,13,8687,2917,2914,7437,8310,2890,8752,12171,11337,13060,,
15173,M-CAT,medium,Arabika Catuji Mekarwangi,B20,1,purging,14,8688,2918,2912,7438,8309,2891,8753,12170,11335,13060,,
16174,M-CAT,medium,Arabika Catuji Mekarwangi,B20,1,purging,15,8688,2919,2915,7437,8309,2890,8752,12169,11335,13060,,
17173,M-CAT,medium,Arabika Catuji Mekarwangi,B20,1,purging,16,8689,2920,2912,7437,8309,2887,8753,12168,11334,13060,,
18173,M-CAT,medium,Arabika Catuji Mekarwangi,B20,1,purging,17,8689,2921,2914,7437,8309,2886,8754,12168,11332,13059,,
19173,M-CAT,medium,Arabika Catuji Mekarwangi,B20,1,purging,18,8689,2918,2913,7437,8309,2890,8754,12167,11332,13058,,
20173,M-CAT,medium,Arabika Catuji Mekarwangi,B20,1,purging,19,8689,2918,2915,7436,8308,2891,8754,12166,11331,13058,,
21173,M-CAT,medium,Arabika Catuji Mekarwangi,B20,1,purging,20,8690,2920,2913,7436,8308,2890,8753,12164,11329,13056,,
22173,M-CAT,medium,Arabika Catuji Mekarwangi,B20,1,purging,21,8690,2917,2912,7436,8306,2887,8752,12162,11328,13052,,
23174,M-CAT,medium,Arabika Catuji Mekarwangi,B20,1,purging,22,8690,2920,2913,7435,8304,2887,8748,12159,11326,13048,,
24173,M-CAT,medium,Arabika Catuji Mekarwangi,B20,1,purging,23,8690,2918,2915,7435,8302,2891,8744,12156,11324,13044,,
25174,M-CAT,medium,Arabika Catuji Mekarwangi,B20,1,purging,24,8690,2920,2914,7435,8299,2891,8740,12152,11322,13041,,
26173,M-CAT,medium,Arabika Catuji Mekarwangi,B20,1,purging,25,8690,2920,2912,7434,8295,2890,8737,12149,11320,13039,,
27173,M-CAT,medium,Arabika Catuji Mekarwangi,B20,1,purging,26,8690,2922,2915,7434,8292,2887,8734,12146,11318,13036,,
28173,M-CAT,medium,Arabika Catuji Mekarwangi,B20,1,purging,27,8691,2918,2914,7434,8289,2891,8731,12144,11315,13035,,
29173,M-CAT,medium,Arabika Catuji Mekarwangi,B20,1,purging,28,8691,2920,2912,7434,8287,2889,8729,12142,11312,13033,,
30173,M-CAT,medium,Arabika Catuji Mekarwangi,B20,1,purging,29,8691,2919,2913,7434,8284,2892,8727,12140,11310,13030,,
31173,M-CAT,medium,Arabika Catuji Mekarwangi,B20,1,purging,30,8691,2923,2917,7433,8282,2890,8725,12138,11307,13028,,
32174,M-CAT,medium,Arabika Catuji Mekarwangi,B20,1,purging,31,8691,2919,2915,7433,8280,2891,8723,12135,11304,13026,,
33173,M-CAT,medium,Arabika Catuji Mekarwangi,B20,1,purging,32,8691,2919,2913,7432,8277,2892,8720,12133,11301,13024,,
34173,M-CAT,medium,Arabika Catuji Mekarwangi,B20,1,purging,33,8691,2920,2915,7431,8275,2889,8718,12131,11299,13021,,
35173,M-CAT,medium,Arabika Catuji Mekarwangi,B20,1,purging,34,8690,2919,2915,7432,8273,2889,8716,12129,11296,13019,,
36173,M-CAT,medium,Arabika Catuji Mekarwangi,B20,1,purging,35,8691,2920,2912,7431,8271,2889,8713,12127,11294,13017,,
37173,M-CAT,medium,Arabika Catuji Mekarwangi,B20,1,purging,36,8691,2920,2914,7431,8269,2889,8712,12125,11292,13017,,
