timestamp,sample_id,roast_level,origin,batch_id,run_id,phase,sample_idx,adc_tgs822,adc_mq135,adc_mq9,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,temperature,humidity
2180,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,1,10114,2851,2844,8967,8179,2833,8496,13131,9894,12302,,
3180,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,2,10114,2850,2843,8966,8179,2830,8496,13130,9895,12302,,
4180,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,3,10114,2850,2844,8965,8179,2830,8496,13130,9896,12302,,
5180,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,4,10116,2850,2845,8964,8179,2833,8496,13130,9898,12302,,
6180,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,5,10117,2851,2841,8962,8179,2832,8497,13130,9899,12303,,
7180,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,6,10118,2851,2843,8962,8180,2830,8497,13130,9900,12303,,
8179,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,7,10119,2850,2846,8961,8180,2831,8496,13130,9901,12303,,
9180,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,8,10120,2851,2845,8960,8180,2831,8496,13130,9902,12303,,
10180,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,9,10122,2850,2842,8959,8180,2832,8497,13130,9903,12304,,
11181,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,10,10123,2850,2843,8958,8181,2829,8497,13130,9904,12304,,
12180,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,11,10123,2850,2841,8957,8181,2830,8497,13130,9904,12305,,
13180,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,12,10124,2850,2844,8955,8181,2834,8497,13131,9906,12306,,
14180,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,13,10124,2850,2843,8954,8182,2829,8498,13131,9907,12307,,
15180,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,14,10125,2849,2845,8953,8183,2830,8499,13131,9908,12307,,
16180,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,15,10125,2851,2844,8953,8183,2829,8500,13131,9909,12308,,
17180,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,16,10127,2850,2845,8951,8184,2830,8501,13132,9911,12310,,
18181,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,17,10127,2850,2843,8950,8185,2833,8502,13132,9912,12310,,
19180,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,18,10127,2850,2845,8949,8186,2831,8503,13132,9913,12312,,
20180,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,19,10127,2849,2843,8948,8187,2829,8504,13133,9916,12313,,
21180,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,20,10128,2854,2844,8947,8187,2830,8505,13134,9917,12314,,
22180,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,21,10129,2850,2845,8947,8189,2832,8507,13133,9918,12314,,
23180,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,22,10130,2850,2843,8945,8190,2829,8507,13135,9920,12316,,
24180,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,23,10130,2853,2845,8944,8191,2830,8508,13135,9922,12317,,
25180,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,24,10130,2854,2845,8943,8191,2828,8509,13135,9923,12318,,
26180,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,25,10130,2849,2845,8942,8192,2830,8510,13136,9925,12318,,
27181,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,26,10131,2849,2842,8941,8193,2828,8511,13136,9926,12318,,
28180,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,27,10132,2849,2842,8940,8194,2829,8511,13136,9928,12319,,
29180,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,28,10133,2850,2841,8939,8195,2830,8512,13136,9930,12320,,
30180,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,29,10133,2853,2844,8938,8195,2829,8512,13136,9932,12321,,
31180,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,30,10134,2852,2843,8937,8196,2828,8513,13136,9933,12323,,
32180,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,31,10135,2850,2844,8935,8197,2829,8514,13138,9935,12325,,
33180,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,32,10135,2854,2843,8934,8198,2828,8515,13139,9937,12326,,
34181,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,33,10135,2854,2840,8933,8200,2832,8517,13140,9939,12328,,
35180,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,34,10136,2854,2844,8933,8202,2832,8519,13141,9941,12330,,
36180,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,35,10136,2850,2845,8932,8203,2831,8521,13141,9943,12330,,
37180,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,36,10135,2848,2842,8930,8204,2829,8522,13141,9945,12332,,
38180,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,37,10135,2849,2842,8929,8205,2828,8523,13142,9947,12332,,
39180,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,38,10135,2847,2841,8928,8205,2830,8523,13142,9949,12332,,
40180,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,39,10135,2849,2841,8927,8205,2829,8523,13141,9950,12332,,
41180,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,40,10135,2850,2842,8927,8206,2831,8523,13140,9951,12332,,
42180,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,41,10134,2852,2842,8925,8207,2828,8523,13141,9952,12334,,
43181,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,42,10134,2847,2844,8925,8208,2827,8524,13141,9954,12335,,
44180,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,43,10134,2848,2842,8924,8208,2826,8525,13141,9955,12335,,
45180,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,44,10135,2848,2841,8923,8209,2829,8526,13141,9957,12337,,
46180,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,45,10135,2848,2841,8922,8210,2829,8527,13142,9959,12338,,
47180,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,46,10135,2848,2842,8920,8211,2828,8528,13142,9960,12340,,
48180,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,47,10135,2849,2842,8919,8212,2828,8529,13143,9962,12342,,
49180,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,48,10136,2850,2842,8919,8213,2828,8532,13144,9963,12344,,
50181,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,49,10136,2850,2842,8918,8215,2830,8534,13146,9966,12347,,
51180,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,50,10137,2850,2842,8916,8218,2827,8537,13146,9968,12349,,
52180,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,51,10137,2850,2842,8915,8220,2832,8539,13147,9970,12350,,
53180,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,52,10137,2848,2841,8914,8222,2830,8541,13148,9972,12352,,
54180,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,53,10137,2849,2842,8913,8223,2828,8543,13150,9974,12354,,
55180,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,54,10137,2852,2841,8912,8225,2833,8544,13150,9976,12356,,
56180,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,55,10136,2849,2842,8911,8227,2828,8546,13151,9978,12358,,
57180,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,56,10136,2849,2841,8911,8228,2828,8547,13151,9979,12358,,
58180,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,57,10135,2852,2842,8909,8230,2827,8549,13152,9981,12362,,
59181,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,58,10135,2848,2841,8909,8233,2828,8553,13154,9984,12366,,
60180,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,59,10134,2848,2844,8908,8237,2829,8557,13156,9986,12370,,
61180,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,purging,60,10132,2851,2842,8907,8240,2827,8560,13159,9990,12372,,
62183,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,collecting,1,10131,2852,2841,8906,8243,2826,8562,13159,9993,12372,,
63180,M-MAN,medium,Arabika Manglayang Jawa Barat,B08,1,collecting,2,10129,2847,2841,8905,8245,2827,8564,13160,9995,12377,,
