timestamp,sample_id,roast_level,origin,batch_id,run_id,phase,sample_idx,adc_tgs822,adc_mq135,adc_mq9,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,temperature,humidity
2166,M-RAT,medium,Arabika Ratawali Aceh,B09,1,purging,1,10410,2794,2780,7543,7834,2779,8698,13915,12078,12801,,
3166,M-RAT,medium,Arabika Ratawali Aceh,B09,1,purging,2,10404,2788,2783,7543,7833,2779,8698,13908,12071,12797,,
4166,M-RAT,medium,Arabika Ratawali Aceh,B09,1,purging,3,10399,2790,2780,7543,7832,2779,8697,13900,12064,12793,,
5167,M-RAT,medium,Arabika Ratawali Aceh,B09,1,purging,4,10393,2788,2780,7543,7831,2780,8696,13894,12057,12793,,
6166,M-RAT,medium,Arabika Ratawali Aceh,B09,1,purging,5,10387,2787,2779,7544,7831,2780,8697,13888,12051,12791,,
7166,M-RAT,medium,Arabika Ratawali Aceh,B09,1,purging,6,10381,2789,2780,7544,7833,2779,8700,13882,12045,12789,,
8165,M-RAT,medium,Arabika Ratawali Aceh,B09,1,purging,7,10375,2788,2780,7544,7833,2781,8702,13876,12040,12787,,
9166,M-RAT,medium,Arabika Ratawali Aceh,B09,1,purging,8,10369,2791,2782,7544,7833,2777,8702,13869,12034,12782,,
10166,M-RAT,medium,Arabika Ratawali Aceh,B09,1,purging,9,10363,2788,2784,7544,7830,2780,8701,13862,12026,12778,,
11166,M-RAT,medium,Arabika Ratawali Aceh,B09,1,purging,10,10358,2791,2786,7543,7828,2781,8700,13855,12018,12774,,
12166,M-RAT,medium,Arabika Ratawali Aceh,B09,1,purging,11,10353,2788,2785,7543,7826,2780,8698,13847,12011,12770,,
13166,M-RAT,medium,Arabika Ratawali Aceh,B09,1,purging,12,10347,2788,2782,7543,7823,2781,8697,13840,12003,12766,,
14167,M-RAT,medium,Arabika Ratawali Aceh,B09,1,purging,13,10342,2792,2780,7543,7822,2780,8696,13833,11995,12762,,
15166,M-RAT,medium,Arabika Ratawali Aceh,B09,1,purging,14,10335,2790,2781,7543,7819,2780,8694,13825,11987,12758,,
16166,M-RAT,medium,Arabika Ratawali Aceh,B09,1,purging,15,10329,2788,2785,7544,7817,2780,8693,13818,11980,12755,,
17166,M-RAT,medium,Arabika Ratawali Aceh,B09,1,purging,16,10323,2792,2780,7543,7816,2781,8691,13812,11973,12752,,
18166,M-RAT,medium,Arabika Ratawali Aceh,B09,1,purging,17,10317,2791,2783,7543,7814,2780,8690,13806,11966,12749,,
