timestamp,sample_id,roast_level,origin,batch_id,run_id,phase,sample_idx,adc_tgs822,adc_mq135,adc_mq9,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,temperature,humidity
2173,M-TEM,medium,Arabika Temanggung,B01,1,purging,1,10334,2782,2777,8144,9759,2781,9235,14692,14796,13607,,
3173,M-TEM,medium,Arabika Temanggung,B01,1,purging,2,10332,2782,2777,8144,9755,2781,9233,14687,14793,13601,,
4173,M-TEM,medium,Arabika Temanggung,B01,1,purging,3,10331,2782,2773,8144,9750,2781,9226,14681,14789,13592,,
5172,M-TEM,medium,Arabika Temanggung,B01,1,purging,4,10331,2782,2773,8143,9743,2782,9217,14672,14784,13583,,
6173,M-TEM,medium,Arabika Temanggung,B01,1,purging,5,10332,2780,2773,8143,9735,2780,9207,14664,14777,13575,,
7174,M-TEM,medium,Arabika Temanggung,B01,1,purging,6,10332,2782,2773,8142,9727,2778,9197,14657,14771,13568,,
8173,M-TEM,medium,Arabika Temanggung,B01,1,purging,7,10333,2783,2773,8142,9717,2778,9188,14650,14763,13562,,
9174,M-TEM,medium,Arabika Temanggung,B01,1,purging,8,10332,2782,2773,8140,9710,2781,9180,14643,14757,13558,,
10173,M-TEM,medium,Arabika Temanggung,B01,1,purging,9,10332,2782,2773,8140,9704,2780,9173,14639,14751,13553,,
11173,M-TEM,medium,Arabika Temanggung,B01,1,purging,10,10330,2782,2773,8140,9698,2781,9167,14634,14745,13549,,
12173,M-TEM,medium,Arabika Temanggung,B01,1,purging,11,10330,2782,2777,8139,9693,2781,9162,14629,14739,13544,,
13173,M-TEM,medium,Arabika Temanggung,B01,1,purging,12,10329,2782,2773,8139,9688,2777,9158,14625,14734,13541,,
14173,M-TEM,medium,Arabika Temanggung,B01,1,purging,13,10329,2782,2773,8138,9684,2778,9154,14622,14729,13537,,
15173,M-TEM,medium,Arabika Temanggung,B01,1,purging,14,10329,2782,2773,8138,9681,2779,9151,14618,14724,13533,,
16174,M-TEM,medium,Arabika Temanggung,B01,1,purging,15,10329,2782,2777,8137,9677,2779,9147,14613,14720,13529,,
17173,M-TEM,medium,Arabika Temanggung,B01,1,purging,16,10329,2782,2776,8137,9673,2781,9144,14609,14715,13524,,
18173,M-TEM,medium,Arabika Temanggung,B01,1,purging,17,10330,2782,2776,8136,9669,2780,9140,14605,14710,13520,,
19173,M-TEM,medium,Arabika Temanggung,B01,1,purging,18,10331,2785,2773,8136,9665,2782,9135,14600,14706,13516,,
20173,M-TEM,medium,Arabika Temanggung,B01,1,purging,19,10331,2785,2773,8135,9662,2781,9132,14597,14701,13513,,
21173,M-TEM,medium,Arabika Temanggung,B01,1,purging,20,10331,2782,2773,8134,9658,2781,9129,14594,14696,13511,,
22173,M-TEM,medium,Arabika Temanggung,B01,1,purging,21,10330,2782,2777,8133,9654,2781,9127,14591,14692,13508,,
23174,M-TEM,medium,Arabika Temanggung,B01,1,purging,22,10330,2782,2776,8134,9653,2778,9125,14588,14688,13506,,
24173,M-TEM,medium,Arabika Temanggung,B01,1,purging,23,10329,2782,2771,8133,9651,2781,9124,14586,14684,13505,,
25174,M-TEM,medium,Arabika Temanggung,B01,1,purging,24,10328,2782,2777,8133,9649,2781,9123,14583,14681,13502,,
26173,M-TEM,medium,Arabika Temanggung,B01,1,purging,25,10327,2782,2773,8132,9648,2778,9122,14580,14678,13500,,
27173,M-TEM,medium,Arabika Temanggung,B01,1,purging,26,10326,2782,2777,8131,9646,2781,9120,14577,14675,13498,,
28173,M-TEM,medium,Arabika Temanggung,B01,1,purging,27,10325,2782,2776,8131,9644,2778,9119,14574,14672,13495,,
29173,M-TEM,medium,Arabika Temanggung,B01,1,purging,28,10324,2782,2776,8131,9642,2781,9118,14571,14669,13492,,
30173,M-TEM,medium,Arabika Temanggung,B01,1,purging,29,10323,2782,2771,8130,9640,2778,9117,14568,14666,13491,,
31173,M-TEM,medium,Arabika Temanggung,B01,1,purging,30,10322,2782,2773,8130,9639,2780,9116,14565,14663,13489,,
32174,M-TEM,medium,Arabika Temanggung,B01,1,purging,31,10321,2782,2773,8130,9637,2781,9115,14563,14660,13487,,
33173,M-TEM,medium,Arabika Temanggung,B01,1,purging,32,10320,2782,2773,8129,9636,2780,9115,14560,14658,13485,,
