timestamp,sample_id,roast_level,origin,batch_id,run_id,phase,sample_idx,adc_tgs822,adc_mq135,adc_mq9,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,temperature,humidity
2177,M-TIM,medium,Arabika Timor Leste,B03,1,purging,1,7621,2820,2818,7484,7276,2812,8493,13064,11019,11501,,
3176,M-TIM,medium,Arabika Timor Leste,B03,1,purging,2,7618,2819,2820,7484,7275,2812,8494,13060,11013,11499,,
4176,M-TIM,medium,Arabika Timor Leste,B03,1,purging,3,7614,2824,2821,7484,7274,2811,8493,13054,11007,11496,,
5176,M-TIM,medium,Arabika Timor Leste,B03,1,purging,4,7609,2822,2821,7484,7273,2811,8493,13049,11001,11494,,
6176,M-TIM,medium,Arabika Timor Leste,B03,1,purging,5,7606,2820,2820,7484,7273,2813,8492,13043,10995,11491,,
7176,M-TIM,medium,Arabika Timor Leste,B03,1,purging,6,7602,2822,2820,7485,7271,2811,8491,13038,10989,11490,,
8176,M-TIM,medium,Arabika Timor Leste,B03,1,purging,7,7599,2823,2817,7485,7270,2813,8491,13033,10983,11487,,
9177,M-TIM,medium,Arabika Timor Leste,B03,1,purging,8,7596,2820,2816,7485,7269,2811,8490,13028,10976,11486,,
10176,M-TIM,medium,Arabika Timor Leste,B03,1,purging,9,7592,2821,2817,7485,7267,2812,8489,13023,10971,11483,,
11176,M-TIM,medium,Arabika Timor Leste,B03,1,purging,10,7589,2821,2816,7485,7266,2811,8489,13018,10965,11482,,
12176,M-TIM,medium,Arabika Timor Leste,B03,1,purging,11,7587,2824,2821,7485,7265,2812,8489,13013,10959,11479,,
13176,M-TIM,medium,Arabika Timor Leste,B03,1,purging,12,7584,2824,2822,7485,7264,2811,8488,13008,10952,11477,,
14176,M-TIM,medium,Arabika Timor Leste,B03,1,purging,13,7581,2822,2820,7485,7263,2812,8487,13003,10947,11475,,
15176,M-TIM,medium,Arabika Timor Leste,B03,1,purging,14,7579,2822,2816,7485,7262,2812,8487,12998,10941,11475,,
16177,M-TIM,medium,Arabika Timor Leste,B03,1,purging,15,7576,2821,2816,7485,7262,2814,8487,12995,10935,11473,,
17176,M-TIM,medium,Arabika Timor Leste,B03,1,purging,16,7574,2822,2821,7485,7261,2812,8488,12991,10929,11472,,
18177,M-TIM,medium,Arabika Timor Leste,B03,1,purging,17,7572,2822,2818,7485,7260,2813,8488,12986,10923,11470,,
19176,M-TIM,medium,Arabika Timor Leste,B03,1,purging,18,7570,2824,2818,7485,7260,2815,8489,12982,10917,11469,,
20176,M-TIM,medium,Arabika Timor Leste,B03,1,purging,19,7568,2822,2817,7485,7260,2811,8488,12977,10912,11467,,
21176,M-TIM,medium,Arabika Timor Leste,B03,1,purging,20,7566,2821,2821,7485,7259,2815,8488,12973,10906,11469,,
22176,M-TIM,medium,Arabika Timor Leste,B03,1,purging,21,7563,2824,2816,7485,7259,2811,8490,12971,10901,11470,,
23176,M-TIM,medium,Arabika Timor Leste,B03,1,purging,22,7559,2821,2818,7485,7260,2814,8492,12968,10897,11469,,
24176,M-TIM,medium,Arabika Timor Leste,B03,1,purging,23,7556,2824,2818,7486,7260,2811,8494,12964,10892,11468,,
25177,M-TIM,medium,Arabika Timor Leste,B03,1,purging,24,7553,2823,2821,7486,7260,2815,8495,12960,10887,11466,,
26176,M-TIM,medium,Arabika Timor Leste,B03,1,purging,25,7550,2821,2818,7486,7261,2812,8496,12956,10882,11466,,
27176,M-TIM,medium,Arabika Timor Leste,B03,1,purging,26,7548,2822,2818,7486,7260,2810,8497,12952,10877,11466,,
28176,M-TIM,medium,Arabika Timor Leste,B03,1,purging,27,7546,2824,2819,7486,7260,2812,8498,12949,10873,11467,,
29176,M-TIM,medium,Arabika Timor Leste,B03,1,purging,28,7543,2824,2816,7486,7261,2810,8499,12946,10867,11465,,
30176,M-TIM,medium,Arabika Timor Leste,B03,1,purging,29,7540,2822,2819,7486,7261,2812,8500,12941,10863,11463,,
31176,M-TIM,medium,Arabika Timor Leste,B03,1,purging,30,7538,2822,2820,7486,7261,2812,8500,12937,10858,11461,,
32177,M-TIM,medium,Arabika Timor Leste,B03,1,purging,31,7535,2820,2821,7486,7261,2809,8500,12932,10853,11460,,
33176,M-TIM,medium,Arabika Timor Leste,B03,1,purging,32,7532,2819,2816,7486,7260,2811,8501,12928,10849,11460,,
34177,M-TIM,medium,Arabika Timor Leste,B03,1,purging,33,7530,2824,2817,7486,7260,2810,8500,12924,10844,11458,,
35176,M-TIM,medium,Arabika Timor Leste,B03,1,purging,34,7528,2825,2819,7486,7261,2812,8501,12920,10839,11457,,
36176,M-TIM,medium,Arabika Timor Leste,B03,1,purging,35,7526,2820,2817,7487,7261,2813,8501,12916,10835,11457,,
37176,M-TIM,medium,Arabika Timor Leste,B03,1,purging,36,7524,2823,2821,7486,7261,2812,8503,12914,10830,11458,,
38176,M-TIM,medium,Arabika Timor Leste,B03,1,purging,37,7521,2820,2819,7487,7261,2813,8503,12910,10826,11457,,
39176,M-TIM,medium,Arabika Timor Leste,B03,1,purging,38,7518,2822,2819,7487,7262,2812,8504,12907,10821,11456,,
40176,M-TIM,medium,Arabika Timor Leste,B03,1,purging,39,7516,2822,2818,7487,7262,2809,8504,12903,10817,11454,,
41177,M-TIM,medium,Arabika Timor Leste,B03,1,purging,40,7513,2822,2816,7487,7262,2815,8504,12899,10813,11454,,
