label,phase,cycle,sample_idx,timestamp,adc_tgs822,adc_mq135,adc_mq9,adc_tgs2611,adc_tgs2620,adc_tgs2600,adc_tgs2602,adc_mq8,adc_tgs813,adc_tgs816,source_file
medium,collecting,1,1,2223,11868,2943,2932,9652,9131,2946,8674,11042,10402,12564,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\medium_20260811_170159.csv
medium,collecting,1,2,3222,11813,2939,2930,9653,9125,2946,8670,11026,10384,12556,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\medium_20260811_170159.csv
medium,collecting,1,3,4222,11775,2943,2930,9653,9120,2943,8665,11019,10371,12552,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\medium_20260811_170159.csv
medium,collecting,1,4,5222,11759,2939,2934,9654,9118,2946,8664,11020,10363,12552,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\medium_20260811_170159.csv
medium,collecting,1,5,6222,11757,2938,2930,9655,9116,2944,8664,11024,10360,12552,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\medium_20260811_170159.csv
medium,collecting,1,6,7222,11758,2943,2929,9656,9114,2946,8662,11030,10360,12555,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\medium_20260811_170159.csv
medium,collecting,1,7,8222,11762,2939,2933,9656,9113,2946,8661,11036,10362,12557,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\medium_20260811_170159.csv
medium,collecting,1,8,9223,11769,2941,2934,9657,9112,2945,8661,11041,10365,12563,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\medium_20260811_170159.csv
medium,collecting,1,9,10222,11778,2939,2933,9658,9111,2946,8661,11047,10368,12568,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\medium_20260811_170159.csv
medium,collecting,1,10,11223,11785,2939,2928,9658,9111,2947,8660,11053,10372,12572,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\medium_20260811_170159.csv
medium,collecting,1,11,12222,11794,2938,2930,9659,9111,2947,8660,11058,10376,12577,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\medium_20260811_170159.csv
medium,collecting,1,12,13222,11801,2939,2928,9660,9110,2942,8661,11063,10380,12581,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\medium_20260811_170159.csv
medium,collecting,1,13,14222,11804,2943,2933,9660,9110,2946,8662,11067,10384,12584,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\medium_20260811_170159.csv
medium,collecting,1,14,15222,11807,2943,2929,9661,9109,2945,8662,11070,10387,12589,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\medium_20260811_170159.csv
medium,collecting,1,15,16223,11808,2941,2933,9661,9108,2947,8662,11073,10390,12592,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\medium_20260811_170159.csv
medium,collecting,1,16,17222,11808,2939,2928,9662,9108,2945,8661,11076,10392,12595,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\medium_20260811_170159.csv
medium,collecting,1,17,18223,11813,2943,2930,9663,9108,2946,8661,11081,10395,12601,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\medium_20260811_170159.csv
medium,collecting,1,18,19222,11824,2939,2930,9663,9109,2943,8663,11087,10399,12607,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\medium_20260811_170159.csv
medium,collecting,1,19,20222,11836,2938,2933,9664,9110,2942,8664,11096,10404,12614,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\medium_20260811_170159.csv
medium,collecting,1,20,21222,11852,2938,2933,9664,9111,2945,8667,11104,10410,12623,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\medium_20260811_170159.csv
medium,collecting,1,21,22222,11873,2943,2933,9665,9112,2946,8669,11115,10418,12630,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\medium_20260811_170159.csv
medium,collecting,1,22,23222,11892,2938,2929,9665,9114,2946,8670,11126,10426,12638,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\medium_20260811_170159.csv
medium,collecting,1,23,24222,11914,2943,2928,9665,9115,2946,8671,11137,10435,12648,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\medium_20260811_170159.csv
medium,collecting,1,24,25223,11941,2941,2929,9666,9117,2942,8675,11151,10444,12658,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\medium_20260811_170159.csv
medium,collecting,1,25,26222,11969,2938,2931,9666,9119,2946,8677,11166,10455,12669,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\medium_20260811_170159.csv
medium,collecting,1,26,27223,11999,2942,2932,9667,9122,2946,8680,11181,10467,12679,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\medium_20260811_170159.csv
medium,collecting,1,27,28222,12024,2944,2928,9668,9124,2947,8681,11195,10478,12691,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\medium_20260811_170159.csv
medium,collecting,1,28,29222,12042,2941,2933,9667,9125,2942,8681,11205,10489,12699,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\medium_20260811_170159.csv
medium,collecting,1,29,30222,12056,2941,2933,9668,9125,2946,8681,11214,10499,12706,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\medium_20260811_170159.csv
medium,collecting,1,30,31222,12070,2939,2931,9669,9126,2944,8681,11223,10507,12715,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\medium_20260811_170159.csv
medium,collecting,1,31,32223,12084,2943,2933,9669,9127,2942,8681,11232,10515,12722,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\medium_20260811_170159.csv
medium,collecting,1,32,33222,12097,2938,2934,9669,9128,2944,8682,11240,10522,12731,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\medium_20260811_170159.csv
medium,collecting,1,33,34223,12107,2942,2932,9669,9129,2942,8682,11249,10529,12735,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\medium_20260811_170159.csv
medium,collecting,1,34,35222,12112,2942,2932,9669,9129,2946,8682,11255,10535,12741,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\medium_20260811_170159.csv
medium,collecting,1,35,36222,12116,2940,2930,9670,9130,2946,8681,11259,10541,12747,F:\MBKM ADB ENOSE\smart-coffee-v2\scripts\..\data\medium_20260811_170159.csv
