feature,overall_mean,overall_std,cv,p_kruskal,p_anova,significant
TGS2602_max,9908.544444444444,659.1646679443386,0.06652487372288618,6.845870579770322e-12,7.321276804236803e-11,True
TGS2602_range,661.4222222222222,441.1819695201415,0.667020179692795,9.96808886585504e-10,1.7768606007251157e-10,True
TGS822_max,14872.461111111112,1739.375796224145,0.11695278832664437,2.4776725721143314e-09,1.4079328792189722e-10,True
TGS2620_max,10520.444444444445,1205.5564756123003,0.11459178193263561,5.103873865531885e-09,1.8409327226631837e-07,True
TGS2602_auc,1713722.95,100106.04757903953,0.05841437064202208,3.2545298969512826e-08,4.2888364136053924e-05,True
TGS2602_mean,9571.989159845849,559.1932080717343,0.05841974940981664,3.265057108334893e-08,4.573629685997627e-05,True
TGS816_max,14902.333333333334,1226.719547884524,0.08231728014971536,4.3735486728058e-08,2.1936234529677052e-07,True
TGS2602_var,23022.244579209884,38497.83483847569,1.672201626823098,2.2354957385446156e-07,2.1966759767055282e-08,True
TGS2602_std,126.64781714851128,83.79489119008397,0.6616370741799819,2.2354957385446156e-07,6.827166871797505e-10,True
MQ8_max,16467.411111111112,1278.8647540274658,0.07766034049909007,2.2519636814169216e-07,2.070594215378135e-08,True
TGS2602_median,9547.941666666668,558.7769972106331,0.05852329399553738,6.838484843684243e-07,0.0002003894097661579,True
MQ8_auc,2892262.472222222,210274.82938127912,0.07270254045087335,7.268856778561766e-07,4.524334613703521e-06,True
MQ8_mean,16153.6440843053,1174.1870364332144,0.07268867818958377,7.88778268544734e-07,4.737515989208075e-06,True
TGS813_range,1452.338888888889,897.687097343049,0.6180975419787911,7.989492543855079e-07,1.771558923476843e-05,True
TGS816_auc,2616559.9305555555,206531.2293328531,0.07893235194846147,1.002494546404516e-06,6.849376349163374e-05,True
TGS816_mean,14614.212247970807,1153.267494050565,0.07891410597315075,1.0740951098723363e-06,7.117557085869646e-05,True
MQ8_median,16201.366666666667,1145.9999678259085,0.07073477141799793,1.522017497302704e-06,1.4435337450858077e-05,True
TGS2620_range,835.9388888888889,517.2761833642194,0.618796649179885,2.7971695742367394e-06,4.325259096892728e-07,True
MQ8_final,16166.244444444445,1117.1354960117462,0.06910296945284546,3.0341368788262523e-06,5.265631338889938e-05,True
MQ135_slope,-0.01608819094204444,0.034803010922525884,2.163264277794489,3.829799333027322e-06,0.0005707613526911663,True
TGS2602_final,9527.483333333334,550.4877621318964,0.05777892680282886,4.22781349739707e-06,0.0005877724359909638,True
TGS822_mean,13977.955684468998,1571.218486059431,0.11240688706754952,4.8826386222151745e-06,8.10236190182466e-06,True
TGS822_auc,2503811.6083333334,281548.83161770867,0.11244808941720741,5.094059061608669e-06,7.970264514211456e-06,True
TGS813_max,15795.355555555556,1605.0575012662935,0.1016157879840609,5.9866995787719026e-06,7.56577519388766e-08,True
TGS816_median,14628.138888888889,1136.1369014403153,0.07766790499256296,6.741721349201311e-06,0.00018472655101781866,True
MQ8_initial,15167.022222222222,1390.2757330934585,0.09166438294369876,1.3957192084827545e-05,0.0017652177827723761,True
TGS816_range,1019.1111111111111,618.8016161091672,0.6071973991470825,1.4035087147617024e-05,5.092755248549333e-05,True
MQ8_min,15133.633333333333,1387.1149791430878,0.09165776311546661,1.828568744300282e-05,0.002470250348485762,True
TGS2620_std,171.93798304588623,115.33104507537736,0.6707711875620144,3.055638603361369e-05,9.413902933253204e-08,True
TGS2620_var,42790.02413896519,65715.96598795343,1.5357777264750365,3.055638603361369e-05,9.36657499451799e-08,True
TGS816_final,14584.127777777778,1121.7596165011964,0.07691646930098722,3.447870749150686e-05,0.0007743542157792394,True
TGS2620_auc,1824360.0472222222,201948.04450379554,0.11069527904389395,4.700693238332885e-05,0.0004763967142887008,True
TGS2620_mean,10189.584072709911,1128.4264991718526,0.11074313643418791,4.8218432955655124e-05,0.0004842520832489151,True
TGS2620_initial,9726.194444444445,1248.9987279078118,0.12841597348705128,5.5113575948840275e-05,0.002593851116604554,True
TGS816_std,211.4403015815729,126.5180626179419,0.5983630446560507,7.867516466710501e-05,1.139561218180439e-06,True
TGS816_var,60624.89452278953,80321.81149980091,1.3248981648884484,7.867516466710501e-05,1.3750539836393013e-06,True
TGS813_var,148519.87666765737,201887.7783489771,1.3593317128907911,0.000166860275976271,9.648288586453635e-06,True
TGS813_std,325.3055595619186,207.20689098781375,0.6369608046853472,0.000166860275976271,1.0194093203647744e-05,True
TGS822_median,14074.069444444445,1564.9503167046164,0.11119387486909472,0.00022360556065854895,0.00014085419070239476,True
TGS822_final,13941.005555555555,1511.6811740694538,0.1084341562052483,0.0002743119417514947,0.00019007674814004646,True
TGS822_slope,2.999076128924272,6.801265706220179,2.2677869489068003,0.00029080123646273826,2.937875427202641e-06,True
TGS813_auc,2750331.861111111,258077.86247115757,0.09383517171883984,0.0003466245810313227,0.0002607932507395094,True
TGS813_mean,15360.757151967808,1441.7124345218854,0.0938568600661133,0.0003562537132367949,0.0002680273739094238,True
TGS822_initial,11004.988888888889,2183.2533179077464,0.19838759856557917,0.0004238945884432749,0.0021426448272305844,True
MQ8_range,1333.7777777777778,803.8268425472637,0.6026692421626082,0.0005051177053996162,0.006244524410287407,True
MQ8_var,106291.1258784355,119291.8539116182,1.1223124501291897,0.0005351319096224798,0.002836971148290146,True
MQ8_std,286.47955036661386,156.06378079540724,0.5447641222388977,0.0005351319096224798,0.0007826854061596704,True
TGS2620_min,9684.505555555555,1227.4341293399027,0.12674205433602684,0.0006317139982394929,0.005167658147143832,True
MQ9_slope,-0.021062126597791248,0.03128588003470447,1.485409291603825,0.0007260516378590149,0.019889653664528408,True
TGS2620_median,10179.25,1121.1642647976335,0.11014212882064231,0.0008672724149251412,0.0013802465703396346,True
TGS822_min,10941.933333333332,2154.7161049051056,0.1969227959323071,0.0009346959526457537,0.004390783522050749,True
TGS2620_final,10134.7,1113.8337533795595,0.10990298216814011,0.0010589790385157735,0.002402941113688998,True
TGS2602_slope,-0.8112649944865444,1.2717209499840019,1.567577742241061,0.0011299359635539952,9.145694375593375e-06,True
TGS816_initial,13910.577777777778,1318.372875407242,0.09477484662881902,0.0015011291926780644,0.007188308861911455,True
TGS813_slope,0.7527470901933078,4.30932232778771,5.724794394032488,0.0017922079336265496,5.887980812001019e-06,True
