sample_id,roast_level,origin,batch_id,run_id,MQ135_slope,MQ135_std,MQ8_max,MQ8_mean,MQ8_min,MQ8_range,MQ8_slope,MQ8_std,MQ9_slope,MQ9_std,TGS2602_delta,TGS2602_max,TGS2602_mean,TGS2602_min,TGS2602_range,TGS2602_slope,TGS2602_std,TGS2611_delta,TGS2611_max,TGS2611_range,TGS2611_slope,TGS2611_std,TGS2620_max,TGS2620_mean,TGS2620_min,TGS2620_range,TGS2620_slope,TGS2620_std,TGS813_max,TGS813_mean,TGS813_range,TGS813_slope,TGS813_std,TGS816_max,TGS816_mean,TGS816_min,TGS816_range,TGS816_slope,TGS816_std,TGS822_max,TGS822_mean,TGS822_min,TGS822_range,TGS822_slope,TGS822_std,is_outlier_run,n_outlier_feats
D-BAR,dark,Arabika Jawa Barat,B05,1,-0.1368992870150313,7.365091214026973,19852.0,18692.616666666665,16138.0,3714.0,-1.285386380238073,592.4040339037833,-0.1397913515849254,7.500736566355645,839.0,12119.0,10871.05,9332.0,2787.0,-4.555234215047789,528.6079566065096,468.0,9859.0,468.0,2.1222969844748296,112.89455688628205,14251.0,13327.005555555555,12365.0,1886.0,-7.107415866744858,533.0729875212486,19732.0,18811.31111111111,1913.0,-7.348121855612827,532.8786197057831,17534.0,16288.422222222222,13467.0,4067.0,-2.136613269956892,650.1741490434848,19741.0,18358.88888888889,12339.0,7402.0,-2.025231231416607,1064.947953662493,True,19
D-BAR,dark,Arabika Jawa Barat,B05,2,-0.1110322335051493,6.167333498598066,19411.0,18631.45555555556,16180.0,3231.0,6.29161393870181,774.9177308810064,-0.1153965657376256,6.514616140931647,949.0,11284.0,10595.25,9275.0,2009.0,-0.4560541992036791,429.584701034765,270.0,10233.0,270.0,1.4537537166784982,75.83301000606374,13093.0,12486.677777777775,11132.0,1961.0,0.4139963167587493,443.275071989784,18702.0,17930.105555555554,2646.0,1.8899482494315736,612.2147950484584,16854.0,16014.255555555555,13519.0,3335.0,4.639836620471824,763.6721057918078,19406.0,18246.555555555555,12632.0,6774.0,10.567435208905628,1411.792601217206,True,6
D-BAR,dark,Arabika Jawa Barat,B05,3,-0.0020062347603321,1.8173588792776687,17476.0,17379.477777777778,16503.0,973.0,1.310063067790158,190.3844230857487,-0.0101453748572486,1.515275007664168,522.0,10098.0,9816.177777777775,9263.0,835.0,-0.0750290646830665,140.89740931025457,152.0,10454.0,152.0,0.7942024959618095,41.49137017359973,11568.0,11273.916666666666,10696.0,872.0,-0.358273403500108,157.7057536953023,16486.0,16135.133333333331,1267.0,-0.322032573021801,230.8440524170221,14801.0,14630.16111111111,13681.0,1120.0,1.1964083253598357,199.910599121749,16838.0,16569.67777777778,13536.0,3302.0,4.997199502042244,638.0414309900561,False,0
D-BAR,dark,Arabika Jawa Barat,B05,4,-0.0253505766638888,2.264370619328024,16758.0,16443.227777777778,15782.0,976.0,-1.1866034959926746,206.9243197026865,-0.0452030412461289,3.288695533430801,296.0,9660.0,9402.672222222222,9090.0,570.0,-0.8064744796650101,108.89381997410916,109.0,10599.0,109.0,0.5885346255542866,30.679842930814797,10844.0,10560.427777777775,10196.0,648.0,-1.186457400948589,135.71873769084823,15279.0,14773.055555555557,1352.0,-1.8238176075393275,290.191628504131,14085.0,13791.644444444444,13176.0,909.0,-0.892815621881334,176.43944700826822,16074.0,15261.738888888887,12768.0,3306.0,-0.4524944185520124,638.9824956633175,False,0
D-BAR,dark,Arabika Jawa Barat,B05,5,-0.0930563700525736,5.2586602037423305,16630.0,16351.233333333334,15202.0,1428.0,1.463578093974094,282.83038919161305,-0.078939679208206,4.45520848912419,481.0,10013.0,9705.6,9208.0,805.0,-0.1036060783769046,141.15990378203787,87.0,10724.0,87.0,0.4532855952344208,23.685255112527283,11175.0,10869.972222222224,10199.0,976.0,0.4615914071421955,176.8306146095482,15438.0,14983.183333333332,2060.0,2.583189810385094,417.6615597485841,14388.0,14136.883333333331,13049.0,1339.0,1.8412965420743437,259.2019396739273,15963.0,15213.355555555556,12085.0,3878.0,2.688233175921072,736.01180782232,False,0
D-BAR,dark,Arabika Jawa Barat,B05,6,-0.0527670607117503,3.3057518107293364,16951.0,16678.71111111111,15143.0,1808.0,1.9406915851312283,336.0633667450713,-0.0565274648394497,3.300861388997281,494.0,10169.0,9944.683333333332,9416.0,753.0,-0.5584647674310935,109.99865286122788,54.0,10807.0,54.0,0.2783429529717995,14.55349408025901,11328.0,11197.111111111111,10463.0,865.0,0.1972447709291439,144.84138459534267,15931.0,15641.883333333331,2206.0,2.739079395454592,434.7908413229561,14852.0,14662.872222222222,13420.0,1432.0,1.4987365865201598,247.3267585221374,16369.0,15804.633333333331,11980.0,4389.0,2.167455785672397,776.7987228786629,False,0
D-BAR,dark,Arabika Jawa Barat,B05,7,-0.0139314999434138,1.9929344468640229,16830.0,16668.655555555557,15243.0,1587.0,3.8183050917209385,350.626164897691,-0.0316450096196384,2.03076890521022,369.0,10294.0,9919.944444444443,9464.0,830.0,-0.9430373365433088,144.46997028909533,-8.0,10829.0,17.0,-0.0729106865438233,4.7319555001467775,11538.0,11238.733333333334,10608.0,930.0,-0.0510139201827217,161.70822058062464,16076.0,15826.977777777778,1881.0,3.879720567507228,418.4186104628071,14949.0,14761.944444444443,13699.0,1250.0,1.7956603598876506,242.5988417401372,16287.0,15835.344444444445,12232.0,4055.0,7.428846569338558,843.5389293849797,False,0
D-BAR,dark,Arabika Jawa Barat,B05,8,-0.0245357366996923,2.274217896136196,16400.0,16285.227777777778,15277.0,1123.0,1.174066071998107,214.59164365314973,-0.0295811599123429,2.2387036241588234,242.0,9955.0,9681.18888888889,9359.0,596.0,-1.0421350453203289,104.54764431453934,-79.0,10799.0,79.0,-0.4570511435538133,23.94741031058449,11186.0,10968.711111111112,10539.0,647.0,-0.7243659783738181,113.41817067868496,15656.0,15465.2,1314.0,1.1263454633373455,258.03887368998403,14589.0,14463.988888888887,13739.0,850.0,0.1887301048386267,148.35161270836238,15673.0,15315.122222222222,12470.0,3203.0,2.723756906077348,591.0176306396263,False,0
D-BAR,dark,Arabika Jawa Barat,B05,9,0.0027902095743695,1.629416121295502,16217.0,16074.755555555555,15019.0,1198.0,0.8122843297632645,212.0410159074511,-0.0033149171270718,1.35613647736922,327.0,9820.0,9609.005555555555,9263.0,557.0,-0.6098490694157227,89.71945705670521,-153.0,10681.0,153.0,-0.8765291109807916,45.73604402605587,11059.0,10859.577777777778,10400.0,659.0,-0.5159171579369733,107.9100574969758,15555.0,15319.022222222222,1384.0,0.7280451042727656,250.0723907606205,14515.0,14368.977777777778,13617.0,898.0,0.2558474026976141,142.67245589465333,15552.0,15075.555555555557,12372.0,3180.0,0.5182937744992129,528.7222736999015,False,0
D-BAR,dark,Arabika Jawa Barat,B05,10,0.0241632972211076,2.4119246482841503,16031.0,15740.483333333334,14823.0,1208.0,4.041160735413644,377.9881390205564,-0.0050207310925234,1.3431205038162326,118.0,9884.0,9668.08888888889,9462.0,422.0,-0.2122514069364281,110.74255660013432,-214.0,10471.0,214.0,-1.2075537310822344,63.02573641991421,11077.0,10838.616666666669,10553.0,524.0,0.1038869512433511,149.19651751293938,15507.0,15085.516666666666,1374.0,3.69241951912096,415.5968646544564,14567.0,14329.266666666666,13771.0,796.0,1.9721946150601355,243.35737336925783,15397.0,14372.572222222225,11892.0,3505.0,10.36715433603918,1051.2955616206616,False,0
